dataset,target_snr_db,noise_seed,packet_index,payload_symbol_index,gt_bin,selected_bin,candidate_bin,candidate_rank,candidate_count,is_gt,is_selected,gt_symbol,selected_symbol,candidate_symbol,candidate_symbol_correct,local_score,energy,energy_score,coherence_score,rank_score,phase_local_score,tau_hat,expected_tau,tau_residual,abs_tau_residual,tau_gain_db,corrected_coherence,top1_bin,top1_margin_db,top1_peak_to_median_db,top1_coherence_score,hard_anchor,high_confidence
0_0_0_10_14_16,-25.0,42,1,0,222,664,265,1,16,0,0,221,663,264,0,0.7861908968115909,0.766690565101328,1.0,0.9048699241279986,1.0,0.0030693879492744765,-0.125,-0.09225872194980422,-0.03274127805019578,0.03274127805019578,0.32077150499368023,0.9360579661844981,265,0.06938021003818917,10.579521961704357,0.9048699241279986,0,0
0_0_0_10_14_16,-25.0,42,1,0,222,664,664,2,16,0,1,221,663,663,0,0.849708031993509,0.7545397048630917,0.9841515458891419,0.9729021500793015,0.9333333333333333,0.42716136435781005,-0.03125,-0.09225872194980422,0.06100872194980422,0.06100872194980422,0.08118223791373241,0.9687395815619655,265,0.06938021003818917,10.579521961704357,0.9048699241279986,0,0
0_0_0_10_14_16,-25.0,42,1,0,222,664,500,3,16,0,0,221,663,499,0,0.7824006887778819,0.7529499077836057,0.9820779621620799,0.9123209813478026,0.8666666666666667,0.04801244113573074,0.03125,-0.09225872194980422,0.12350872194980422,0.12350872194980422,0.03075361396205334,0.8979723747950009,265,0.06938021003818917,10.579521961704357,0.9048699241279986,0,0
0_0_0_10_14_16,-25.0,42,1,0,222,664,674,4,16,0,0,221,663,673,0,0.7736016118123786,0.636207170342292,0.829809572859696,0.961863065345573,0.8,0.599639531011602,0.15625,-0.09225872194980422,0.24850872194980422,0.24850872194980422,0.765707472580906,0.9495291253760936,265,0.06938021003818917,10.579521961704357,0.9048699241279986,0,0
0_0_0_10_14_16,-25.0,42,1,0,222,664,549,5,16,0,0,221,663,548,0,0.7285167308557932,0.6197845890824425,0.808389482398978,0.8965029299344194,0.7333333333333334,0.4572541853752966,-0.09375,-0.09225872194980422,-0.0014912780501957767,0.0014912780501957767,0.3491898436575823,0.9354434070940632,265,0.06938021003818917,10.579521961704357,0.9048699241279986,0,0
0_0_0_10_14_16,-25.0,42,1,0,222,664,435,6,16,0,0,221,663,434,0,0.6311720896035857,0.5925268065428924,0.7728369612381787,0.8585784087795494,0.6666666666666667,0.0002753565455813815,0.0625,-0.09225872194980422,0.15475872194980422,0.15475872194980422,0.18042427616889406,0.8767816936085822,265,0.06938021003818917,10.579521961704357,0.9048699241279986,0,0
0_0_0_10_14_16,-25.0,42,1,0,222,664,222,7,16,1,0,221,663,221,1,0.714723395078419,0.5887478414200729,0.7679080299393827,0.8499953415290917,0.6,0.5872258292563763,-0.15625,-0.09225872194980422,-0.06399127805019578,0.06399127805019578,0.7030027692828698,0.9118402356004432,265,0.06938021003818917,10.579521961704357,0.9048699241279986,0,0
0_0_0_10_14_16,-25.0,42,1,0,222,664,547,8,16,0,0,221,663,546,0,0.6136108856743264,0.5614044939023053,0.7322439057641311,0.9175526795311891,0.5333333333333333,0.00012963331975182735,-0.09375,-0.09225872194980422,-0.0014912780501957767,0.0014912780501957767,0.38148136715637826,0.9104115774339997,265,0.06938021003818917,10.579521961704357,0.9048699241279986,0,0
0_0_0_10_14_16,-25.0,42,1,0,222,664,398,9,16,0,0,221,663,397,0,0.5668970059550332,0.49803298909134597,0.6495879977674233,0.9519682519401792,0.4666666666666667,0.012463797434541634,-0.03125,-0.09225872194980422,0.06100872194980422,0.06100872194980422,0.04949272165225172,0.9514201028445007,265,0.06938021003818917,10.579521961704357,0.9048699241279986,0,0
0_0_0_10_14_16,-25.0,42,1,0,222,664,805,10,16,0,0,221,663,804,0,0.5336965415525168,0.4662861619820866,0.608180383595122,0.8700542822632363,0.4,0.05247433250801411,-0.25,-0.09225872194980422,-0.15774127805019578,0.15774127805019578,1.8104411928098372,0.9182904174661372,265,0.06938021003818917,10.579521961704357,0.9048699241279986,0,0
0_0_0_10_14_16,-25.0,42,1,0,222,664,644,11,16,0,0,221,663,643,0,0.5950409533096337,0.45640200752405136,0.5952884100820153,0.9172614768830384,0.33333333333333337,0.47009510149245304,0.0,-0.09225872194980422,0.09225872194980422,0.09225872194980422,0.0,0.9172615824366808,265,0.06938021003818917,10.579521961704357,0.9048699241279986,0,0
0_0_0_10_14_16,-25.0,42,1,0,222,664,134,12,16,0,0,221,663,133,0,0.5556753309552557,0.45148129438405604,0.5888702886599197,0.8980316888923446,0.2666666666666667,0.2546992666163746,-0.25,-0.09225872194980422,-0.15774127805019578,0.15774127805019578,0.3512240965904352,0.8732066218762321,265,0.06938021003818917,10.579521961704357,0.9048699241279986,0,0
0_0_0_10_14_16,-25.0,42,1,0,222,664,40,13,16,0,0,221,663,39,0,0.59347693879108,0.4307118630261222,0.5617805704563458,0.8170313671059203,0.19999999999999996,0.705099086190448,0.375,-0.09225872194980422,0.4672587219498042,0.4672587219498042,0.6095476339234928,0.8633559759729111,265,0.06938021003818917,10.579521961704357,0.9048699241279986,0,0
0_0_0_10_14_16,-25.0,42,1,0,222,664,324,14,16,0,0,221,663,323,0,0.5475951202565023,0.43028386508925465,0.5612223296792326,0.9084863014815133,0.1333333333333333,0.31018440495182775,0.25,-0.09225872194980422,0.3422587219498042,0.3422587219498042,2.226220608545694,0.931515481770688,265,0.06938021003818917,10.579521961704357,0.9048699241279986,0,0
0_0_0_10_14_16,-25.0,42,1,0,222,664,561,15,16,0,0,221,663,560,0,0.5033637759219078,0.428334136339803,0.5586792844949032,0.92926363669166,0.06666666666666665,0.005551303309810909,0.0,-0.09225872194980422,0.09225872194980422,0.09225872194980422,0.0,0.9292636086145526,265,0.06938021003818917,10.579521961704357,0.9048699241279986,0,0
0_0_0_10_14_16,-25.0,42,1,0,222,664,893,16,16,0,0,221,663,892,0,0.46912629268360695,0.41956842863541866,0.5472461091000478,0.7427931297597055,0.0,0.013315682030800465,-0.125,-0.09225872194980422,-0.03274127805019578,0.03274127805019578,0.1902071012457646,0.7830949165911216,265,0.06938021003818917,10.579521961704357,0.9048699241279986,0,0
0_0_0_10_14_16,-25.0,42,1,1,826,826,826,1,4,1,1,825,825,825,1,0.9429055358781184,1.0930997474142714,1.0,0.9605983642738718,1.0,0.992105208246918,0.0625,-0.09852004046980067,0.16102004046980067,0.16102004046980067,0.04592895111423305,0.9793092162264961,826,2.230244492235944,12.17483009728474,0.9605983642738718,0,1
