capture,packet_index,frame_index,payload_start_sample,payload_start_time_s,symbol_count,dechirp_gt_bin_energy,dechirp_residual_fft_energy,dechirp_total_fft_energy,dechirp_gt_energy_ratio,dechirp_gt_packet_snr_db
xcopy_paper_low5_dw24,1,1,29947128,59.894256,49,1.2145736208086962e-05,0.01072587345842657,0.010738019194634657,0.0011310965260851538,-29.460088244486222
xcopy_paper_low5_dw24,3,3,30608562,61.217124,49,1.0239877285562295e-05,0.010630836744004094,0.010641076621289656,0.0009622971105268917,-30.162726967166474
xcopy_paper_low5_dw24,4,4,30865197,61.730394,49,9.06444749273891e-06,0.010544688746363096,0.010553753193855835,0.0008588837853452963,-30.656924273537093
xcopy_paper_low5_dw24,5,5,31505009,63.010018,49,8.791090733174339e-06,0.010587874465800137,0.01059666555653331,0.0008296091526408743,-30.807660210385652
xcopy_paper_low5_dw24,7,7,32319661,64.639322,49,1.0041342200245763e-05,0.011631662226650621,0.011641703568850865,0.0008625320289989937,-30.638500144547795
xcopy_paper_low5_dw24,9,9,32905018,65.810036,49,1.0200340458537228e-05,0.010286901140291248,0.010297101480749785,0.0009906030816153992,-30.036698986491214
xcopy_paper_low5_dw24,11,11,33570090,67.14018,49,8.959886994069236e-06,0.010033203668220097,0.010042163555214166,0.0008922267542054738,-30.49137096073455
xcopy_paper_low5_dw24,12,12,34005207,68.010414,49,1.0337622560921954e-05,0.01061358299792882,0.010623920620489741,0.0009730515626203361,-30.11441348922333
