dataset,target_snr_db,noise_seed,packet_count,center_symbol_ser,multi_symbol_ser,pure_symbol_ser,pure_gain_vs_center,pure_gain_vs_multi,pure_crc_valid_rate,mean_phase_score,mean_amp_score,mean_candidate_count,mean_selected_energy_drop_db,mean_phase_line_r2,mean_phase_line_rmse_pi
0_0_0_10_14_16,-24.0,42,1,0.8571428571428571,0.7142857142857143,0.9428571428571428,-0.08571428571428574,-0.22857142857142854,0.0,0.9966147218431746,0.6705215494156799,994.7142857142857,-1.94099605490801,0.9913101368830227,0.02432497439584482
mean,-24.0,mean,1,0.8571428571428571,0.7142857142857143,0.9428571428571428,-0.08571428571428574,-0.22857142857142854,0.0,0.9966147218431746,0.6705215494156799,994.7142857142857,-1.94099605490801,0.9913101368830227,0.02432497439584482
