dataset,target_snr_db,packet_index,frame_index,event_index,payload_len,symbol_count,traditional_fft_symbol_ser,multi_offset_argmax_symbol_ser,current_selected_symbol_ser,savaux_paper_symbol_ser,savaux_codec_symbol_ser,current_gain_vs_traditional_fft,savaux_gain_vs_traditional_fft,savaux_codec_gain_vs_traditional_fft,savaux_gain_vs_current,savaux_codec_gain_vs_current,savaux_codec_gain_vs_savaux,traditional_fft_crc_valid,multi_offset_argmax_crc_valid,current_selected_crc_valid,savaux_paper_crc_valid,savaux_codec_crc_valid,savaux_codec_success,savaux_codec_selected_source,savaux_codec_selection_variant,savaux_codec_base_crc_valid,savaux_codec_selected_beam_rank,savaux_codec_candidate_payload_count,savaux_codec_observed_crc_valid_count,savaux_codec_accepted_crc_valid_count,savaux_codec_accepted_crc_min_beam_rank,savaux_codec_accepted_crc_max_beam_rank,savaux_codec_accepted_crc_best_evidence_margin,savaux_codec_selected_evidence_margin,savaux_codec_selected_is_earliest_accepted_crc,savaux_codec_selected_source_is_argmax_fallback,savaux_codec_topk_recall,savaux_codec_mean_gt_rank,savaux_codec_symbol_change_count,savaux_codec_symbol_fix_count,savaux_codec_symbol_break_count,winner_by_symbol_ser
0_0_0_10_14_32,-25.0,0,0,0,33,35,1.0,1.0,0.9714285714285714,0.8857142857142857,0.8857142857142857,0.02857142857142858,0.11428571428571432,0.11428571428571432,0.08571428571428574,0.08571428571428574,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,4096,0,0,-1,-1,0.0,0.0,0,1,0.42857142857142855,171.2,0,0,0,savaux_paper
0_0_0_10_14_32,-25.0,2,1,2,33,35,0.8,0.6285714285714286,0.45714285714285713,0.2,0.2,0.3428571428571429,0.6000000000000001,0.6000000000000001,0.2571428571428571,0.2571428571428571,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,4096,0,0,-1,-1,0.0,0.0,0,1,0.9428571428571428,12.942857142857143,0,0,0,savaux_paper
0_0_0_10_14_32,-25.0,3,2,3,33,35,0.8857142857142857,0.6571428571428571,0.4,0.22857142857142856,0.22857142857142856,0.48571428571428565,0.6571428571428571,0.6571428571428571,0.17142857142857146,0.17142857142857146,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,4096,0,0,-1,-1,0.0,0.0,0,1,1.0,1.2857142857142858,0,0,0,savaux_paper
0_0_0_10_14_32,-25.0,4,3,4,33,35,0.8857142857142857,0.8,0.37142857142857144,0.11428571428571428,0.0,0.5142857142857142,0.7714285714285714,0.8857142857142857,0.2571428571428572,0.37142857142857144,0.11428571428571428,0,0,0,0,1,1,beam,savaux_codec,1,2,4096,2,1,2,2,-0.20885702008049467,-0.20885702008049467,1,0,1.0,2.4285714285714284,4,4,0,savaux_codec
0_0_0_10_14_32,-25.0,5,4,5,33,35,0.8571428571428571,0.5714285714285714,0.42857142857142855,0.17142857142857143,0.17142857142857143,0.42857142857142855,0.6857142857142857,0.6857142857142857,0.2571428571428571,0.2571428571428571,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,4096,0,0,-1,-1,0.0,0.0,0,1,0.9714285714285714,3.3142857142857145,0,0,0,savaux_paper
0_0_0_10_14_32,-25.0,6,5,6,33,35,0.8857142857142857,0.6857142857142857,0.34285714285714286,0.2,0.2,0.5428571428571428,0.6857142857142857,0.6857142857142857,0.14285714285714285,0.14285714285714285,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,4096,0,0,-1,-1,0.0,0.0,0,1,1.0,1.9714285714285715,0,0,0,savaux_paper
0_0_0_10_14_32,-25.0,7,6,7,33,35,0.8571428571428571,0.5714285714285714,0.37142857142857144,0.2571428571428571,0.2571428571428571,0.48571428571428565,0.6,0.6,0.11428571428571432,0.11428571428571432,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,4096,0,0,-1,-1,0.0,0.0,0,1,1.0,2.1714285714285713,0,0,0,savaux_paper
0_0_0_10_14_32,-26.0,0,0,0,33,35,1.0,1.0,0.9714285714285714,0.9142857142857143,0.9142857142857143,0.02857142857142858,0.08571428571428574,0.08571428571428574,0.05714285714285716,0.05714285714285716,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,4096,0,0,-1,-1,0.0,0.0,0,1,0.3142857142857143,208.57142857142858,0,0,0,savaux_paper
0_0_0_10_14_32,-26.0,2,1,2,33,35,0.8571428571428571,0.7142857142857143,0.4857142857142857,0.2571428571428571,0.2571428571428571,0.3714285714285714,0.6,0.6,0.2285714285714286,0.2285714285714286,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,4096,0,0,-1,-1,0.0,0.0,0,1,0.8571428571428571,32.51428571428571,0,0,0,savaux_paper
0_0_0_10_14_32,-26.0,3,2,3,33,35,0.8857142857142857,0.8,0.5428571428571428,0.4,0.4,0.34285714285714286,0.48571428571428565,0.48571428571428565,0.1428571428571428,0.1428571428571428,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,4096,0,0,-1,-1,0.0,0.0,0,1,1.0,3.0,0,0,0,savaux_paper
