packet_index,event_index,candidate_index,selected,candidate_values,candidate_payload_hex,score,signal_score,prior_score,score_mode,effective_kappa,known_symbols,mean_phase_score,mean_amp_score,mean_profile_score,line_rmse_pi,line_r2,map_phase_ll,map_line_ll,map_amp_ll,map_profile_ll
1,1,2,1,6:02,404433221100020058303132333435363738393a3b3c3d3e3f4041424378563412,0.684531954,0.684531954,0.000000000,map,4.000000000,10,0.901153286,0.673539834,0.000000000,0.021387866,0.944202302,3.209226285,-0.002541338,-0.582519744,0.000000000
1,1,82,0,6:52,404433221100520058303132333435363738393a3b3c3d3e3f4041424378563412,0.553007995,0.553007995,0.000000000,map,4.000000000,10,0.850294120,0.610169044,0.000000000,0.047645297,0.857382042,2.802352958,-0.012611524,-0.706372410,0.000000000
1,1,4,0,6:04,404433221100040058303132333435363738393a3b3c3d3e3f4041424378563412,0.495574233,0.495574233,0.000000000,map,4.000000000,10,0.835415658,0.603870344,0.000000000,0.038044584,0.855921207,2.683325263,-0.008041057,-0.856182771,0.000000000
1,1,1,0,6:01,404433221100010058303132333435363738393a3b3c3d3e3f4041424378563412,0.455219253,0.455219253,0.000000000,map,4.000000000,10,0.834072290,0.531374071,0.000000000,0.035102877,0.883425514,2.672578318,-0.006845622,-1.047512575,0.000000000
1,1,66,0,6:42,404433221100420058303132333435363738393a3b3c3d3e3f4041424378563412,0.447017478,0.447017478,0.000000000,map,4.000000000,10,0.827027441,0.570422666,0.000000000,0.051933188,0.814983236,2.616219531,-0.014983644,-0.997727915,0.000000000
1,1,194,0,6:c2,404433221100c20058303132333435363738393a3b3c3d3e3f4041424378563412,0.432140744,0.432140744,0.000000000,map,4.000000000,10,0.833057238,0.517587390,0.000000000,0.051933188,0.814983236,2.664457902,-0.014983644,-1.132409547,0.000000000
1,1,98,0,6:62,404433221100620058303132333435363738393a3b3c3d3e3f4041424378563412,0.413500342,0.413500342,0.000000000,map,4.000000000,10,0.799782779,0.603067956,0.000000000,0.044226860,0.876819558,2.398262235,-0.010866751,-0.903159208,0.000000000
1,1,18,0,6:12,404433221100120058303132333435363738393a3b3c3d3e3f4041424378563412,0.387640901,0.387640901,0.000000000,map,4.000000000,10,0.804487795,0.620855312,0.000000000,0.105104609,0.541051209,2.435902358,-0.061372105,-0.953243181,0.000000000
1,1,8,0,6:08,404433221100080058303132333435363738393a3b3c3d3e3f4041424378563412,0.381483694,0.381483694,0.000000000,map,4.000000000,10,0.795144992,0.539002020,0.000000000,0.072202835,0.116024727,2.361159938,-0.028962496,-0.971625210,0.000000000
1,1,50,0,6:32,404433221100320058303132333435363738393a3b3c3d3e3f4041424378563412,0.375323660,0.375323660,0.000000000,map,4.000000000,10,0.777243133,0.653500603,0.000000000,0.051710501,0.846324891,2.217945063,-0.014855422,-0.858674474,0.000000000
1,1,7,0,6:07,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,0.372812709,0.372812709,0.000000000,map,4.000000000,10,0.792039441,0.559467193,0.000000000,0.094865078,0.866443999,2.336315526,-0.049996572,-0.931339433,0.000000000
1,1,146,0,6:92,404433221100920058303132333435363738393a3b3c3d3e3f4041424378563412,0.372764167,0.372764167,0.000000000,map,4.000000000,10,0.810517591,0.568020036,0.000000000,0.105104609,0.541051209,2.484140729,-0.061372105,-1.087924813,0.000000000
1,1,84,0,6:54,404433221100540058303132333435363738393a3b3c3d3e3f4041424378563412,0.365934623,0.365934623,0.000000000,map,4.000000000,10,0.784556492,0.540499554,0.000000000,0.050810021,0.796302236,2.276451936,-0.014342546,-0.980035438,0.000000000
1,1,0,0,6:00,404433221100000058303132333435363738393a3b3c3d3e3f4041424378563412,0.351361150,0.351361150,0.000000000,map,4.000000000,10,0.792104928,0.532385104,0.000000000,0.062351102,0.130553870,2.336839420,-0.021598111,-1.110248249,0.000000000
1,1,81,0,6:51,404433221100510058303132333435363738393a3b3c3d3e3f4041424378563412,0.323715174,0.323715174,0.000000000,map,4.000000000,10,0.783213124,0.468003281,0.000000000,0.055115236,0.770669292,2.265704990,-0.016876051,-1.171365241,0.000000000
1,1,6,0,6:06,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,0.294152979,0.294152979,0.000000000,map,4.000000000,10,0.750072079,0.560478226,0.000000000,0.050827320,0.835752051,2.000576629,-0.014352313,-0.994075108,0.000000000
1,1,130,0,6:82,404433221100820058303132333435363738393a3b3c3d3e3f4041424378563412,0.292712693,0.292712693,0.000000000,map,4.000000000,10,0.787250913,0.528273658,0.000000000,0.046215850,0.712270630,2.298007302,-0.011866138,-1.379280318,0.000000000
1,1,11,0,6:0b,4044332211000b0058303132333435363738393a3b3c3d3e3f4041424378563412,0.292639304,0.292639304,0.000000000,map,4.000000000,10,0.751768775,0.494598869,0.000000000,0.023560008,0.965940738,2.014150201,-0.003083744,-1.046781872,0.000000000
1,1,34,0,6:22,404433221100220058303132333435363738393a3b3c3d3e3f4041424378563412,0.271224107,0.271224107,0.000000000,map,4.000000000,10,0.753976454,0.613754224,0.000000000,0.049195634,0.847772877,2.031811636,-0.013445614,-1.150029979,0.000000000
