dataset,snr_db,seed,packet_count,symbol_count,mean_gt_topk_recall,mean_gt_savaux_rank,savaux_ser,best_pattern_ser,mean_pattern_ser,coherent_pattern_ser,whitened_pattern_ser,stable_pattern_ser,gated_mean_pattern_ser,gated_stable_pattern_ser,gated_consensus_pattern_ser,best_pattern_fix_vs_savaux,best_pattern_break_vs_savaux,best_pattern_changes_vs_savaux,mean_pattern_fix_vs_savaux,mean_pattern_break_vs_savaux,mean_pattern_changes_vs_savaux,coherent_pattern_fix_vs_savaux,coherent_pattern_break_vs_savaux,coherent_pattern_changes_vs_savaux,whitened_pattern_fix_vs_savaux,whitened_pattern_break_vs_savaux,whitened_pattern_changes_vs_savaux,stable_pattern_fix_vs_savaux,stable_pattern_break_vs_savaux,stable_pattern_changes_vs_savaux,gated_mean_pattern_fix_vs_savaux,gated_mean_pattern_break_vs_savaux,gated_mean_pattern_changes_vs_savaux,gated_stable_pattern_fix_vs_savaux,gated_stable_pattern_break_vs_savaux,gated_stable_pattern_changes_vs_savaux,gated_consensus_pattern_fix_vs_savaux,gated_consensus_pattern_break_vs_savaux,gated_consensus_pattern_changes_vs_savaux
0_0_0_10_14_8,-25.0,1,1,35,0.9714285714285714,2.6285714285714286,0.2,0.5428571428571428,0.2,0.17142857142857143,0.2,0.14285714285714285,0.2,0.17142857142857143,0.2,1,13,19,0,0,2,1,0,2,1,1,3,2,0,2,0,0,1,1,0,1,0,0,0
0_0_0_10_14_8,-26.0,1,1,35,0.9142857142857143,7.942857142857143,0.3142857142857143,0.7142857142857143,0.4,0.37142857142857144,0.4,0.3142857142857143,0.3142857142857143,0.34285714285714286,0.3142857142857143,2,16,24,0,3,8,1,3,7,0,3,6,1,1,4,0,0,1,0,1,2,0,0,0
0_0_0_10_14_8,-25.0,2,1,35,0.9714285714285714,2.342857142857143,0.22857142857142856,0.5714285714285714,0.2571428571428571,0.2857142857142857,0.2857142857142857,0.22857142857142856,0.2857142857142857,0.2,0.22857142857142856,0,12,18,1,2,5,1,3,8,1,3,8,1,1,4,0,2,4,1,0,1,0,0,0
0_0_0_10_14_8,-26.0,2,1,35,0.9428571428571428,6.4,0.4,0.7428571428571429,0.42857142857142855,0.45714285714285713,0.42857142857142855,0.4,0.4,0.4,0.4,0,12,22,1,2,6,0,2,8,0,1,7,0,0,4,0,0,3,0,0,1,0,0,1
0_0_0_10_14_8,-25.0,42,1,35,0.9714285714285714,2.142857142857143,0.22857142857142856,0.6285714285714286,0.2571428571428571,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.22857142857142856,0.22857142857142856,3,17,24,1,2,5,0,2,2,0,2,2,0,2,2,0,2,3,0,0,0,0,0,0
0_0_0_10_14_8,-26.0,42,1,35,0.8857142857142857,6.171428571428572,0.4,0.7714285714285715,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.4,0.4,0,13,23,1,0,4,1,0,2,1,0,2,1,0,2,1,0,2,0,0,1,0,0,0
0_0_0_10_14_16,-25.0,1,1,35,1.0,1.2,0.14285714285714285,0.5714285714285714,0.2571428571428571,0.2571428571428571,0.2571428571428571,0.17142857142857143,0.14285714285714285,0.17142857142857143,0.14285714285714285,1,16,20,0,4,5,0,4,5,0,4,5,0,1,1,0,0,0,0,1,1,0,0,0
0_0_0_10_14_16,-26.0,1,1,35,1.0,2.3714285714285714,0.37142857142857144,0.7428571428571429,0.42857142857142855,0.34285714285714286,0.34285714285714286,0.37142857142857144,0.42857142857142855,0.37142857142857144,0.37142857142857144,0,13,23,0,2,7,2,1,7,2,1,7,0,0,3,0,2,6,0,0,1,0,0,0
0_0_0_10_14_16,-25.0,2,1,35,0.9428571428571428,2.6,0.2571428571428571,0.6571428571428571,0.37142857142857144,0.37142857142857144,0.34285714285714286,0.2857142857142857,0.2857142857142857,0.2571428571428571,0.2571428571428571,0,14,20,2,6,11,1,5,10,1,4,9,0,1,4,2,3,8,0,0,1,0,0,0
0_0_0_10_14_16,-26.0,2,1,35,0.9142857142857143,6.685714285714286,0.45714285714285713,0.7714285714285715,0.5428571428571428,0.4857142857142857,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.4857142857142857,0.45714285714285713,0,11,24,1,4,16,2,3,15,1,3,15,0,2,9,1,3,15,0,1,4,0,0,1
