frame_index,packet_index,event_index,payload_symbol_index,raw_fft_bin,signed_fft_bin,symbol_value,peak_amp,peak_phase,peak_phase_pi,peak_margin_db
0,1,1,0,222,222,221,7.063831186843052,-3.098894693806952,-0.9864088172812437,17.74145235188832
0,1,1,1,826,-198,825,6.74510206672026,0.4595877892856269,0.14629133689896787,19.428949909678682
0,1,1,2,922,-102,921,7.440769902043106,-2.3172671145511328,-0.7376090314902122,18.960563202671374
0,1,1,3,718,-306,717,7.401109039565556,1.2288693529772425,0.3911612638809346,20.081739689848582
0,1,1,4,107,107,106,7.367553942644698,-1.5304539817973404,-0.4871586327554407,17.023192042701325
0,1,1,5,468,468,467,7.34648279164602,1.9985015584324404,0.6361428036027584,19.232522113472882
0,1,1,6,89,89,88,7.345387635035792,-0.7786539625172761,-0.24785325418543178,17.74937922809891
0,1,1,7,713,-311,712,7.212777183507643,2.699145587458501,0.8591647247373964,16.266745170356238
0,1,1,8,865,-159,864,7.323200850899506,-0.10777339604293505,-0.034305337428067254,19.31511759380985
0,1,1,9,492,492,491,7.328638112433475,-2.891570629016237,-0.9204155178145504,17.21956496140836
0,1,1,10,765,-259,764,7.345364190721547,0.6009085447294004,0.19127513047968273,18.708576670327364
0,1,1,11,1023,-1,1022,7.42606498679698,-2.2009730589008463,-0.700591483872318,20.864407287465752
0,1,1,12,597,-427,596,7.404204933241534,1.2814680431976946,0.40790394697842314,19.259424151450478
0,1,1,13,562,-462,561,6.609248381022651,-1.5434258507647602,-0.49128770689005113,18.22906131058053
0,1,1,14,478,478,477,6.940867512842561,1.888850425964786,0.6012397641070556,17.53000305672455
0,1,1,15,267,267,266,7.376147347281113,-0.9170013645338521,-0.2918905999751512,19.915025579761217
0,1,1,16,917,-107,916,7.518640862965391,2.526711664932287,0.8042773024838525,24.43834519872887
0,1,1,17,656,-368,655,7.472570266473443,-0.34916579558631516,-0.1111429246523527,20.882241945775938
0,1,1,18,889,-135,888,7.404002170432436,3.0570327963294726,0.9730837614597497,23.776971785488698
