stage,symbol_index,phase,amp,raw_bin,start_sample,sample_offset,reference,front_grid,phase_unwrap,target_snr_db,packet_index,dataset
preamble,11.0,-0.154533009435443,32.68305378285687,0,15983683,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-25.28727423815379,-23.0,10,0_0_0_10_14_16
preamble,12.0,-2.9848504103964624,35.491546121817564,0,15987779,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-28.117591639114806,-23.0,10,0_0_0_10_14_16
preamble,13.0,0.8373696087525409,30.77527513642835,0,15991875,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-30.57855692714539,-23.0,10,0_0_0_10_14_16
preamble,14.0,-2.41161792539704,32.52497584955943,0,15995971,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-27.544359154115384,-23.0,10,0_0_0_10_14_16
preamble,15.0,1.0751360775601126,36.99387155677323,0,16000067,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-30.340790458337818,-23.0,10,0_0_0_10_14_16
sync_word,16.0,1.8302297392195737,24.795436987852963,24,16004163,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-29.585696796678356,-23.0,10,0_0_0_10_14_16
sync_word,17.0,0.09628347002740224,24.625010820052243,32,16008259,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-31.31964306587053,-23.0,10,0_0_0_10_14_16
sfd,18.0,-0.8352897792854533,34.10009426455467,4049,16012355,0,frame_sync_raw_upchirp_ref,frame_sync_raw,-25.9680310080038,-23.0,10,0_0_0_10_14_16
sfd,19.0,2.3953495313008433,30.720129994820617,4049,16016451,0,frame_sync_raw_upchirp_ref,frame_sync_raw,-29.020577004597087,-23.0,10,0_0_0_10_14_16
preamble,0.0,-1.1110364197812903,26.044432740040076,0,15938627,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-1.1110364197812903,-24.0,10,0_0_0_10_14_16
preamble,1.0,2.644419273354811,28.025139338263223,0,15942723,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-3.6387660338247754,-24.0,10,0_0_0_10_14_16
preamble,2.0,-0.19322755731929459,25.76596905066044,0,15946819,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-6.476412864498881,-24.0,10,0_0_0_10_14_16
preamble,3.0,-2.980153064732847,40.27501195093347,0,15950915,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-9.263338371912432,-24.0,10,0_0_0_10_14_16
preamble,4.0,0.31949833350362433,28.869297308778695,0,15955011,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-12.246872280855548,-24.0,10,0_0_0_10_14_16
preamble,5.0,-2.2791254525758378,33.53442098342158,0,15959107,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-14.84549606693501,-24.0,10,0_0_0_10_14_16
preamble,6.0,1.3638360433225536,32.174835171971644,0,15963203,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-17.485719878216205,-24.0,10,0_0_0_10_14_16
preamble,7.0,-1.4917474928324388,31.579716997649477,0,15967299,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-20.341303414371197,-24.0,10,0_0_0_10_14_16
preamble,8.0,2.3154165701394542,27.7566243769162,0,15971395,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-22.81732465857889,-24.0,10,0_0_0_10_14_16
preamble,9.0,-0.911978318249202,29.343252567200302,0,15975491,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-19.76153423978796,-24.0,10,0_0_0_10_14_16
preamble,10.0,2.8901906788633625,27.824270681403096,0,15979587,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-22.242550549854982,-24.0,10,0_0_0_10_14_16
preamble,11.0,-0.1606784739126147,32.97268842587915,0,15983683,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-25.29341970263096,-24.0,10,0_0_0_10_14_16
preamble,12.0,-2.993486028222226,36.076301299143346,0,15987779,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-28.12622725694057,-24.0,10,0_0_0_10_14_16
preamble,13.0,0.8666514054522917,30.952268424823547,0,15991875,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-30.54927513044564,-24.0,10,0_0_0_10_14_16
preamble,14.0,-2.4362503317178623,32.86439845304064,0,15995971,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-27.568991560436206,-24.0,10,0_0_0_10_14_16
preamble,15.0,1.0554318682207249,37.84848923269958,0,16000067,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-30.360494667677205,-24.0,10,0_0_0_10_14_16
sync_word,16.0,1.8160483369151261,24.19389911082604,24,16004163,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-29.599878198982804,-24.0,10,0_0_0_10_14_16
sync_word,17.0,0.07414022118923655,24.026389832283492,32,16008259,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-31.341786314708695,-24.0,10,0_0_0_10_14_16
sfd,18.0,-0.8188889221082731,34.50651251011287,4049,16012355,0,frame_sync_raw_upchirp_ref,frame_sync_raw,-25.951630150826617,-24.0,10,0_0_0_10_14_16
sfd,19.0,2.3853802829208477,30.829205658714898,4049,16016451,0,frame_sync_raw_upchirp_ref,frame_sync_raw,-29.030546252977082,-24.0,10,0_0_0_10_14_16
preamble,0.0,-1.1051519860239272,25.656873770689774,0,15938627,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-1.1051519860239272,-25.0,10,0_0_0_10_14_16
preamble,1.0,2.6729404549499787,27.99265782425659,0,15942723,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-3.6102448522296076,-25.0,10,0_0_0_10_14_16
