dataset,packet_index,target_snr_db,front_grid,pre_header_slope_pi_per_symbol,payload_slope_pi_per_symbol,slope_delta_pi_per_symbol,pre_header_fit_r2,pre_header_fit_rmse_pi,pre_sync_header_slope_pi_per_symbol,pre_sync_header_fit_r2,pre_sync_header_fit_rmse_pi,payload_gt_fit_r2,payload_gt_fit_rmse_pi,payload_rmse_from_pre_header_pi,payload_rmse_from_pre_sync_header_pi
0_0_0_10_14_16,10,-22.0,fine_payload_backtrack,0.031481180159413265,-0.12575735652604922,-0.15723853668546248,0.670021935534471,0.19081405354786912,0.02986012754892188,0.5677179405863155,0.21767340462981552,0.9638428591093839,0.2459982136322982,1.667442289104193,1.6310481717188647
0_0_0_10_14_16,10,-23.0,fine_payload_backtrack,0.031109767595861294,-0.12605007728968876,-0.15715984488555004,0.6586260082918085,0.1934433798961631,0.02955462791912166,0.562169207073929,0.21789212569674768,0.9622806381177167,0.252045553972272,1.6659783175533087,1.631337431538378
0_0_0_10_14_16,10,-24.0,fine_payload_backtrack,0.030655075517163573,-0.12639284454142014,-0.1570479200585837,0.6432242269893935,0.19718787159025422,0.02919080281641509,0.5538879145178446,0.21885350386202565,0.9604556154557528,0.25901855622826575,1.6639944394480128,1.6317033349162289
0_0_0_10_14_16,10,-25.0,fine_payload_backtrack,0.030085330823708015,-0.12681949435664125,-0.15690482518034926,0.6220667133140939,0.20253739044903168,0.028740894941134167,0.5403478133270123,0.22144948178463014,0.9584029641335546,0.26683805441984765,1.6614852102282747,1.6322166425418825
0_0_0_10_14_16,10,-26.0,fine_payload_backtrack,0.029368622300814818,-0.12757692592273748,-0.1569455482235523,0.5930363805641264,0.21012708088450424,0.028165089119754797,0.5179248092600763,0.2270029903720499,0.9561534063639794,0.27591855353236133,1.6615135301952502,1.6356396590978155
0_0_0_10_14_16,10,-27.0,fine_payload_backtrack,0.028501812835521435,-0.12893771628248746,-0.1574395291180089,0.5552215239849175,0.22032944785972325,0.02743717735851164,0.48495594963620636,0.23621468161713774,0.9484639663031821,0.30354961158936433,1.6709454228388605,1.648262854742498
