stage,symbol_index,phase,amp,raw_bin,start_sample,sample_offset,reference,front_grid,phase_unwrap,target_snr_db,packet_index,dataset
payload_gt,32.25,3.106229370566273,8.958473254729725,107,16070623,2,downchirp_cfo_corrected,fine_payload_backtrack,3.106229370566273,-22.0,10,0_0_0_10_14_16
payload_gt,33.25,-2.8954382000036865,4.483712502912569,468,16074719,2,downchirp_cfo_corrected,fine_payload_backtrack,3.3877471071758998,-22.0,10,0_0_0_10_14_16
payload_gt,34.25,-2.729045465043384,8.580015932025422,89,16078815,2,downchirp_cfo_corrected,fine_payload_backtrack,3.5541398421362023,-22.0,10,0_0_0_10_14_16
payload_gt,35.25,-3.012110881658545,8.066595641848467,713,16082911,2,downchirp_cfo_corrected,fine_payload_backtrack,3.271074425521041,-22.0,10,0_0_0_10_14_16
payload_gt,36.25,2.840538212772496,6.014603652943255,865,16087007,2,downchirp_cfo_corrected,fine_payload_backtrack,2.840538212772495,-22.0,10,0_0_0_10_14_16
payload_gt,37.25,2.226068442441425,6.015923703281559,492,16091103,2,downchirp_cfo_corrected,fine_payload_backtrack,2.226068442441424,-22.0,10,0_0_0_10_14_16
payload_gt,38.25,2.1766732780587903,6.24879295404199,765,16095199,2,downchirp_cfo_corrected,fine_payload_backtrack,2.1766732780587894,-22.0,10,0_0_0_10_14_16
payload_gt,39.25,2.236505309612573,10.675709096159943,1023,16099295,2,downchirp_cfo_corrected,fine_payload_backtrack,2.236505309612572,-22.0,10,0_0_0_10_14_16
payload_gt,40.25,2.3552532983299077,4.976882633631361,597,16103391,2,downchirp_cfo_corrected,fine_payload_backtrack,2.355253298329907,-22.0,10,0_0_0_10_14_16
payload_gt,41.25,0.8196411753144272,8.189766647404795,562,16107487,2,downchirp_cfo_corrected,fine_payload_backtrack,0.8196411753144263,-22.0,10,0_0_0_10_14_16
payload_gt,42.25,1.4515137777180784,9.962545327896553,478,16111583,2,downchirp_cfo_corrected,fine_payload_backtrack,1.4515137777180775,-22.0,10,0_0_0_10_14_16
payload_gt,43.25,0.6842987798123796,9.318191149066125,267,16115679,2,downchirp_cfo_corrected,fine_payload_backtrack,0.6842987798123787,-22.0,10,0_0_0_10_14_16
payload_gt,44.25,0.2627674757745725,6.431012282279368,917,16119775,2,downchirp_cfo_corrected,fine_payload_backtrack,0.2627674757745716,-22.0,10,0_0_0_10_14_16
payload_gt,45.250244140625,-0.24374116754004943,8.350943055781965,656,16123872,2,downchirp_cfo_corrected,fine_payload_backtrack,-0.24374116754005032,-22.0,10,0_0_0_10_14_16
payload_gt,46.250244140625,-0.5811574531901665,7.360557882051763,889,16127968,2,downchirp_cfo_corrected,fine_payload_backtrack,-0.5811574531901674,-22.0,10,0_0_0_10_14_16
payload_gt,47.250244140625,-0.8641159129505396,6.471194418239493,510,16132064,2,downchirp_cfo_corrected,fine_payload_backtrack,-0.8641159129505405,-22.0,10,0_0_0_10_14_16
payload_gt,48.250244140625,-1.0101597099295518,11.54986959553011,860,16136160,2,downchirp_cfo_corrected,fine_payload_backtrack,-1.0101597099295527,-22.0,10,0_0_0_10_14_16
payload_gt,49.250244140625,-2.213632012184357,10.568301156440906,553,16140256,2,downchirp_cfo_corrected,fine_payload_backtrack,-2.213632012184358,-22.0,10,0_0_0_10_14_16
payload_gt,50.250244140625,-2.687600460431166,11.00254602538194,629,16144352,2,downchirp_cfo_corrected,fine_payload_backtrack,-2.6876004604311667,-22.0,10,0_0_0_10_14_16
payload_gt,51.250244140625,-2.734714394757929,3.0156450811645845,759,16148448,2,downchirp_cfo_corrected,fine_payload_backtrack,-2.7347143947579298,-22.0,10,0_0_0_10_14_16
payload_gt,52.250244140625,2.9480622050968672,8.794570938477221,874,16152544,2,downchirp_cfo_corrected,fine_payload_backtrack,-3.33512310208272,-22.0,10,0_0_0_10_14_16
payload_gt,53.250244140625,2.7667240229677215,12.152015218475915,720,16156640,2,downchirp_cfo_corrected,fine_payload_backtrack,-3.5164612842118657,-22.0,10,0_0_0_10_14_16
payload_gt,54.250244140625,2.0460463470423504,5.159646321264169,314,16160736,2,downchirp_cfo_corrected,fine_payload_backtrack,-4.237138960137237,-22.0,10,0_0_0_10_14_16
payload_gt,55.250244140625,1.6050762134750696,5.614093765522632,602,16164832,2,downchirp_cfo_corrected,fine_payload_backtrack,-4.678109093704517,-22.0,10,0_0_0_10_14_16
payload_gt,56.250244140625,0.8644070451767857,7.183579420895421,7,16168928,2,downchirp_cfo_corrected,fine_payload_backtrack,-5.418778262002801,-22.0,10,0_0_0_10_14_16
payload_gt,57.250244140625,-0.2851590756156186,7.544681081564302,610,16173024,2,downchirp_cfo_corrected,fine_payload_backtrack,-6.568344382795206,-22.0,10,0_0_0_10_14_16
payload_gt,58.250244140625,-0.36872105990193565,5.024076626611002,826,16177120,2,downchirp_cfo_corrected,fine_payload_backtrack,-6.651906367081523,-22.0,10,0_0_0_10_14_16
payload_gt,59.250244140625,-0.9097209776452735,4.707136439784631,904,16181216,2,downchirp_cfo_corrected,fine_payload_backtrack,-7.19290628482486,-22.0,10,0_0_0_10_14_16
payload_gt,60.250244140625,-0.9487391918415803,10.00083924954084,760,16185312,2,downchirp_cfo_corrected,fine_payload_backtrack,-7.231924499021168,-22.0,10,0_0_0_10_14_16
payload_gt,61.250244140625,-2.4499246942137716,13.919843516156215,577,16189408,2,downchirp_cfo_corrected,fine_payload_backtrack,-8.733110001393358,-22.0,10,0_0_0_10_14_16
payload_gt,62.250244140625,-2.618063020863505,9.70715524075927,930,16193504,2,downchirp_cfo_corrected,fine_payload_backtrack,-8.901248328043092,-22.0,10,0_0_0_10_14_16
preamble,0.0,2.8298874719917815,5.25886938757486,0,15938527,2,downchirp_cfo_corrected,fine_payload_backtrack,2.8298874719917815,-23.0,10,0_0_0_10_14_16
preamble,1.0,2.8612313954728714,10.076858033511208,0,15942623,2,downchirp_cfo_corrected,fine_payload_backtrack,2.8612313954728714,-23.0,10,0_0_0_10_14_16
preamble,2.0,-3.017456668583139,3.6784035741947627,0,15946719,2,downchirp_cfo_corrected,fine_payload_backtrack,3.265728638596447,-23.0,10,0_0_0_10_14_16
preamble,3.0,3.0197310285933363,11.919881006405188,0,15950815,2,downchirp_cfo_corrected,fine_payload_backtrack,3.0197310285933363,-23.0,10,0_0_0_10_14_16
preamble,4.0,2.8510314771584406,6.179028688096932,0,15954911,2,downchirp_cfo_corrected,fine_payload_backtrack,2.8510314771584406,-23.0,10,0_0_0_10_14_16
preamble,5.0,2.9030638658251986,11.004969019399773,0,15959007,2,downchirp_cfo_corrected,fine_payload_backtrack,2.9030638658251986,-23.0,10,0_0_0_10_14_16
preamble,6.0,2.744162704320107,8.449497811282496,0,15963103,2,downchirp_cfo_corrected,fine_payload_backtrack,2.744162704320107,-23.0,10,0_0_0_10_14_16
preamble,7.0,2.770121018001988,7.111020108103623,0,15967199,2,downchirp_cfo_corrected,fine_payload_backtrack,2.770121018001988,-23.0,10,0_0_0_10_14_16
preamble,8.0,2.883358624786035,7.585483602262154,0,15971295,2,downchirp_cfo_corrected,fine_payload_backtrack,2.883358624786035,-23.0,10,0_0_0_10_14_16
preamble,9.0,2.858158229074494,9.041864407823923,0,15975391,2,downchirp_cfo_corrected,fine_payload_backtrack,2.858158229074494,-23.0,10,0_0_0_10_14_16
preamble,10.0,-2.7318604324314935,9.405913943323085,0,15979487,2,downchirp_cfo_corrected,fine_payload_backtrack,3.5513248747480928,-23.0,10,0_0_0_10_14_16
preamble,11.0,2.6163362288568353,9.790115346749461,0,15983583,2,downchirp_cfo_corrected,fine_payload_backtrack,2.6163362288568353,-23.0,10,0_0_0_10_14_16
preamble,12.0,2.701336590079979,7.6103024101201004,0,15987679,2,downchirp_cfo_corrected,fine_payload_backtrack,2.701336590079979,-23.0,10,0_0_0_10_14_16
preamble,13.0,-3.109106798846136,7.418634270656287,0,15991775,2,downchirp_cfo_corrected,fine_payload_backtrack,3.17407850833345,-23.0,10,0_0_0_10_14_16
preamble,14.0,2.489139367531629,7.628588991092605,0,15995871,2,downchirp_cfo_corrected,fine_payload_backtrack,2.489139367531629,-23.0,10,0_0_0_10_14_16
preamble,15.0,2.5579479105652427,6.296626540396301,0,15999967,2,downchirp_cfo_corrected,fine_payload_backtrack,2.5579479105652427,-23.0,10,0_0_0_10_14_16
sync_word,16.0,3.0307657108422634,3.363007643623094,24,16004063,2,downchirp_cfo_corrected,fine_payload_backtrack,3.0307657108422634,-23.0,10,0_0_0_10_14_16
sync_word,17.0,2.286140133134459,7.065176746039662,32,16008159,2,downchirp_cfo_corrected,fine_payload_backtrack,2.286140133134459,-23.0,10,0_0_0_10_14_16
sfd,18.0,-3.0763722795402946,9.731602059213452,977,16012255,2,sfd_cfo_corrected_upchirp_clean_locked_bin,fine_payload_backtrack,3.2068130276392917,-23.0,10,0_0_0_10_14_16
sfd,19.0,-3.0798281557490474,5.931154272717354,977,16016351,2,sfd_cfo_corrected_upchirp_clean_locked_bin,fine_payload_backtrack,3.203357151430539,-23.0,10,0_0_0_10_14_16
header,20.25,-1.2439598028814933,12.897586015243597,301,16021471,2,downchirp_cfo_corrected,fine_payload_backtrack,5.039225504298093,-23.0,10,0_0_0_10_14_16
header,21.25,-1.2362055108880141,6.31399409383385,653,16025567,2,downchirp_cfo_corrected,fine_payload_backtrack,5.046979796291572,-23.0,10,0_0_0_10_14_16
header,22.25,-0.6455103702186898,9.213038635722612,61,16029663,2,downchirp_cfo_corrected,fine_payload_backtrack,5.637674936960896,-23.0,10,0_0_0_10_14_16
header,23.25,-1.6286033142150862,14.322100764353642,81,16033759,2,downchirp_cfo_corrected,fine_payload_backtrack,4.6545819929645,-23.0,10,0_0_0_10_14_16
header,24.25,-1.3076775816145205,12.398150669679488,845,16037855,2,downchirp_cfo_corrected,fine_payload_backtrack,4.975507725565066,-23.0,10,0_0_0_10_14_16
header,25.25,-0.8838426692946187,8.549002555400696,825,16041951,2,downchirp_cfo_corrected,fine_payload_backtrack,5.399342637884968,-23.0,10,0_0_0_10_14_16
header,26.25,-1.6102806163565178,10.825647742971507,729,16046047,2,downchirp_cfo_corrected,fine_payload_backtrack,4.672904690823069,-23.0,10,0_0_0_10_14_16
header,27.25,-1.7544221253197705,8.711376145897137,345,16050143,2,downchirp_cfo_corrected,fine_payload_backtrack,4.528763181859816,-23.0,10,0_0_0_10_14_16
payload_gt,28.25,-1.7713253629152181,8.702636067073184,803,16054239,2,downchirp_cfo_corrected,fine_payload_backtrack,4.511859944264368,-23.0,10,0_0_0_10_14_16
payload_gt,29.25,-2.213818902813888,12.477231882094408,826,16058335,2,downchirp_cfo_corrected,fine_payload_backtrack,4.069366404365699,-23.0,10,0_0_0_10_14_16
payload_gt,30.25,-1.9726959820082015,10.133159082037167,922,16062431,2,downchirp_cfo_corrected,fine_payload_backtrack,4.3104893251713845,-23.0,10,0_0_0_10_14_16
payload_gt,31.25,-2.549570812200881,7.700453021615223,691,16066527,2,downchirp_cfo_corrected,fine_payload_backtrack,3.7336144949787053,-23.0,10,0_0_0_10_14_16
payload_gt,32.25,3.051463002946894,9.321223267192453,107,16070623,2,downchirp_cfo_corrected,fine_payload_backtrack,3.051463002946894,-23.0,10,0_0_0_10_14_16
payload_gt,33.25,-2.924872725138048,4.133960192702069,468,16074719,2,downchirp_cfo_corrected,fine_payload_backtrack,3.3583125820415383,-23.0,10,0_0_0_10_14_16
payload_gt,34.25,-2.6992024985695395,8.727369617870021,89,16078815,2,downchirp_cfo_corrected,fine_payload_backtrack,3.5839828086100467,-23.0,10,0_0_0_10_14_16
payload_gt,35.25,-2.983884997005682,8.120920161777539,713,16082911,2,downchirp_cfo_corrected,fine_payload_backtrack,3.299300310173904,-23.0,10,0_0_0_10_14_16
payload_gt,36.25,2.850513178210729,5.796377007874566,865,16087007,2,downchirp_cfo_corrected,fine_payload_backtrack,2.8505131782107282,-23.0,10,0_0_0_10_14_16
payload_gt,37.25,2.1796005930828786,5.836113681645019,492,16091103,2,downchirp_cfo_corrected,fine_payload_backtrack,2.1796005930828777,-23.0,10,0_0_0_10_14_16
payload_gt,38.25,2.1662567104496784,6.057182782517971,765,16095199,2,downchirp_cfo_corrected,fine_payload_backtrack,2.1662567104496775,-23.0,10,0_0_0_10_14_16
payload_gt,39.25,2.2611906871258363,11.081547016491514,1023,16099295,2,downchirp_cfo_corrected,fine_payload_backtrack,2.2611906871258354,-23.0,10,0_0_0_10_14_16
payload_gt,40.25,2.4830473182934822,4.8964051280645435,597,16103391,2,downchirp_cfo_corrected,fine_payload_backtrack,2.4830473182934814,-23.0,10,0_0_0_10_14_16
payload_gt,41.25,0.7645377910535511,8.360759342980424,562,16107487,2,downchirp_cfo_corrected,fine_payload_backtrack,0.7645377910535502,-23.0,10,0_0_0_10_14_16
payload_gt,42.25,1.4917181974221507,10.341242489853892,478,16111583,2,downchirp_cfo_corrected,fine_payload_backtrack,1.4917181974221498,-23.0,10,0_0_0_10_14_16
payload_gt,43.25,0.6867241609025849,9.522859487668272,267,16115679,2,downchirp_cfo_corrected,fine_payload_backtrack,0.686724160902584,-23.0,10,0_0_0_10_14_16
payload_gt,44.25,0.26041565256051347,6.3460752486982495,917,16119775,2,downchirp_cfo_corrected,fine_payload_backtrack,0.2604156525605126,-23.0,10,0_0_0_10_14_16
payload_gt,45.250244140625,-0.2595274789561655,8.50482000815895,656,16123872,2,downchirp_cfo_corrected,fine_payload_backtrack,-0.2595274789561664,-23.0,10,0_0_0_10_14_16
payload_gt,46.250244140625,-0.590604804631634,7.324776177842333,889,16127968,2,downchirp_cfo_corrected,fine_payload_backtrack,-0.5906048046316349,-23.0,10,0_0_0_10_14_16
payload_gt,47.250244140625,-0.8612462822140643,6.3477061368375765,510,16132064,2,downchirp_cfo_corrected,fine_payload_backtrack,-0.8612462822140652,-23.0,10,0_0_0_10_14_16
payload_gt,48.250244140625,-0.9885376020691905,12.042536797938398,860,16136160,2,downchirp_cfo_corrected,fine_payload_backtrack,-0.9885376020691914,-23.0,10,0_0_0_10_14_16
payload_gt,49.250244140625,-2.2514611631405654,11.038900022365759,553,16140256,2,downchirp_cfo_corrected,fine_payload_backtrack,-2.2514611631405663,-23.0,10,0_0_0_10_14_16
payload_gt,50.250244140625,-2.7262528970251685,11.534978105178144,629,16144352,2,downchirp_cfo_corrected,fine_payload_backtrack,-2.7262528970251694,-23.0,10,0_0_0_10_14_16
payload_gt,51.250244140625,-2.7622486103573927,2.4453837199276984,759,16148448,2,downchirp_cfo_corrected,fine_payload_backtrack,-2.7622486103573936,-23.0,10,0_0_0_10_14_16
payload_gt,52.250244140625,2.9284908129645366,8.94802870388148,874,16152544,2,downchirp_cfo_corrected,fine_payload_backtrack,-3.3546944942150505,-23.0,10,0_0_0_10_14_16
payload_gt,53.250244140625,2.7752484785491753,12.69878529538674,720,16156640,2,downchirp_cfo_corrected,fine_payload_backtrack,-3.507936828630412,-23.0,10,0_0_0_10_14_16
payload_gt,54.250244140625,2.028371840946918,4.853419450311495,314,16160736,2,downchirp_cfo_corrected,fine_payload_backtrack,-4.254813466232669,-23.0,10,0_0_0_10_14_16
payload_gt,55.250244140625,1.602307363425743,5.361627555253254,602,16164832,2,downchirp_cfo_corrected,fine_payload_backtrack,-4.680877943753844,-23.0,10,0_0_0_10_14_16
payload_gt,56.250244140625,0.8384533679957191,7.131124574901553,7,16168928,2,downchirp_cfo_corrected,fine_payload_backtrack,-5.4447319391838676,-23.0,10,0_0_0_10_14_16
payload_gt,57.250244140625,-0.36438280671595397,7.863758330291081,610,16173024,2,downchirp_cfo_corrected,fine_payload_backtrack,-6.647568113895541,-23.0,10,0_0_0_10_14_16
