dataset,packet_index,target_snr_db,pre_header_slope_pi_per_symbol,payload_slope_pi_per_symbol,slope_delta_pi_per_symbol,pre_header_fit_r2,pre_header_fit_rmse_pi,pre_sync_header_slope_pi_per_symbol,pre_sync_header_fit_r2,pre_sync_header_fit_rmse_pi,payload_gt_fit_r2,payload_gt_fit_rmse_pi,payload_rmse_from_pre_header_pi,payload_rmse_from_pre_sync_header_pi
0_0_0_10_14_16,10,-22.0,0.031481180159413265,-0.12575867223440534,-0.1572398523938186,0.670021935534471,0.19081405354786912,0.02986012754892188,0.5677179405863155,0.21767340462981552,0.9638428573543726,0.2459982196024836,1.667438065884274,1.6310443033314916
0_0_0_10_14_16,10,-23.0,0.031109767595861294,-0.12605139476115182,-0.1571611623570131,0.6586260082918085,0.1934433798961631,0.02955462791912166,0.562169207073929,0.21789212569674768,0.9622806165259341,0.25204562611177483,1.6659741538260555,1.6313336065213575
0_0_0_10_14_16,10,-24.0,0.030655075517163573,-0.12639416411794077,-0.15704923963510434,0.6432242269893935,0.19718787159025422,0.02919080281641509,0.5538879145178446,0.21885350386202565,0.9604555714496621,0.25901870034975144,1.6639903486013514,1.6316995608912002
0_0_0_10_14_16,10,-25.0,0.030085330823708015,-0.1268208165325952,-0.1569061473563032,0.6220667133140939,0.20253739044903168,0.028740894941134167,0.5403478133270123,0.22144948178463014,0.9584028921858819,0.2668382851859141,1.6614812096492173,1.6322129302424873
0_0_0_10_14_16,10,-26.0,0.029368622300814818,-0.12757825163195893,-0.15694687393277376,0.5930363805641264,0.21012708088450424,0.028165089119754797,0.5179248092600763,0.2270029903720499,0.9561532691801833,0.2759189851682288,1.6615096325800154,1.635636016233683
0_0_0_10_14_16,10,-27.0,0.028501812835521435,-0.12893904692033142,-0.15744085975585287,0.5552215239849175,0.22032944785972325,0.02743717735851164,0.48495594963620636,0.23621468161713774,0.9484636946979389,0.3035504114720053,1.6709416375097632,1.6482592906739257
