kind,step_index,source_file,output_file,noise_power_db_relative,added_noise_power,seed,detected_packets,decoded_payload_packets,expected_packet_count,crc_valid_packets,crc_invalid_packets,correct_payload_packets,wrong_payload_packets,missed_detection_packets,missed_correct_payload_packets,compared_payload_packets,compared_byte_count,compared_bit_count,byte_error_count,bit_error_count,ber,all_expected_payloads_correct,grlora_snr_count,grlora_snr_mean,grlora_snr_median,grlora_snr_std,grlora_snr_min,grlora_snr_max,sf,preamble_len,samp_rate,bw,sync_word
clean,0,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_32.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_32.bin,,0,,7,7,7,7,0,7,0,0,0,7,231,1848,0,0,0,True,7,4.06621865,4.77881575,3.45981365,-2.94096518,8.03098392,10,8,500000,125000,0x34
noisy,1,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_32.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\noisy_iq\0_0_0_10_14_32\0_0_0_10_14_32_noise_rel_10p0dB.bin,10,0.000108020986,20260503,7,7,7,7,0,7,0,0,0,7,231,1848,0,0,0,True,7,-4.73667271,-4.01905489,2.92216914,-11.5678358,-2.07837105,10,8,500000,125000,0x34
noisy,2,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_32.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\noisy_iq\0_0_0_10_14_32\0_0_0_10_14_32_noise_rel_15p0dB.bin,15,0.00034159235,20260503,7,7,7,6,1,6,1,0,1,7,231,1848,2,5,0.00270562771,False,7,-9.20061609,-8.00706959,2.99793877,-16.369091,-6.81119108,10,8,500000,125000,0x34
noisy,3,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_32.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\noisy_iq\0_0_0_10_14_32\0_0_0_10_14_32_noise_rel_25p0dB.bin,25,0.0034159235,20260503,5,5,7,2,3,2,3,2,5,5,165,1320,15,16,0.0121212121,False,5,-17.3928623,-17.5404854,0.341444881,-17.679966,-16.7658195,10,8,500000,125000,0x34
noisy,4,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_32.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\noisy_iq\0_0_0_10_14_32\0_0_0_10_14_32_noise_rel_30p0dB.bin,30,0.0108020986,20260503,0,0,7,0,0,0,0,7,7,0,0,0,0,0,,False,0,,,,,,10,8,500000,125000,0x34
