frame_index,packet_index,event_index,copy_index,transmission_index,stage,frame_symbol_index,stage_symbol_index,start_sample,raw_symbol_start_sample,raw_frame_start_sample,raw_data_start_sample,soft_frame_start_sample,soft_data_start_sample,boundary_refinement_source,sf,bw,os_factor,cfo_int,cfo_frac,sto_frac,sfo_hat,sfo_cum_before,sfo_sample_adjust_after,raw_fft_bin,symbol_value,peak_margin_db,header_valid,payload_len,payload_cr,payload_has_crc,payload_ldro,relative_delay_samples,relative_cfo_hz,relative_phase_rad,xcopy_alignment_score,soft_boundary_score,soft_boundary_rank,soft_hard_pattern_valid,raw_fft_bin_uncorrected,cfo_int_uncorrected,bin_offset_correction,header_consensus_suggested_bin_correction,header_consensus_expected_matches,header_consensus_valid_count
1,1,1,1,1,payload,13,5,30436788,30436788,30235171,30383540,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.1819972994996455,0.0,-0.0069808239930507585,-0.062719290460414,0,109,108,9.417655176332282,1,33,3,1,0,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,328.52934013647564,1,1,109,-27,0,0,11,11
1,1,1,1,1,payload,14,6,30440884,30440884,30235171,30383540,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.1819972994996455,0.0,-0.0069808239930507585,-0.06970011445346476,0,932,931,7.909752700772375,1,33,3,1,0,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,328.52934013647564,1,1,932,-27,0,0,11,11
1,1,1,1,1,payload,15,7,30444980,30444980,30235171,30383540,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.1819972994996455,0.0,-0.0069808239930507585,-0.07668093844651552,0,468,467,6.890417051350479,1,33,3,1,0,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,328.52934013647564,1,1,468,-27,0,0,11,11
1,1,1,1,1,payload,16,8,30449076,30449076,30235171,30383540,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.1819972994996455,0.0,-0.0069808239930507585,-0.08366176243956629,0,89,88,5.1932579837598905,1,33,3,1,0,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,328.52934013647564,1,1,89,-27,0,0,11,11
1,1,1,1,1,payload,17,9,30453172,30453172,30235171,30383540,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.1819972994996455,0.0,-0.0069808239930507585,-0.09064258643261705,0,713,712,3.5495295076275637,1,33,3,1,0,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,328.52934013647564,1,1,713,-27,0,0,11,11
1,1,1,1,1,payload,18,10,30457268,30457268,30235171,30383540,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.1819972994996455,0.0,-0.0069808239930507585,-0.09762341042566781,0,865,864,1.4943858613154237,1,33,3,1,0,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,328.52934013647564,1,1,865,-27,0,0,11,11
1,1,1,1,1,payload,19,11,30461364,30461364,30235171,30383540,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.1819972994996455,0.0,-0.0069808239930507585,-0.10460423441871858,0,92,91,7.497385512777029,1,33,3,1,0,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,328.52934013647564,1,1,92,-27,0,0,11,11
1,1,1,1,1,payload,20,12,30465460,30465460,30235171,30383540,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.1819972994996455,0.0,-0.0069808239930507585,-0.11158505841176934,0,645,644,5.853280904236429,1,33,3,1,0,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,328.52934013647564,1,1,645,-27,0,0,11,11
1,1,1,1,1,payload,21,13,30469556,30469556,30235171,30383540,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.1819972994996455,0.0,-0.0069808239930507585,-0.1185658824048201,0,426,425,7.772343291335914,1,33,3,1,0,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,328.52934013647564,1,1,426,-27,0,0,11,11
1,1,1,1,1,payload,22,14,30473652,30473652,30235171,30383540,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.1819972994996455,0.0,-0.0069808239930507585,-0.12554670639787086,1,765,764,8.749038797554938,1,33,3,1,0,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,328.52934013647564,1,1,765,-27,0,0,11,11
1,1,1,1,1,payload,23,15,30477749,30477749,30235171,30383540,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.1819972994996455,0.0,-0.0069808239930507585,0.11747246960907838,0,1023,1022,7.993496142000414,1,33,3,1,0,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,328.52934013647564,1,1,1023,-27,0,0,11,11
1,1,1,1,1,payload,24,16,30481845,30481845,30235171,30383540,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.1819972994996455,0.0,-0.0069808239930507585,0.11049164561602762,0,597,596,6.2378005469798605,1,33,3,1,0,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,328.52934013647564,1,1,597,-27,0,0,11,11
1,1,1,1,1,payload,25,17,30485941,30485941,30235171,30383540,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.1819972994996455,0.0,-0.0069808239930507585,0.10351082162297685,0,562,561,7.817817323783673,1,33,3,1,0,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,328.52934013647564,1,1,562,-27,0,0,11,11
1,1,1,1,1,payload,26,18,30490037,30490037,30235171,30383540,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.1819972994996455,0.0,-0.0069808239930507585,0.09652999762992609,0,827,826,6.652847033638531,1,33,3,1,0,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,328.52934013647564,1,1,827,-27,0,0,11,11
1,1,1,1,1,payload,27,19,30494133,30494133,30235171,30383540,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.1819972994996455,0.0,-0.0069808239930507585,0.08954917363687533,0,890,889,7.322165215526041,1,33,3,1,0,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,328.52934013647564,1,1,890,-27,0,0,11,11
1,1,1,1,1,payload,28,20,30498229,30498229,30235171,30383540,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.1819972994996455,0.0,-0.0069808239930507585,0.08256834964382456,0,174,173,6.369536949933908,1,33,3,1,0,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,328.52934013647564,1,1,174,-27,0,0,11,11
1,1,1,1,1,payload,29,21,30502325,30502325,30235171,30383540,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.1819972994996455,0.0,-0.0069808239930507585,0.0755875256507738,0,267,266,3.448307247768816,1,33,3,1,0,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,328.52934013647564,1,1,267,-27,0,0,11,11
1,1,1,1,1,payload,30,22,30506421,30506421,30235171,30383540,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.1819972994996455,0.0,-0.0069808239930507585,0.06860670165772303,0,781,780,0.28546244927503217,1,33,3,1,0,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,328.52934013647564,1,1,781,-27,0,0,11,11
