rank,preamble_start_sample,sfd_start_sample,data_start_sample,score,preamble_score,sfd_score,sync_word_bonus,preamble_ref_bin,preamble_stable_count,sync1_bin,sync2_bin,sync1_distance,sync2_distance,sfd1_bin,sfd2_bin,sfd_bin_distance,mean_preamble_confidence_db,mean_sfd_confidence_db,coarse_cfo_bins,hard_grlora_pattern_valid
1,12185,151449,160665,328.52934013647564,254.34950105175824,64.1798390847174,10.0,4070,32,4094,6,0,0,4070,4070,0,18.399543596360868,7.4461735603343175,-26.0,True
2,16201,155465,164681,294.89818221345445,244.1572855014893,48.901499009548246,1.8393977024169272,4050,31,4082,115,8,129,4090,4090,0,17.550463308822103,4.132920264526987,-26.0,False
3,8089,147353,156569,266.50181234315323,247.59984339519247,16.813636400264205,2.0883325476965315,4070,31,4070,4094,24,8,215,4070,241,17.974761533986673,3.6667229043108773,34.25,False
4,20377,159641,168857,245.67137529088984,243.6634214013009,2.007623607048795,0.00033028254014342407,4070,30,75,3618,77,484,4070,45,71,17.848803846581816,0.4441713729031853,-8.25,False
5,3985,143249,152465,242.0381314790104,240.29235182950802,1.4052661132193718,0.3405135362829906,4068,30,4068,4068,24,32,282,217,65,17.48446342675615,0.3351135319547762,110.75,False
