method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,triggered_symbols,trigger_rate,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent,savaux_gate_margin_db
information_8,8,70,25,0.35714285714285715,4,0,1.3198300000076415,18.85471428582345,0,0.0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8_wrap,8,70,25,0.35714285714285715,4,0,1.4391670000186423,20.55952857169489,0,0.0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8_wrap_gated,8,70,25,0.35714285714285715,4,0,0.5307140999975672,7.581629999965246,27,0.38571428571428573,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.5
savaux,0,70,17,0.24285714285714285,0,0,0.268734699995548,3.8390671427935428,0,0.0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
hamming_8,8,70,16,0.22857142857142856,1,0,1.1534486000236939,16.477837143195625,0,0.0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8,8,70,15,0.21428571428571427,2,0,1.1035445000125037,15.764921428750053,0,0.0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8_wrap,8,70,15,0.21428571428571427,2,0,1.1935280000179773,17.05040000025682,0,0.0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8_wrap_gated,8,70,15,0.21428571428571427,2,0,0.3570330000038666,5.100471428626666,21,0.3,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
savaux,0,70,21,0.3,0,0,0.25029939999149065,3.575705714164152,0,0.0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
hamming_8,8,70,18,0.2571428571428571,3,0,1.0498254999765777,14.997507142522538,0,0.0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
