packet_index,frame_index,frame_symbol_index,payload_symbol_index,start_sample,gt_bin,ordinary_fft_bin,savaux_bin,gls_crossfit_bin,gls_offpacket_bin,dechirp_pnr_db,dechirp_gt_bin_power,dechirp_total_fft_energy,dechirp_residual_fft_energy,dechirp_gt_symbol_snr_db,savaux_margin_db,branch_color_mismatch,ordinary_fft_correct,savaux_correct,gls_crossfit_correct,gls_offpacket_correct
1,1,8,0,30416308,803,803,803,803,803,18.867032803380784,7.4716988087862785e-06,0.00015467968981635797,0.0001472079910075717,-12.945120290361167,14.417892516505436,0.1761769449145086,1,1,1,1
1,1,9,1,30420404,711,711,711,711,711,17.43168676129051,5.118960500829237e-06,0.00014634292540582013,0.0001412239649049909,-14.407266218381302,12.315447498191066,0.16325825863863846,1,1,1,1
1,1,10,2,30424500,922,922,922,922,922,17.71763175935071,5.91106233547358e-06,0.00014868441360254566,0.00014277335126707208,-13.829816144224964,12.766435126716587,0.13402871586713852,1,1,1,1
1,1,11,3,30428596,718,718,718,718,718,17.993514630741775,6.2634121326135225e-06,0.00015601342192136678,0.00014975000978875326,-13.785558702249771,12.239460762772996,0.1826007693118818,1,1,1,1
1,1,12,4,30432692,756,756,756,756,756,17.703092234512656,5.614871192275795e-06,0.00015253472597214548,0.00014691985477986968,-14.177406926065107,13.607538888165733,0.13231141189023077,1,1,1,1
1,1,13,5,30436788,109,109,109,109,109,18.992330563850906,7.558339923121346e-06,0.00014603276827970829,0.00013847442835658694,-12.629431613339088,11.428192339921274,0.17501067335371912,1,1,1,1
1,1,14,6,30440884,932,932,932,932,932,18.471784148113386,6.304259413411487e-06,0.00014345191999571525,0.00013714766058230376,-13.375543283632897,10.711670076121017,0.15526415503471358,1,1,1,1
1,1,15,7,30444980,468,468,468,468,468,18.026049827245373,6.344406660602957e-06,0.00015354434213294462,0.00014719993547234166,-13.6551660722888,14.324798114776101,0.14132693214100986,1,1,1,1
1,1,16,8,30449076,89,89,89,89,89,15.124442474592144,6.348939604157325e-06,0.0002874319435393273,0.00028108300393516996,-16.461333904354248,11.2612275252968,0.16724201737854896,1,1,1,1
1,1,17,9,30453172,713,713,713,713,713,13.17341568751689,8.041575106749901e-06,0.0005769920759267439,0.0005689505008199939,-18.497333615213066,7.5789059813477335,0.16279794541094156,1,1,1,1
1,1,18,10,30457268,865,865,865,865,865,11.477160552504289,3.4583964693353687e-06,0.00036296025615246296,0.0003595018596831276,-20.168263621497825,8.616016486096438,0.14905846908180034,1,1,1,1
1,1,19,11,30461364,92,92,92,92,92,18.2428098049795,7.2737100396992604e-06,0.00015536985287293738,0.00014809614283323812,-13.087877631793006,11.899033471765176,0.14247725746290782,1,1,1,1
1,1,20,12,30465460,645,645,645,645,645,16.541351561980903,4.5721371378945695e-06,0.0001499734309968542,0.00014540129385895963,-15.024490228636871,10.333438286617351,0.1607049195057015,1,1,1,1
1,1,21,13,30469556,426,426,426,426,426,19.228436324973664,8.74364342890382e-06,0.0001660415819127391,0.00015729793848383528,-12.550305923719456,11.19820762795448,0.14473666443155253,1,1,1,1
1,1,22,14,30473652,765,765,765,765,765,18.190196984082586,6.3410009796651735e-06,0.0001500460891320445,0.00014370508815237932,-13.553143251457158,12.541891408291367,0.1860394802205252,1,1,1,1
