capture,packet_index,frame_index,payload_start_sample,payload_start_time_s,symbol_count,dechirp_gt_bin_energy,dechirp_residual_fft_energy,dechirp_total_fft_energy,dechirp_gt_energy_ratio,dechirp_gt_packet_snr_db
xcopy_paper_raw_low4,1,1,30416308,60.832616,49,0.00029746344240536737,0.010017490701152418,0.010314954143557787,0.028838077054481954,-15.27325348446831
xcopy_paper_raw_low4,2,2,31916673,63.833346,49,0.00016742400020193824,0.01316730014127557,0.013334724141477506,0.0125554903442785,-18.956790210184366
xcopy_paper_raw_low4,3,3,33417039,66.834078,49,0.00019293699062830822,0.009924817206403067,0.010117754197031375,0.019069151797037862,-17.113070164971848
xcopy_paper_raw_low4,4,4,36417772,72.835544,49,0.00019935893643030278,0.00982604075098413,0.010025399687414432,0.01988538538573895,-16.927428528810495
xcopy_paper_raw_low4,5,5,37918138,75.836276,49,0.00020838611052339644,0.010690185117493567,0.010898571228016962,0.019120498105999268,-17.101164570363338
xcopy_paper_raw_low4,6,6,39418504,78.837008,49,0.00020216279419682103,0.011840544088024063,0.012042706882220883,0.016787155593339386,-17.67670427665297
xcopy_paper_raw_low4,7,7,40918869,81.837738,49,0.00018603992274348602,0.010069741772480649,0.010255781695224134,0.018140004172487432,-17.334121831984916
xcopy_paper_raw_low4,8,8,42419236,84.838472,49,0.0002017645800819136,0.010290672197889657,0.01049243677797157,0.019229525452610766,-17.075988163949724
xcopy_paper_raw_low4,9,9,43919601,87.839202,49,0.0002248106329374303,0.010075764847852116,0.010300575480789546,0.02182505563467784,-16.514611748675016
xcopy_paper_raw_low4,10,10,45419969,90.839938,49,0.00028378897706697305,0.009406764987659771,0.009690553964726744,0.029285113947041044,-15.20444771456522
xcopy_paper_raw_low4,11,11,46920333,93.840666,49,0.0002199916075473976,0.009093946180178784,0.00931393778772618,0.023619613160536724,-16.163462663813977
xcopy_paper_raw_low4,12,12,48420700,96.8414,49,0.00023559010382685308,0.009160157185239635,0.009395747289066487,0.02507412093777802,-15.89745882510298
