event_index,start_sample,end_sample,first_window_index,last_window_index,window_count,reference_bin,reference_signed_bin,bin_min,bin_max,mean_peak_power,mean_confidence_db,max_peak_share,sf,bw,samp_rate,os_factor,chirp_samples,win_chirps,hop_samples,min_periodic_peaks,bin_tol
0,1728512,1871872,422,453,32,74,74,74,74,0.04200761410463197,4.417102683864357,0.006149855601095048,10,125000.0,500000.0,4,4096,4,4096,29,2
1,6225920,6369280,1520,1551,32,175,175,175,175,0.032647160520292304,1.5228753277946208,0.004303852799891229,10,125000.0,500000.0,4,4096,4,4096,29,2
2,7725056,7872512,1886,1918,33,3964,-132,3964,3964,0.03468169405483131,3.7486408731085863,0.004407616531426549,10,125000.0,500000.0,4,4096,4,4096,29,2
3,9216000,9363456,2250,2282,33,3656,-440,3656,3657,0.036026161568735546,0.9374433674064948,0.006148014123046375,10,125000.0,500000.0,4,4096,4,4096,29,2
4,13725696,13860864,3351,3380,30,3758,-338,3758,3758,0.030554973718562896,3.0491891130482784,0.0039805378142579815,10,125000.0,500000.0,4,4096,4,4096,29,2
5,16723968,16871424,4083,4115,33,71,71,71,71,0.05385811891790693,4.984522744332595,0.006768296062927893,10,125000.0,500000.0,4,4096,4,4096,29,2
6,22724608,22867968,5548,5579,32,3961,-135,3961,3961,0.0463702126641046,4.639943684970886,0.004912507087913287,10,125000.0,500000.0,4,4096,4,4096,29,2
7,30224384,30375936,7379,7412,34,376,376,375,376,0.12431823410219632,1.2134785971242896,0.014030730253832245,10,125000.0,500000.0,4,4096,4,4096,29,2
8,31727616,31875072,7746,7778,33,68,68,68,68,0.14130578640186853,5.819095057523116,0.01997845038916402,10,125000.0,500000.0,4,4096,4,4096,29,2
9,33222656,33374208,8111,8144,34,3857,-239,3856,3857,0.1087381710977419,2.710181560047269,0.013735811066468128,10,125000.0,500000.0,4,4096,4,4096,29,2
10,36225024,36376576,8844,8877,34,170,170,169,170,0.11055996595165919,1.3761066568331954,0.014745252723137812,10,125000.0,500000.0,4,4096,4,4096,29,2
11,37724160,37879808,9210,9244,35,3958,-138,3958,3958,0.18963613986793187,10.183700159013952,0.027161922470650048,10,125000.0,500000.0,4,4096,4,4096,29,2
12,39223296,39378944,9576,9610,35,3650,-446,3650,3651,0.07312927345204676,1.2873006315327242,0.01032982829659817,10,125000.0,500000.0,4,4096,4,4096,29,2
13,40726528,40878080,9943,9976,34,271,271,271,271,0.10663611499045646,4.891748531652287,0.012349072629777169,10,125000.0,500000.0,4,4096,4,4096,29,2
14,42225664,42377216,10309,10342,34,4060,-36,4059,4060,0.13093628841563434,2.8119798243753737,0.01661538227746227,10,125000.0,500000.0,4,4096,4,4096,29,2
15,43724800,43876352,10675,10708,34,3752,-344,3752,3752,0.12614869530368744,5.193290857406258,0.013107186735818618,10,125000.0,500000.0,4,4096,4,4096,29,2
16,45228032,45379584,11042,11075,34,372,372,372,372,0.11626202541353992,2.0870093166759376,0.013710268105183531,10,125000.0,500000.0,4,4096,4,4096,29,2
17,46727168,46882816,11408,11442,35,65,65,65,65,0.21702006313826902,10.114441643310883,0.02674891362290429,10,125000.0,500000.0,4,4096,4,4096,29,2
18,48226304,48377856,11774,11807,34,3854,-242,3853,3854,0.12534597259213312,1.7260421642309676,0.01722297420352408,10,125000.0,500000.0,4,4096,4,4096,29,2
