packet_index,event_index,stage,symbol_index,start_sample,peak_bin,signed_peak_bin,expected_signed_bin,distance_to_expected,peak_power,second_power,confidence_db,peak_share
0,0,preamble,0,1728216,290,290,0,290,0.023209578849124193,0.019103022572845678,0.8456517114646862,0.002425179689515722
0,0,preamble,1,1732312,3607,-489,0,489,0.01627867902420334,0.016275072708130053,0.0009622259147964028,0.0021188386982470245
0,0,preamble,2,1736408,0,0,0,0,0.008670021669397343,0.0048587348006917655,2.5149698786809385,0.0036233224046422754
0,0,preamble,3,1740504,0,0,0,0,0.008308258669903555,0.005994493113212137,1.4175754383516677,0.0035163240307237126
0,0,preamble,4,1744600,0,0,0,0,0.008655264680805446,0.005977933916818182,1.6072924346745376,0.003579755665898153
0,0,preamble,5,1748696,364,364,0,364,0.007394536776741369,0.006864703583868954,0.32289183993694603,0.003054269929240551
0,0,preamble,6,1752792,0,0,0,0,0.01839452155831126,0.007022299931830001,4.1820912148611615,0.007600587384506672
0,0,preamble,7,1756888,0,0,0,0,0.011900471288149602,0.006080298634128591,2.916392506819605,0.0050228939528414365
0,0,preamble,8,1760984,0,0,0,0,0.012031139229854057,0.007020948581166275,2.3391096024369324,0.0049361169844702344
0,0,preamble,9,1765080,0,0,0,0,0.012170106085188363,0.005269035000907134,3.6356328043943487,0.005130388824684925
0,0,preamble,10,1769176,0,0,0,0,0.011720149032250415,0.004561094260322601,4.098640866279326,0.004876523688432929
0,0,preamble,11,1773272,0,0,0,0,0.011570759007926219,0.005221499541874427,3.4556660409740676,0.004720464765108972
0,0,preamble,12,1777368,0,0,0,0,0.021963973910488297,0.014920927037081717,1.6791511248103663,0.003309972040585735
0,0,preamble,13,1781464,513,513,0,513,0.02546276199264934,0.019342877025813436,1.1938443983876825,0.0026589824753082162
0,0,preamble,14,1785560,0,0,0,0,0.016921479160012073,0.007595515917670953,3.4788104520619245,0.004432758614197766
0,0,preamble,15,1789656,0,0,0,0,0.014611099276730193,0.005035982364609875,4.625986910334904,0.006004449334561034
0,0,preamble,16,1793752,0,0,0,0,0.010646494074547005,0.004632712617357917,3.6137125641743135,0.004446113656079849
0,0,preamble,17,1797848,0,0,0,0,0.011045115839207725,0.00547057512336086,3.051372887792885,0.00451792509298956
0,0,preamble,18,1801944,0,0,0,0,0.010533161386048517,0.004382418793528436,3.8084486103154065,0.004426222614472345
0,0,preamble,19,1806040,0,0,0,0,0.010994501330980427,0.006492680502557248,2.287515039277667,0.004513201517477249
0,0,preamble,20,1810136,0,0,0,0,0.012166044759416761,0.006149949744737372,2.962778430328589,0.005082965125846319
0,0,preamble,21,1814232,0,0,0,0,0.014641483139129347,0.004986586037042933,4.677817550766975,0.006196199408408979
