sf,os_factor,raw_bin,bank_kind,pattern_count,matrix_rank,condition_number,max_abs_noise_corr,effective_replicas,target_amp_min,target_amp_mean,target_amp_max,target_phase_std,normalized_max_leakage,normalized_p95_leakage
6,4,1,fixed,4,4,1.0000000000000002,0.0,4.0,7.9999998999837105,7.999999952211628,8.00000001147104,2.4985748511402667e-09,0.0,0.0
6,4,31,fixed,4,4,1.0,0.0,4.0,7.99999989998371,7.999999957398781,8.00000001147104,2.0807609196586744e-09,0.0,0.0
6,4,1,multiscale_only_diverse16,16,14,11.412375826453045,0.2500000000000001,4.000000000000001,7.999999891890573,7.9999999548518375,7.999999998132761,3.7910355780916934e-09,0.0,0.0
6,4,31,multiscale_only_diverse16,16,14,11.412375826453047,0.25000000000000006,4.0,7.999999913097369,7.999999957953268,7.999999994514207,3.3975005269543917e-09,0.0,0.0
6,4,1,quadratic_only_diverse16,16,13,4.000000000000009,0.25000000000000006,4.000000000000001,7.999999854163459,7.999999952211628,7.999999999835164,4.3806921228784624e-09,0.0,0.0
6,4,31,quadratic_only_diverse16,16,13,4.000000000000005,0.25000000000000006,4.0,7.999999855978714,7.9999999573987814,8.00000002453031,3.3413021945176482e-09,0.0,0.0
6,4,1,bitmix_only_diverse16,16,13,4.000000000000008,0.25000000000000006,4.0,7.999999929018177,7.999999952211628,7.999999974932395,3.0554403574883847e-09,0.0,0.0
6,4,31,bitmix_only_diverse16,16,13,4.000000000000006,0.25000000000000006,4.0,7.99999988352408,7.9999999573987814,7.999999991114192,2.0475300522752817e-09,0.0,0.0
