packet_id,reference_id,sync_status,sync_valid,tested_payload_symbols,admitted_payload_symbols,fine_payload_start_sample,cfo_total_bins,cfo_hz,sfo_hat,sfo_cum_initial,signal_power,offpacket_power
exp0_000000_rxg20_0_fulltrim,0,ok,1,4,4,673552,-128.71322618720285,-3928.015935888759,-0.032989857029732124,0.025580086162754756,5.543221089985545e-08,9.926245921143361e-08
exp0_000002_rxg20_0_fulltrim,2,ok,1,4,4,673544,-129.9365825693268,-3965.3498098549435,-0.033303409516436025,0.02192780095683511,2.9355985541903622e-08,1.0311762318316182e-07
exp0_000003_rxg20_0_fulltrim,3,ok,1,4,4,673552,-128.8702234183035,-3932.8071111542818,-0.033030096221627926,0.003800740547303061,5.116835693588749e-08,1.0186873702357439e-07
exp0_000004_rxg20_0_fulltrim,4,ok,1,4,4,673552,-128.86059867151772,-3932.513387192313,-0.03302762934988664,0.017080315363240395,8.034181313512808e-08,1.0086582804132267e-07
