trial_id,packet_id,reference_id,esn0_db,seed,payload_index,gt_symbol,strict_sync_success,estimate_available,local_sync_estimate,oracle_decision,oracle_correct,oracle_true_margin_db,noisy_sync_decision,noisy_sync_correct,noisy_sync_true_margin_db,strict_end_to_end_correct
exp0_000000_rxg20_0_fulltrim:14:20260821,exp0_000000_rxg20_0_fulltrim,0,14.0,20260821,0,3293,1,1,1,3293,1,3.0738745680872253,3293,1,2.088141789864302,1
exp0_000000_rxg20_0_fulltrim:14:20260821,exp0_000000_rxg20_0_fulltrim,0,14.0,20260821,1,313,1,1,1,313,1,4.600941574059787,313,1,4.5992467887717305,1
exp0_000000_rxg20_0_fulltrim:14:20260821,exp0_000000_rxg20_0_fulltrim,0,14.0,20260821,2,1433,1,1,1,1433,1,6.993120147244047,1433,1,6.98953857961232,1
exp0_000000_rxg20_0_fulltrim:14:20260821,exp0_000000_rxg20_0_fulltrim,0,14.0,20260821,3,2865,1,1,1,2865,1,2.910957028480754,2865,1,2.9126156930576466,1
exp0_000002_rxg20_0_fulltrim:14:20260821,exp0_000002_rxg20_0_fulltrim,2,14.0,20260821,0,3293,0,1,1,3293,1,5.576359008458446,3293,1,5.594684396750321,0
exp0_000002_rxg20_0_fulltrim:14:20260821,exp0_000002_rxg20_0_fulltrim,2,14.0,20260821,1,313,0,1,1,313,1,2.612407517795623,313,1,2.6088473449326797,0
exp0_000002_rxg20_0_fulltrim:14:20260821,exp0_000002_rxg20_0_fulltrim,2,14.0,20260821,2,1433,0,1,1,1433,1,4.875874782308431,1433,1,4.874767137982745,0
exp0_000002_rxg20_0_fulltrim:14:20260821,exp0_000002_rxg20_0_fulltrim,2,14.0,20260821,3,2865,0,1,1,2865,1,5.677859862458682,2865,1,5.668070375079036,0
exp0_000003_rxg20_0_fulltrim:14:20260821,exp0_000003_rxg20_0_fulltrim,3,14.0,20260821,0,3293,0,1,0,3293,1,4.8967353489037215,3293,1,2.945684740872172,0
exp0_000003_rxg20_0_fulltrim:14:20260821,exp0_000003_rxg20_0_fulltrim,3,14.0,20260821,1,313,0,1,0,313,1,2.947596290628372,313,1,1.4937861755397384,0
exp0_000003_rxg20_0_fulltrim:14:20260821,exp0_000003_rxg20_0_fulltrim,3,14.0,20260821,2,1433,0,1,0,1433,1,1.8451785563248377,3645,0,-1.448550086943494,0
exp0_000003_rxg20_0_fulltrim:14:20260821,exp0_000003_rxg20_0_fulltrim,3,14.0,20260821,3,2865,0,1,0,2865,1,5.720122262721984,2865,1,1.3147662141988803,0
exp0_000004_rxg20_0_fulltrim:14:20260821,exp0_000004_rxg20_0_fulltrim,4,14.0,20260821,0,3293,1,1,1,3293,1,6.096391475008409,3293,1,6.109992622652838,1
exp0_000004_rxg20_0_fulltrim:14:20260821,exp0_000004_rxg20_0_fulltrim,4,14.0,20260821,1,313,1,1,1,313,1,4.6672785219959,313,1,4.652871433458467,1
exp0_000004_rxg20_0_fulltrim:14:20260821,exp0_000004_rxg20_0_fulltrim,4,14.0,20260821,2,1433,1,1,1,1433,1,5.055178740742465,1433,1,5.065360992367279,1
exp0_000004_rxg20_0_fulltrim:14:20260821,exp0_000004_rxg20_0_fulltrim,4,14.0,20260821,3,2865,1,1,1,2865,1,4.373703903493798,2865,1,3.722627908926029,1
