dataset,packet_index,payload_symbol_index,gt_bin,sfo_cum_before,sto_frac,sfo_hat,gt_tau_hat,gt_tau_hat_unwrapped,gt_tau_residual,gt_tau_gain_db,gt_corrected_coherence
0_0_0_10_14_16,1,0,222,-0.0922587219498042,-0.04216817378983262,-0.006261318519996445,-0.03125,-0.03125,0.06100872194980422,0.04658053842831912,0.9994779092865748
0_0_0_10_14_16,1,1,826,-0.09852004046980065,-0.04216817378983262,-0.006261318519996445,-0.03125,-0.03125,0.06727004046980067,0.04481811699753694,0.9998971274720386
0_0_0_10_14_16,1,2,922,-0.1047813589897971,-0.04216817378983262,-0.006261318519996445,-0.0625,-0.0625,0.042281358989797124,0.029006549167694642,0.9997871433595208
0_0_0_10_14_16,1,3,718,-0.11104267750979355,-0.04216817378983262,-0.006261318519996445,-0.0625,-0.0625,0.048542677509793575,0.07991362872647144,0.9996135175482845
0_0_0_10_14_16,1,4,107,-0.11730399602979,-0.04216817378983262,-0.006261318519996445,-0.0625,-0.0625,0.054803996029790025,0.037349786214192306,0.9996464278810563
0_0_0_10_14_16,1,5,468,-0.12356531454978645,-0.04216817378983262,-0.006261318519996445,-0.0625,-0.0625,0.061065314549786476,0.1289725157486089,0.9999103663808023
0_0_0_10_14_16,1,6,89,-0.1298266330697829,-0.04216817378983262,-0.006261318519996445,-0.0625,-0.0625,0.06732663306978293,0.04405500904541177,0.9998706745231083
0_0_0_10_14_16,1,7,713,0.11391204841022065,-0.04216817378983262,-0.006261318519996445,0.0625,0.0625,-0.05141204841022062,0.16434481066021378,0.9998407489919237
0_0_0_10_14_16,1,8,865,0.1076507298902242,-0.04216817378983262,-0.006261318519996445,0.0625,0.0625,-0.04515072989022417,0.09116561381242536,0.9998084867805024
0_0_0_10_14_16,1,9,492,0.10138941137022775,-0.04216817378983262,-0.006261318519996445,0.0625,0.0625,-0.03888941137022772,0.19719030425938255,0.9997718488011477
0_0_0_10_14_16,1,10,765,0.0951280928502313,-0.04216817378983262,-0.006261318519996445,0.0625,0.0625,-0.03262809285023127,0.09861339914973093,0.9996642513439452
