dataset,target_snr_db,packet_count,mean_center_symbol_ser,mean_multi_symbol_ser,mean_selected_symbol_ser,mean_locked_ratio,mean_false_locked_gt_bins,mean_selector_line_r2,mean_selector_line_rmse_pi,mean_center_argmax_line_r2,mean_center_argmax_line_rmse_pi,mean_header_line_r2,mean_header_line_rmse_pi,mean_gt_noisy_payload_line_r2,mean_gt_noisy_payload_line_rmse_pi,mean_gt_clean_payload_line_r2,mean_gt_clean_payload_line_rmse_pi,mean_selector_vs_gt_noisy_resid_mean_abs_pi,mean_selector_vs_gt_noisy_resid_std_pi,mean_selector_vs_gt_noisy_resid_ptp_pi,mean_center_argmax_vs_gt_noisy_resid_mean_abs_pi,mean_center_argmax_vs_gt_noisy_resid_std_pi,mean_center_argmax_vs_gt_noisy_resid_ptp_pi,mean_header_vs_gt_noisy_resid_mean_abs_pi,mean_header_vs_gt_noisy_resid_std_pi,mean_selector_slope_minus_gt_noisy_pi,mean_header_slope_minus_gt_noisy_pi,mean_gt_noisy_slope_minus_clean_pi
0_0_0_10_14_16,-27.0,11,0.9688311688311688,0.8675324675324675,0.7298701298701299,0.020779220779220783,0.2727272727272727,0.48415726766043893,0.5310457763528548,0.5856778543692368,0.8317830447612177,0.3122763087743339,0.1988719264149001,0.6921180217770843,0.4988092221568932,0.9251735303104557,0.34984554265471535,0.4652298175623326,0.5286202365823107,1.879831927712202,0.4988099056012846,0.551862227645829,1.8923054306280098,0.4652713604540076,0.5078652736219019,0.0517613108124143,0.03814888509630409,0.03514733235643053
0_0_0_10_14_16,-26.0,11,0.9506493506493506,0.7792207792207794,0.587012987012987,0.03896103896103897,0.18181818181818182,0.52145029811682,0.5097279768702819,0.5001701214755155,0.8779528242264626,0.3268182764051764,0.18265964194760614,0.762711139837969,0.474423902159021,0.9251735303104557,0.34984554265471535,0.42052230203479996,0.46980727151337703,1.6857221993279063,0.4843795016308352,0.5245932509693971,1.843469269841752,0.4495833048282819,0.4984222269985702,0.04891500481903723,0.04487860805657311,0.02852645494176813
0_0_0_10_14_16,-25.0,11,0.9116883116883119,0.6441558441558443,0.43636363636363634,0.05714285714285714,0.18181818181818182,0.6724447520659717,0.45971283837453447,0.37380541722365623,0.9818832593579324,0.27324985165975424,0.1890840737177374,0.8220064788952622,0.4180292249484488,0.9251735303104557,0.34984554265471535,0.38946516835757483,0.43508678595690936,1.6058636316162316,0.4963589666361503,0.5380559888280338,1.7841284997486146,0.43660855750245153,0.5059612756463658,0.030541723444965006,0.07961563303829157,0.020518397574665805
0_0_0_10_14_16,-24.0,11,0.8337662337662338,0.509090909090909,0.29610389610389604,0.14025974025974028,0.09090909090909091,0.7615987985076736,0.3700116760947634,0.45595006308416136,0.8329289537996317,0.30340755963336813,0.17345433993522583,0.8505161194567301,0.38214193105804367,0.9251735303104557,0.34984554265471535,0.3586769540024567,0.410954927819207,1.5720421884852778,0.4883712354066562,0.523882443102628,1.7591624680883777,0.4360493348415721,0.5087050381217603,0.031229477176738418,0.08294780708372437,0.018478632710023205
0_0_0_10_14_16,-23.0,11,0.7324675324675325,0.3194805194805194,0.1662337662337662,0.24675324675324675,0.09090909090909091,0.90811255881063,0.2217619460449584,0.37201510888413036,0.8719576934859383,0.33476326805423046,0.16253055482626497,0.8620688304276204,0.3602911008180014,0.9251735303104557,0.34984554265471535,0.24925848728910205,0.3061983784657435,1.2387554228172446,0.4833928933642426,0.5166804098844968,1.685079816174658,0.4403509527804203,0.5151132962228473,0.02792279130224391,0.08544617944382872,0.016521056188141228
0_0_0_10_14_16,-22.0,11,0.6025974025974027,0.17922077922077922,0.05974025974025974,0.41558441558441556,0.09090909090909091,0.9523956955695788,0.21041018728866936,0.35903359901723425,0.8603845009168487,0.367801878855053,0.1542213650072192,0.9035560026153253,0.33614485336404876,0.9251735303104557,0.34984554265471535,0.23906649687681839,0.29276050629840383,1.1569911035049478,0.5120443778547955,0.5587229204252302,1.7949974196399756,0.44456644544427265,0.5196541593391617,0.0018488333878506201,0.09176253100157959,0.010246318007691275
0_0_0_10_14_32,-27.0,7,0.9387755102040817,0.8612244897959184,0.7306122448979593,0.016326530612244896,0.0,0.6607133542653465,0.5334987878083355,0.6062868563270499,0.7852713425903275,0.3764798814882272,0.3302797483345161,0.5982328392160767,0.6450590563190813,0.8353834810199394,0.6769931000644832,0.4813681483297584,0.5406155723824362,1.8751442741134812,0.5032733586934691,0.5517570858966179,1.8279676091965125,0.4800151073629234,0.5462956345375093,0.04151381775714107,0.08566167224536665,0.08824202131862753
0_0_0_10_14_32,-26.0,7,0.9102040816326531,0.7999999999999999,0.5877551020408163,0.04897959183673469,0.0,0.8105124160626895,0.45616827802118803,0.6331051331004524,0.796781781652865,0.39867526869880315,0.31860255324209685,0.6153114408541008,0.6225973646033689,0.8353834810199394,0.6769931000644832,0.4881547333550507,0.5387447754536223,1.9029764021560118,0.4689942152678516,0.5405025442888757,1.8828968649756608,0.47823317801365545,0.5509435205569749,0.018859311817243096,0.09001957235424772,0.08417999444209014
0_0_0_10_14_32,-25.0,7,0.8816326530612245,0.7020408163265305,0.4775510204081633,0.07346938775510203,0.0,0.8442596592599811,0.4603412421277585,0.6327820563015568,0.7932214468915291,0.3051897723392168,0.3499289498692017,0.6090227583320474,0.6304045934741115,0.8353834810199394,0.6769931000644832,0.45001953257936217,0.4947248824369292,1.8404486234417852,0.47275093918498545,0.5488472686326306,1.8624132819366837,0.46869211489672097,0.5479040716744368,-0.015080581992218747,0.010866786965945063,0.08526864341118967
0_0_0_10_14_32,-24.0,7,0.836734693877551,0.5306122448979591,0.3306122448979592,0.13877551020408166,0.0,0.7799423862216865,0.4610281922085823,0.5949365178038185,0.7611456383442955,0.33393612191082384,0.33817848236949766,0.553783141814167,0.62915509295539,0.8353834810199394,0.6769931000644832,0.4070751501086454,0.4716923029213197,1.7915051088319272,0.4867133347183696,0.5578585942304994,1.8904638524416233,0.4680747570355373,0.5461812433175293,-0.006458641790021696,0.005558425521818087,0.09065279517864787
0_0_0_10_14_32,-23.0,7,0.7387755102040817,0.3387755102040816,0.23265306122448975,0.2040816326530612,0.0,0.8869043731347609,0.4054029772445208,0.6595492677536117,0.7746200691789921,0.36409957671657983,0.32737771672933097,0.6015257312390002,0.5779755997774788,0.8353834810199394,0.6769931000644832,0.3647111884246854,0.43082181856335733,1.5638844709088817,0.48559370787323797,0.5557899027717949,1.8888634127206843,0.4670425585832683,0.5466418674077519,-0.053662268538286095,0.017397307617371967,0.07881610894497082
