dataset,target_snr_db,packet_index,frame_index,event_index,symbol_count,gt_compared_symbols,center_symbol_ser,multi_symbol_ser,selected_symbol_ser,locked_count,locked_ratio,false_locked_gt_bins,selector_line_anchors,selector_line_slope_pi,selector_line_r2,selector_line_rmse_pi,center_argmax_line_anchors,center_argmax_line_slope_pi,center_argmax_line_r2,center_argmax_line_rmse_pi,header_line_anchors,header_line_slope_pi,header_line_r2,header_line_rmse_pi,clean_header_line_anchors,clean_header_line_slope_pi,clean_header_line_r2,clean_header_line_rmse_pi,gt_noisy_payload_line_anchors,gt_noisy_payload_line_slope_pi,gt_noisy_payload_line_r2,gt_noisy_payload_line_rmse_pi,gt_clean_payload_line_anchors,gt_clean_payload_line_slope_pi,gt_clean_payload_line_r2,gt_clean_payload_line_rmse_pi,selector_vs_gt_noisy_resid_mean_abs_pi,selector_vs_gt_noisy_resid_std_pi,selector_vs_gt_noisy_resid_ptp_pi,center_argmax_vs_gt_noisy_resid_mean_abs_pi,center_argmax_vs_gt_noisy_resid_std_pi,center_argmax_vs_gt_noisy_resid_ptp_pi,header_vs_gt_noisy_resid_mean_abs_pi,header_vs_gt_noisy_resid_std_pi,header_vs_gt_noisy_resid_ptp_pi,selector_vs_gt_clean_resid_mean_abs_pi,selector_vs_gt_clean_resid_std_pi,selector_vs_gt_clean_resid_ptp_pi,clean_header_vs_gt_clean_resid_mean_abs_pi,clean_header_vs_gt_clean_resid_std_pi,clean_header_vs_gt_clean_resid_ptp_pi,selector_slope_minus_gt_noisy_pi,header_slope_minus_gt_noisy_pi,gt_noisy_slope_minus_clean_pi
0_0_0_10_14_8,-23.0,0,0,0,35,35,0.6571428571428571,0.17142857142857143,0.0,16,0.45714285714285713,0,26,-0.0524760556096,0.9425014365631876,0.12105624648572097,35,0.1756945455214947,0.865442521728762,0.6996698660484459,8,0.02996220280894207,0.4019908112149483,0.08373350229273879,8,0.016458344656840696,0.9984911017918594,0.001465965252232222,35,-0.050260978765568225,0.8519630504653597,0.211595151134924,35,-0.050919456804491905,0.8818486089831218,0.1882375451033345,0.16628771464953007,0.2127744760471937,0.8857077366328286,0.49638897278154087,0.5703802202345502,1.8781215774229063,0.4663523671387833,0.4983475541972276,1.9278550586624137,0.16228231586484637,0.1888928780293646,0.5946011835304348,0.38241356694173434,0.46967639156950064,1.906563298449374,-0.0022150768440317783,0.08022318157451029,0.0006584780389236808
0_0_0_10_14_8,-23.0,1,1,1,35,35,0.6,0.11428571428571428,0.0,20,0.5714285714285714,0,26,-0.04365101994572539,0.8964136633886967,0.13989929937177514,35,-0.04320344211260975,0.2756270668920745,0.7073569265235374,8,0.05191831713198524,0.40495683586282305,0.14420161574057366,8,0.01832825299152771,0.9979587235330929,0.0018993077817585934,35,-0.04503592204924515,0.8355974692914363,0.20175060042875853,35,-0.044446125569941514,0.8558053266235685,0.18425577603584828,0.16500991191776665,0.20223485373364944,0.7255447770772125,0.4517532661749744,0.20259767770292442,0.7309157110746,0.5476351720714786,0.5931439989034383,1.9576783091924117,0.15509812064770592,0.18443067717667255,0.6210372354284202,0.37483110212581583,0.4694121223969346,1.9111170881653456,0.0013849021035197556,0.09695423918123039,-0.000589796479303635
0_0_0_10_14_8,-23.0,2,2,2,35,35,0.6571428571428571,0.05714285714285714,0.0,26,0.7428571428571429,0,26,-0.04196279502745512,0.8882647874951154,0.14002195692596825,35,0.08059375811932971,0.5231118758062037,0.7771636107816738,8,0.01676416478101974,0.1364793330222932,0.09661943534599379,8,0.0202720454378443,0.9943486417280242,0.0035017432530471257,35,-0.04484546998540333,0.8127841782193509,0.217371358463687,35,-0.04455358231989487,0.8484768701237473,0.19015256034079925,0.1787851025769734,0.21931235396459825,0.8197436427103564,0.4715604729957745,0.5305481523742182,1.8929225325130246,0.3989846521789786,0.47906975469361573,1.9446465565552515,0.1603922278354445,0.19194436287950045,0.6679118418715937,0.37246015445522573,0.46254543260487163,1.9056905253429965,0.0028826749579482086,0.06160963476642307,-0.00029188766550845846
0_0_0_10_14_8,-23.0,3,3,3,35,35,0.45714285714285713,0.02857142857142857,0.02857142857142857,22,0.6285714285714286,1,26,-0.04880500158188176,0.9400702368407579,0.11234603871834246,35,-0.02835450234921129,0.0713000864212936,1.0335102536329122,8,0.049685755450161746,0.6138915261966202,0.0902859966203029,8,0.01598197930969676,0.9940141618143141,0.0028416881488773616,35,-0.04689698254926588,0.8606169720553731,0.19060969229746272,35,-0.046504017095453744,0.869932010335676,0.18160722133823293,0.1552361296910283,0.19158128701382482,0.7025680739808778,0.8050228970604654,0.8137543004167467,1.9840676799924986,0.5242749099934035,0.5913185190223326,1.9050794812321732,0.15405274869176014,0.18308802490082673,0.5870239607426299,0.3774061240610499,0.47194134804958593,1.9112687651486082,-0.0019080190326158791,0.09658273799942763,-0.00039296545381213577
0_0_0_10_14_8,-23.0,4,4,4,35,35,0.6857142857142857,0.2,0.02857142857142857,15,0.42857142857142855,0,26,-0.041723096680936385,0.8947180374937577,0.13280015076219728,35,0.10918674370960585,0.7556828598766581,0.6270139195544772,8,0.022856221546358427,0.2059757519708456,0.10282362787573021,8,0.017919705620755056,0.9969724985075727,0.0022626173673838527,35,-0.044150326789197746,0.8012143593840957,0.22210183726878416,35,-0.04553022783443251,0.859237297676087,0.18611747286876257,0.1855017231578285,0.22345056189236007,0.8213815611191156,0.4775239188725713,0.5557629528867437,1.888042425904947,0.4151372923521418,0.4610039722701007,1.8094776868335307,0.15776775692609396,0.19004769655085663,0.6791363542001371,0.3723539722024026,0.4668965947990183,1.9118425124391278,0.0024272301082613607,0.06700654833555617,0.0013799010452347632
0_0_0_10_14_8,-23.0,5,5,5,35,35,0.9714285714285714,0.7428571428571429,0.4,3,0.08571428571428572,2,26,-0.12582326569929864,0.8983518891968548,0.4381665369874231,35,-0.015439888409801246,0.022939903642757886,1.0176749553802795,8,0.018152942633130203,0.004993511418347807,0.587133174341911,8,0.006562440868430394,0.0007532758480591761,0.5476516493132582,35,0.02176892014017599,0.0564143671700611,0.8991512894933128,35,-0.1394027217556839,0.8197040110420096,0.6602917051175184,0.48754054314956624,0.5421399175823036,1.8463742168900252,0.48042654484531916,0.5471430952370162,1.8403284816329641,0.5328906013423865,0.6001835860515652,1.9195048115072446,0.49577490282238645,0.5533464558418884,1.9066310379768847,0.515182267380695,0.5972146917318295,1.9894257483444304,-0.14759218583947462,-0.0036159775070457867,0.1611716418958599
0_0_0_10_14_8,-23.0,6,6,6,35,35,0.7714285714285715,0.5714285714285714,0.2571428571428571,5,0.14285714285714285,1,26,0.07610780047545238,0.8778754260059295,0.2899243834986192,35,0.1715355341165539,0.6861433205305417,1.1716892703189812,8,0.01965240404178591,0.008537521449147545,0.48525226788067943,8,0.007962750325577627,0.0011097090788353414,0.5473902739413432,35,-0.030684345365690847,0.056086999514138425,1.2713110692598473,35,-0.1456798999113984,0.866687234997613,0.5770379659237151,0.4101982256691876,0.4744132100420331,1.7459853463160462,0.5214851955086995,0.5812453001945039,1.8710311724414213,0.4749382268794036,0.5475883881318772,1.8428339544972632,0.4414465285950526,0.4979530119455861,1.8172013270607468,0.47861422815549115,0.5642810771091682,1.9415449699303007,0.10679214584114322,0.05033674940747676,0.11499555454570756
0_0_0_10_14_8,-23.0,7,7,7,35,35,0.9428571428571428,0.6,0.34285714285714286,4,0.11428571428571428,1,26,-0.13105560524157037,0.9249362538538469,0.3757491226780453,35,-0.0805839574646838,0.5625449023265673,0.7176898788529611,8,-0.025818304992902,0.01508750333213238,0.4779665598369775,8,0.007362808359459881,0.000944428770232153,0.5486979872937824,35,-0.05085905424067831,0.22331067785074654,0.9579377501264948,35,-0.15103571663809268,0.8834940939095776,0.5539261806656413,0.4241140998720176,0.48522459275099783,1.6783629497156554,0.4718061040334474,0.5312002129377998,1.967626653837261,0.3965123997981875,0.49009889929922595,1.9341467040776383,0.4417478020124041,0.5104568099940973,1.8886369653235866,0.5112832936333246,0.5931660093435237,1.964132258612869,-0.08019655100089206,0.02504074924777631,0.10017666239741436
0_0_0_10_14_8,-23.0,8,8,8,35,35,0.8285714285714286,0.45714285714285713,0.34285714285714286,5,0.14285714285714285,0,26,-0.09054701197921323,0.736943485531129,0.5428538211704684,35,0.06514918119486202,0.3148589832883266,0.9706015649605596,8,-0.007193151853826744,0.0008520880225819649,0.564379905732442,8,0.00806161092310868,0.0011327277133006408,0.548520185936062,35,-0.05506749842213897,0.25330946210144245,0.9548607713471956,35,-0.14357786338539336,0.859037011585585,0.5874003261078963,0.5333947644663288,0.6023756840902511,1.7699170054959887,0.4844084153844585,0.5803422438752327,1.921804810394954,0.44589340309520525,0.51775883879959,1.6794356956175567,0.5505704520053643,0.6215495867869968,1.9337856876347956,0.5012930856054212,0.5830186605020855,1.9829871548864173,-0.035479513557074266,0.04787434656831223,0.08851036496325439
0_0_0_10_14_8,-23.0,9,9,9,35,35,0.9142857142857143,0.45714285714285713,0.2,7,0.2,1,26,0.015832485911858724,0.11213158686134306,0.41323967714150556,35,0.03827814431482337,0.1115705860413212,1.0909065981997457,8,0.003139890645850073,0.0001661783597700639,0.5580470960583727,8,0.010294603948680455,0.0018487678737058033,0.5480829292794487,35,-0.08618749761764279,0.4550507715478571,0.9525602418538003,35,-0.1347595380762131,0.814550974414013,0.6494006868501658,0.48347865578987737,0.5601830141005646,1.8899005064762289,0.5390035976821751,0.6145687123558548,1.9279473863270782,0.5151556486194313,0.5889696445120396,1.968200273077214,0.5020132986353046,0.5658942951112486,1.9425746217914042,0.5043707795422292,0.5789373238393015,1.805105108384995,0.1020199835295015,0.08932738826349286,0.04857204045857032
0_0_0_10_14_8,-24.0,0,0,0,35,35,0.7714285714285715,0.37142857142857144,0.08571428571428572,9,0.2571428571428571,0,26,-0.04882885913405883,0.9329449397766398,0.12846894943495174,35,0.16939360376356635,0.8500689887634856,0.7184817512851795,8,0.032374415748419934,0.366545336773588,0.09751591737228224,8,0.016458344656840696,0.9984911017918594,0.001465965252232222,35,-0.05017238436508955,0.8442859918057987,0.21761251925386185,35,-0.050919456804491905,0.8818486089831218,0.1882375451033345,0.16968028782770617,0.2180351454714281,0.9680560967795534,0.4925214644219644,0.5770273505460114,1.9768294226536935,0.48353572212020085,0.5494248123603496,1.970039133601276,0.1629098701309677,0.18941798870680457,0.6539631835345507,0.38241356694173434,0.46967639156950064,1.906563298449374,0.0013435252310307205,0.08254680011350948,0.0007470724394023562
0_0_0_10_14_8,-24.0,1,1,1,35,35,0.8,0.2571428571428571,0.05714285714285714,13,0.37142857142857144,0,26,-0.04440466213573168,0.8898245068210124,0.14778361959931746,35,-0.042426903357211554,0.3702640849532808,0.5588108860100727,8,0.05944681187425161,0.37719564214597556,0.17502525062367205,8,0.01832825299152771,0.9979587235330929,0.0018993077817585934,35,-0.04505046034452618,0.8308439046553449,0.20529738892546934,35,-0.044446125569941514,0.8558053266235685,0.18425577603584828,0.16963009676944496,0.20540096772633915,0.7288070700566184,0.26497709667234043,0.20700021528664056,0.7525401753988601,0.5322030128577282,0.5883619771916009,1.861685161117859,0.15591169774823244,0.18425625189567674,0.6089789603883196,0.37483110212581583,0.4694121223969346,1.9111170881653456,0.0006457982087944986,0.10449727221877779,-0.0006043347745846653
0_0_0_10_14_8,-24.0,2,2,2,35,35,0.7714285714285715,0.17142857142857143,0.05714285714285714,17,0.4857142857142857,0,26,-0.0398178955234967,0.865336640577629,0.1503433295544829,35,0.13373211398328522,0.5725448328068606,1.167014713509631,8,0.016236004055028064,0.10236860475071408,0.11016012695401878,8,0.0202720454378443,0.9943486417280242,0.0035017432530471257,35,-0.04428856850952244,0.8034054997284554,0.22126361883029533,35,-0.04455358231989487,0.8484768701237473,0.19015256034079925,0.17885946225838792,0.2258235030871946,0.8765211873469588,0.5115573815204721,0.5889213170271251,1.9322631765298586,0.4071148731399004,0.48621257073846424,1.9539151585801273,0.16187337460623188,0.19607529830752893,0.7043751334388868,0.37246015445522573,0.46254543260487163,1.9056905253429965,0.004470672986025735,0.0605245725645505,0.0002650138103724303
0_0_0_10_14_8,-24.0,3,3,3,35,35,0.6,0.17142857142857143,0.02857142857142857,15,0.42857142857142855,1,26,-0.04862913169545708,0.9381905986166238,0.11379693081400544,35,0.02810524135658645,0.04479282123769024,1.3107865771698053,8,0.05538627905346106,0.601624046734777,0.10326800943019881,8,0.01598197930969676,0.9940141618143141,0.0028416881488773616,35,-0.046853627854153646,0.8572599072489302,0.19309011467950485,35,-0.046504017095453744,0.869932010335676,0.18160722133823293,0.15664866670970815,0.19392095968144765,0.7222350404322627,0.5365907025847313,0.5426634025139462,1.8656498990484403,0.5184118993107313,0.5870796911511947,1.9235718622447144,0.15396924885215327,0.18287106461284403,0.5836824329005611,0.3774061240610499,0.47194134804958593,1.9112687651486082,-0.0017755038413034344,0.1022399069076147,-0.0003496107586999017
0_0_0_10_14_8,-24.0,4,4,4,35,35,0.6857142857142857,0.2571428571428571,0.11428571428571428,5,0.14285714285714285,0,26,-0.042437152617530394,0.8736070623514021,0.149774444245055,35,0.10932389111205094,0.7563938365595351,0.6265926729876422,8,0.02265852384237379,0.17065319101820042,0.1144516734254553,8,0.017919705620755056,0.9969724985075727,0.0022626173673838527,35,-0.04416706373625508,0.7867028834733714,0.2322660504496061,35,-0.04553022783443251,0.859237297676087,0.18611747286876257,0.19352364963971985,0.23292222441039212,0.9082386992328062,0.4806817358997676,0.5667505334400409,1.9570043042883858,0.41495645088163485,0.46106112266619964,1.8005548823426125,0.15737058180597052,0.18872085037268885,0.666997403278039,0.3723539722024026,0.4668965947990183,1.9118425124391278,0.0017299111187246835,0.06682558757862886,0.0013631640981774315
0_0_0_10_14_8,-24.0,5,5,5,35,35,0.9714285714285714,0.8285714285714286,0.6571428571428571,2,0.05714285714285714,2,26,-0.2262186637051502,0.9376785635939336,0.6182512782830057,35,-0.015429824394549204,0.02291903888258895,1.017485301291394,8,0.018698914818759977,0.005210938625605621,0.5919752866129818,8,0.006562440868430394,0.0007532758480591761,0.5476516493132582,35,-0.05632243933409898,0.27419363954502485,0.9254719035521541,35,-0.1394027217556839,0.8197040110420096,0.6602917051175184,0.4644699131576329,0.5179110434797495,1.6431405789853275,0.4805667020487175,0.5513082155562902,1.845211740003438,0.5228036151000883,0.576832534124937,1.8916519321051868,0.43862136672987007,0.5134384817618295,1.9096920893636369,0.515182267380695,0.5972146917318295,1.9894257483444304,-0.16989622437105123,0.07502135415285896,0.08308028242158494
0_0_0_10_14_8,-24.0,6,6,6,35,35,0.8,0.7428571428571429,0.45714285714285713,3,0.08571428571428572,1,26,0.045020705453032536,0.5065262999443003,0.4491318021413438,35,0.17395790104572112,0.7054237077087422,1.1353195461925292,8,0.018849339985617528,0.007970235008220916,0.48183970861708453,8,0.007962750325577627,0.0011097090788353414,0.5473902739413432,35,-0.030685162190309558,0.05610334863264865,1.2711486479273135,35,-0.1456798999113984,0.866687234997613,0.5770379659237151,0.4763164333924134,0.5669620773702604,1.9058923285597318,0.5220284640732306,0.5776276912444568,1.8432516544471549,0.47541770079258105,0.5459730031039095,1.8259518096640999,0.48925715119236124,0.5799843474609068,1.9483229061149177,0.47861422815549115,0.5642810771091682,1.9415449699303007,0.0757058676433421,0.049534502175927086,0.11499473772108884
0_0_0_10_14_8,-24.0,7,7,7,35,35,0.9428571428571428,0.7428571428571429,0.5142857142857142,4,0.11428571428571428,1,26,-0.04845227811559241,0.6800775698881503,0.32311073883717667,35,-0.08055135612952785,0.5625501935525135,0.7173918151624574,8,-0.029034148481156867,0.019404940099772672,0.47290885107879344,8,0.007362808359459881,0.000944428770232153,0.5486979872937824,35,-0.050494772131919066,0.2209015084092848,0.9577305559838666,35,-0.15103571663809268,0.8834940939095776,0.5539261806656413,0.32923837910507253,0.395100281002206,1.4839868524252537,0.4782146256363403,0.5369805935790071,1.976958818462013,0.3763998931709906,0.4715280290171472,1.9509088896599298,0.34613341485843535,0.4178336650628705,1.5189860818740348,0.5112832936333246,0.5931660093435237,1.964132258612869,0.002042494016326654,0.0214606236507622,0.10054094450617361
0_0_0_10_14_8,-24.0,8,8,8,35,35,0.9142857142857143,0.6285714285714286,0.5142857142857142,3,0.08571428571428572,0,26,-0.1416933437798693,0.8047251777076246,0.694101350867911,35,0.11376204710598156,0.5260749497327298,1.090507120178849,8,-0.00997476506744787,0.0016126241461652535,0.5686765089860643,8,0.00806161092310868,0.0011327277133006408,0.548520185936062,35,-0.10975593249748576,0.6159644830162028,0.8752577197053171,35,-0.14357786338539336,0.859037011585585,0.5874003261078963,0.5213028268021288,0.5688244404197168,1.8451494599702218,0.5109578468711863,0.6001917556151273,1.9076957233121221,0.4376563114930435,0.5097992056123691,1.6789690664912775,0.5033892831800355,0.5787061742524107,1.8702183512755752,0.5012930856054212,0.5830186605020855,1.9829871548864173,-0.031937411282383546,0.0997811674300379,0.033821930887907595
0_0_0_10_14_8,-24.0,9,9,9,35,35,0.9428571428571428,0.6571428571428571,0.45714285714285713,5,0.14285714285714285,1,26,-0.03881547234464228,0.3908629522899546,0.4525231333518942,35,0.04180140278156001,0.12784097528022287,1.1026907817991638,8,0.0014293846331119632,3.407252189346899e-05,0.5610728087425901,8,0.010294603948680455,0.0018487678737058033,0.5480829292794487,35,-0.14109924571340984,0.8098933986064725,0.690413774432457,35,-0.1347595380762131,0.814550974414013,0.6494006868501658,0.3854795312195435,0.46721826814666656,1.7221239837463898,0.5452988263433937,0.6141896884674,1.934103729409352,0.5136412838056525,0.5840895496895462,1.898550539417074,0.3535419665754435,0.4317555220895956,1.6053748822840812,0.5043707795422292,0.5789373238393015,1.805105108384995,0.10228377336876757,0.1425286303465218,-0.00633970763719674
