dataset,target_snr_db,packet_index,frame_index,event_index,symbol_count,gt_compared_symbols,center_symbol_ser,multi_symbol_ser,selected_symbol_ser,locked_count,locked_ratio,false_locked_gt_bins,selector_line_anchors,selector_line_slope_pi,selector_line_r2,selector_line_rmse_pi,center_argmax_line_anchors,center_argmax_line_slope_pi,center_argmax_line_r2,center_argmax_line_rmse_pi,header_line_anchors,header_line_slope_pi,header_line_r2,header_line_rmse_pi,clean_header_line_anchors,clean_header_line_slope_pi,clean_header_line_r2,clean_header_line_rmse_pi,gt_noisy_payload_line_anchors,gt_noisy_payload_line_slope_pi,gt_noisy_payload_line_r2,gt_noisy_payload_line_rmse_pi,gt_clean_payload_line_anchors,gt_clean_payload_line_slope_pi,gt_clean_payload_line_r2,gt_clean_payload_line_rmse_pi,selector_vs_gt_noisy_resid_mean_abs_pi,selector_vs_gt_noisy_resid_std_pi,selector_vs_gt_noisy_resid_ptp_pi,center_argmax_vs_gt_noisy_resid_mean_abs_pi,center_argmax_vs_gt_noisy_resid_std_pi,center_argmax_vs_gt_noisy_resid_ptp_pi,header_vs_gt_noisy_resid_mean_abs_pi,header_vs_gt_noisy_resid_std_pi,header_vs_gt_noisy_resid_ptp_pi,selector_vs_gt_clean_resid_mean_abs_pi,selector_vs_gt_clean_resid_std_pi,selector_vs_gt_clean_resid_ptp_pi,clean_header_vs_gt_clean_resid_mean_abs_pi,clean_header_vs_gt_clean_resid_std_pi,clean_header_vs_gt_clean_resid_ptp_pi,selector_slope_minus_gt_noisy_pi,header_slope_minus_gt_noisy_pi,gt_noisy_slope_minus_clean_pi
0_0_0_10_14_8,-22.0,0,0,0,35,35,0.5142857142857142,0.02857142857142857,0.0,22,0.6285714285714286,0,26,-0.05230875370580621,0.9408863319351685,0.12091182503418005,35,0.11131974759060598,0.5980373318541252,0.9217242451294664,8,0.02793344805290337,0.43938620838916576,0.0722957683169162,8,0.016458344656840696,0.9984911017918594,0.001465965252232222,35,-0.050340787808109265,0.8579109842721904,0.20690892883692188,35,-0.050919456804491905,0.8818486089831218,0.1882375451033345,0.16217375811975604,0.207861347030758,0.8521112461417627,0.501331047603937,0.5784309764282646,1.924458944175667,0.45242581536264864,0.4775986617054257,1.9202727721249455,0.16167721056403656,0.18875976336679925,0.5957355822752265,0.38241356694173434,0.46967639156950064,1.906563298449374,-0.0019679658976969466,0.07827423586101263,0.0005786689963826405
0_0_0_10_14_8,-22.0,1,1,1,35,35,0.3142857142857143,0.02857142857142857,0.0,29,0.8285714285714286,0,26,-0.04735168930411409,0.9091268521888217,0.13853577715726706,35,-0.007428841650335674,0.022402936090917036,0.49561981517908893,8,0.04505530837262953,0.43751747019256415,0.11705297002829407,8,0.01832825299152771,0.9979587235330929,0.0018993077817585934,35,-0.04501053514899759,0.8393471308195285,0.19887843801671806,35,-0.044446125569941514,0.8558053266235685,0.18425577603584828,0.16580293192588388,0.2002790438146925,0.7131607664476877,0.3064668609170409,0.4301811219931744,1.9156820979511673,0.5329215232058402,0.5923766989155447,1.8881362792955796,0.15713610959465,0.18657788096431271,0.6085638150376849,0.37483110212581583,0.4694121223969346,1.9111170881653456,-0.002341154155116501,0.09006584352162711,-0.0005644095790560757
0_0_0_10_14_8,-22.0,2,2,2,35,35,0.5428571428571428,0.0,0.0,28,0.8,0,26,-0.043926257599036594,0.8912665377299713,0.13767522974462923,35,-0.05559245688473575,0.5905977748237468,0.46746074839082713,8,0.017298588032551514,0.1812438037983395,0.08424342660149771,8,0.0202720454378443,0.9943486417280242,0.0035017432530471257,35,-0.04496107891482733,0.818556487462571,0.2137879412590487,35,-0.04455358231989487,0.8484768701237473,0.19015256034079925,0.17446497297736502,0.21404324575574715,0.7682305565293066,0.20971131821929828,0.23923619286547348,1.001140300449962,0.3947112180066231,0.4751720707746737,1.9375197864988052,0.15959157537008561,0.1902580797425226,0.6380448376071439,0.37246015445522573,0.46254543260487163,1.9056905253429965,0.0010348213157907321,0.06225966694737884,-0.0004074965949324577
0_0_0_10_14_8,-22.0,3,3,3,35,35,0.4,0.02857142857142857,0.0,29,0.8285714285714286,0,26,-0.04488905949168392,0.9196704762935478,0.12423150308490616,35,-0.10085920793355152,0.6839129290097223,0.6924981192183577,8,0.04488476983162193,0.625808671312386,0.07952519185201215,8,0.01598197930969676,0.9940141618143141,0.0028416881488773616,35,-0.046925051897227094,0.8632049442306465,0.18866141537840744,35,-0.046504017095453744,0.869932010335676,0.18160722133823293,0.14651292743271696,0.1897786781761265,0.743329575190596,0.6049028308816005,0.6441731879245911,1.9586900619636725,0.5142684822270233,0.5708380425632765,1.9611769482661,0.15435413089553904,0.1823381688635577,0.6297148140396484,0.3774061240610499,0.47194134804958593,1.9112687651486082,0.002035992405543176,0.09180982172884902,-0.0004210348017733498
0_0_0_10_14_8,-22.0,4,4,4,35,35,0.42857142857142855,0.08571428571428572,0.02857142857142857,25,0.7142857142857143,0,26,-0.04186943612945304,0.8990613996919383,0.13017249216694154,35,0.11105037707466589,0.8011162869245866,0.5588200149171584,8,0.022890617458777414,0.24366387109482746,0.09240575350393049,8,0.017919705620755056,0.9969724985075727,0.0022626173673838527,35,-0.044164541735273004,0.8113414277571405,0.2150850674606269,35,-0.04553022783443251,0.859237297676087,0.18611747286876257,0.17887139978329358,0.2163304699717836,0.7844871766629191,0.4781368478775382,0.5619774896615346,1.9484134579305927,0.4134749787245042,0.4612671221954616,1.8179225865775417,0.15767153605578815,0.189754199135602,0.676648583575354,0.3723539722024026,0.4668965947990183,1.9118425124391278,0.0022951056058199623,0.06705515919405042,0.001365686099159505
0_0_0_10_14_8,-22.0,5,5,5,35,35,0.9142857142857143,0.5428571428571428,0.3142857142857143,4,0.11428571428571428,0,26,-0.07740480855680947,0.5141197359554057,0.6787724722100941,35,0.04737945760456875,0.3384614276251413,0.6689800480964312,8,0.017441540624164958,0.004676862178097707,0.5830009461846491,8,0.006562440868430394,0.0007532758480591761,0.5476516493132582,35,0.021936566176080512,0.05699026236686977,0.9012110186345584,35,-0.1394027217556839,0.8197040110420096,0.6602917051175184,0.6086157360445034,0.646473731623331,1.9026683220768856,0.4673110954982271,0.53067603802496,1.8834930845651285,0.5320185424325887,0.5994313465282117,1.895057589777552,0.6168348436747025,0.6679255981528728,1.9527715771644194,0.515182267380695,0.5972146917318295,1.9894257483444304,-0.09934137473288998,-0.004495025551915555,0.1613392879317644
0_0_0_10_14_8,-22.0,6,6,6,35,35,0.6571428571428571,0.34285714285714286,0.11428571428571428,7,0.2,1,26,0.12390035918794466,0.8304241442740189,0.5690809263494769,35,0.17015758371920975,0.659788753251738,1.2340230584411194,8,0.003123353217180864,0.000141174185482984,0.6022716901278864,8,0.007962750325577627,0.0011097090788353414,0.5473902739413432,35,-0.030689771912771047,0.0560971778619298,1.2714136866740207,35,-0.1456798999113984,0.866687234997613,0.5770379659237151,0.5328353609360577,0.5915380788326029,1.885429979782408,0.5252916089191924,0.5779090879986198,1.8257963937544708,0.4704665591739108,0.5405431766532401,1.9666302374069164,0.5285462763944355,0.5929865203792976,1.9690138736041374,0.47861422815549115,0.5642810771091682,1.9415449699303007,0.1545901311007157,0.03381312512995191,0.11499012799862736
0_0_0_10_14_8,-22.0,7,7,7,35,35,0.8571428571428571,0.37142857142857144,0.14285714285714285,7,0.2,0,26,-0.13741070783978307,0.9310935635209298,0.38465130299336403,35,-0.16467436349161296,0.8998009110812508,0.5549894804599209,8,-0.02275757425695679,0.011506238235614918,0.48331013873376377,8,0.007362808359459881,0.000944428770232153,0.5486979872937824,35,-0.05123625225868176,0.22574527998384153,0.9583188540597251,35,-0.15103571663809268,0.8834940939095776,0.5539261806656413,0.40577969558390137,0.48046875793768734,1.5800073214524901,0.5292733067315915,0.5857655672192623,1.9531207659323047,0.41653090263383163,0.5154294023926818,1.9516694553474678,0.43008790562434784,0.5000529241990114,1.80527035490239,0.5112832936333246,0.5931660093435237,1.964132258612869,-0.08617445558110132,0.02847867800172497,0.09979946437941092
0_0_0_10_14_8,-22.0,8,8,8,35,35,0.8,0.34285714285714286,0.14285714285714285,10,0.2857142857142857,0,26,-0.05142718868751638,0.35615613073817287,0.7110050151429201,35,0.1378775804222068,0.5565307796739762,1.2430279276717717,8,-0.004932087834335144,0.00040540814035239237,0.5611463862365905,8,0.00806161092310868,0.0011327277133006408,0.548520185936062,35,-0.055232089526130665,0.2534259983167678,0.9574198064840248,35,-0.14357786338539336,0.859037011585585,0.5874003261078963,0.6393460989781888,0.6679860253353883,1.9571574869454316,0.4735491254716316,0.556283769413975,1.9464172488446045,0.4566171923002518,0.5259679936254448,1.7006759145524615,0.6513062006918247,0.6983675827873141,1.9932837670789958,0.5012930856054212,0.5830186605020855,1.9829871548864173,0.003804900838614282,0.05030000169179552,0.08834577385926269
0_0_0_10_14_8,-22.0,9,9,9,35,35,0.8,0.34285714285714286,0.08571428571428572,12,0.34285714285714286,1,26,0.001913409035796369,0.0013367872328531316,0.4596190479421351,35,0.08211095922342741,0.560934835778286,0.7336847567720401,8,0.004544051734359968,0.0003510438285351247,0.5556048218424958,8,0.010294603948680455,0.0018487678737058033,0.5480829292794487,35,-0.08618597032706471,0.4559917705863906,0.950738090033619,35,-0.1347595380762131,0.814550974414013,0.6494006868501658,0.48730247221260525,0.5695080386317488,1.9540841483221847,0.46353502441214667,0.5453415619045759,1.8663789750961135,0.5139725461007191,0.5848891658639688,1.9426261694462141,0.49469901013497986,0.5611670955908976,1.9319832355009552,0.5043707795422292,0.5789373238393015,1.805105108384995,0.08809937936286108,0.09073002206142468,0.048573567749148394
