packet_index,frame_index,frame_symbol_index,payload_symbol_index,start_sample,gt_bin,ordinary_fft_bin,savaux_bin,gls_crossfit_bin,gls_offpacket_bin,savaux_margin_db,branch_color_mismatch,ordinary_fft_correct,savaux_correct,gls_crossfit_correct,gls_offpacket_correct
0,0,8,0,1315302,803,769,803,803,803,0.9312154681954509,0.15598901144353192,0,1,1,1
0,0,9,1,1319398,711,711,711,711,711,3.897854385442236,0.15898294083116293,1,1,1,1
0,0,10,2,1323494,922,509,922,922,922,4.082826214061392,0.1664010189944668,0,1,1,1
0,0,11,3,1327590,718,357,718,718,718,1.4938183498167812,0.13518851368327825,0,1,1,1
0,0,12,4,1331686,756,724,756,756,756,1.1001251560383742,0.1584106605783367,0,1,1,1
0,0,13,5,1335782,109,83,109,109,109,4.100640201847369,0.16943046026433836,0,1,1,1
0,0,14,6,1339878,932,596,932,932,932,4.235762198960199,0.15088596958110073,0,1,1,1
0,0,15,7,1343973,468,467,467,467,467,1.6657513259137682,0.1509564463660589,0,0,0,0
0,0,16,8,1348069,89,693,89,89,89,0.32963689899415194,0.1465825509565854,0,1,1,1
0,0,17,9,1352165,713,952,860,860,860,0.2098747510983045,0.11455075987201092,0,0,0,0
0,0,18,10,1356261,865,947,865,865,865,4.111248166217467,0.15864253329460382,0,1,1,1
0,0,19,11,1360357,92,469,91,91,91,2.0378083972091345,0.12132309731073089,0,0,0,0
0,0,20,12,1364453,645,644,964,964,964,0.3998955185162281,0.147081893573457,0,0,0,0
0,0,21,13,1368549,426,502,256,256,256,1.0017260718440555,0.13356222848323132,0,0,0,0
0,0,22,14,1372645,765,348,765,765,765,2.1610004344356226,0.16542357668831387,0,1,1,1
0,0,23,15,1376741,1023,364,1021,1021,1021,1.8285137504998037,0.13711956598518205,0,0,0,0
0,0,24,16,1380837,597,739,596,596,596,1.5910941363578213,0.14051520955912328,0,0,0,0
0,0,25,17,1384932,562,232,185,185,185,1.4571886048126754,0.1502244087577878,0,0,0,0
0,0,26,18,1389028,827,645,826,826,826,0.791905577009237,0.1457206959605682,0,0,0,0
0,0,27,19,1393124,890,889,889,889,889,1.6112525451386923,0.17249834822680285,0,0,0,0
0,0,28,20,1397220,174,951,173,173,173,2.095087168788389,0.1485354013965171,0,0,0,0
0,0,29,21,1401316,267,391,266,266,266,1.6246512918898184,0.14656498492188086,0,0,0,0
0,0,30,22,1405412,917,707,16,16,16,0.7946691357301559,0.1766929220929504,0,0,0,0
0,0,31,23,1409508,656,655,655,655,655,1.633238003208364,0.14739301824597353,0,0,0,0
0,0,32,24,1413604,889,280,88,639,88,0.5352712750359421,0.1691994640568104,0,0,0,0
0,0,33,25,1417700,66,65,65,65,65,4.125800793152407,0.15069055904089956,0,0,0,0
0,0,34,26,1421796,586,930,585,585,585,1.966162111611941,0.17463099990472233,0,0,0,0
0,0,35,27,1425891,425,99,424,424,424,0.3334903598564659,0.15524509625055652,0,0,0,0
0,0,36,28,1429987,860,879,859,859,859,2.4343177485888052,0.144558794742713,0,0,0,0
0,0,37,29,1434083,553,727,552,552,552,3.63288484289034,0.1634044850356124,0,0,0,0
0,0,38,30,1438179,629,361,790,790,790,0.7725618517433362,0.1483520628267178,0,0,0,0
0,0,39,31,1442275,759,758,758,758,758,2.09081007087835,0.1411709048774852,0,0,0,0
0,0,40,32,1446371,494,493,493,493,493,3.643535255418196,0.14592659245973033,0,0,0,0
0,0,41,33,1450467,303,469,745,745,745,1.1287845837748485,0.17089040842418018,0,0,0,0
0,0,42,34,1454563,1022,350,33,33,33,1.4014552343562556,0.14267233659713077,0,0,0,0
0,0,43,35,1458659,720,415,903,903,903,0.17789990292052818,0.15352929819372418,0,0,0,0
0,0,44,36,1462755,314,447,313,313,313,2.342185971037573,0.17669614650483725,0,0,0,0
0,0,45,37,1466850,602,730,601,601,601,0.6385316517818812,0.1885126984496386,0,0,0,0
0,0,46,38,1470946,7,352,5,5,5,1.6848912072109015,0.12774459990636466,0,0,0,0
0,0,47,39,1475042,414,509,760,760,271,0.14315444682948547,0.18161996031545788,0,0,0,0
0,0,48,40,1479138,807,266,805,805,805,0.0139475630617607,0.12698587513766327,0,0,0,0
0,0,49,41,1483234,195,581,194,194,194,1.7483409098069416,0.16502965155504673,0,0,0,0
0,0,50,42,1487330,826,249,825,825,825,2.01566851145002,0.14854620108445418,0,0,0,0
0,0,51,43,1491426,928,426,926,926,926,0.9497483346133293,0.16773207774643628,0,0,0,0
0,0,52,44,1495522,761,534,760,760,760,0.5365838011977794,0.12614279056282143,0,0,0,0
0,0,53,45,1499618,590,588,588,588,588,2.6335669884709905,0.14366490540259944,0,0,0,0
0,0,54,46,1503714,383,303,381,381,381,2.3450293809112432,0.08788237111208569,0,0,0,0
0,0,55,47,1507810,267,264,149,149,149,0.2310275970721991,0.16018240028373967,0,0,0,0
0,0,56,48,1511905,314,312,312,312,312,2.6744749204110265,0.1559566021424387,0,0,0,0
1,1,8,0,2815725,803,334,803,803,803,2.86151397073865,0.12001407126310477,0,1,1,1
1,1,9,1,2819821,711,711,711,711,711,6.043022852574145,0.15713276634013884,1,1,1,1
1,1,10,2,2823917,922,488,922,922,922,3.072900648396366,0.147137558259983,0,1,1,1
1,1,11,3,2828012,718,683,718,718,718,3.191846326177878,0.15995057981759958,0,1,1,1
1,1,12,4,2832108,756,756,756,756,756,4.207531486349371,0.16029965873106425,1,1,1,1
1,1,13,5,2836204,109,920,109,109,109,0.4594231555877454,0.1234909496012084,0,1,1,1
1,1,14,6,2840300,932,688,154,154,154,0.4865785598880493,0.1473839112299458,0,0,0,0
1,1,15,7,2844396,468,555,132,132,132,0.32530367845817076,0.1543166527766123,0,0,0,0
1,1,16,8,2848492,89,89,89,89,89,4.197590842250319,0.16027240123504902,1,1,1,1
1,1,17,9,2852588,713,973,144,144,144,0.38932165680736286,0.13679748392754307,0,0,0,0
1,1,18,10,2856684,865,811,865,865,865,1.0262461481644105,0.15045413796614834,0,1,1,1
1,1,19,11,2860780,92,858,92,92,92,2.31693611207861,0.1433358696663953,0,1,1,1
1,1,20,12,2864875,645,645,847,847,847,0.8838022034408484,0.1710783500713735,1,0,0,0
1,1,21,13,2868971,426,138,426,426,426,1.3687181013245175,0.15597714112736824,0,1,1,1
1,1,22,14,2873067,765,847,765,765,765,3.4618931335473793,0.15184747448410058,0,1,1,1
1,1,23,15,2877163,1023,281,1023,1023,1023,1.1414094626051265,0.1312456468997345,0,1,1,1
1,1,24,16,2881259,597,474,597,597,597,0.747944255764458,0.1712977379679736,0,1,1,1
1,1,25,17,2885355,562,419,562,562,562,1.5936539671783563,0.14363434106078368,0,1,1,1
1,1,26,18,2889451,827,826,826,826,826,2.0013779029500127,0.14986694202649103,0,0,0,0
1,1,27,19,2893547,890,944,889,889,889,2.086315144838566,0.15791958875749204,0,0,0,0
1,1,28,20,2897643,174,174,173,173,173,3.2062612630305862,0.14119006887067528,1,0,0,0
1,1,29,21,2901738,267,292,266,266,266,0.5851391783318121,0.10842726810962332,0,0,0,0
1,1,30,22,2905834,917,783,916,916,916,2.331585656949324,0.17412631261620076,0,0,0,0
1,1,31,23,2909930,656,190,655,655,655,1.9478903171890924,0.15862418504308184,0,0,0,0
1,1,32,24,2914026,889,334,888,888,888,0.8435690538467497,0.16926163155475493,0,0,0,0
1,1,33,25,2918122,66,362,65,65,65,2.8448358031452265,0.1767350832390351,0,0,0,0
1,1,34,26,2922218,586,585,585,585,585,4.999103140493388,0.15132685151490616,0,0,0,0
1,1,35,27,2926314,425,1016,424,424,424,3.300267430646197,0.1773065875420716,0,0,0,0
1,1,36,28,2930410,860,587,859,859,859,1.1723914056141185,0.12666409307265575,0,0,0,0
1,1,37,29,2934505,553,552,552,552,552,1.3628553910896326,0.15079342795606393,0,0,0,0
1,1,38,30,2938601,629,699,277,277,277,0.4492008701601321,0.14874248080283078,0,0,0,0
1,1,39,31,2942697,759,758,758,758,758,2.442563521951528,0.1401851742158366,0,0,0,0
1,1,40,32,2946793,494,493,493,493,493,4.12474526512269,0.12814833920518198,0,0,0,0
1,1,41,33,2950889,303,854,885,885,885,0.2616844423358804,0.15881144267875505,0,0,0,0
1,1,42,34,2954985,1022,62,1021,1021,1021,3.5342763122286707,0.14918034399418445,0,0,0,0
1,1,43,35,2959081,720,719,719,719,719,1.7968330720268366,0.15805224349021374,0,0,0,0
1,1,44,36,2963177,314,348,313,313,313,2.70869453309749,0.13724213705132488,0,0,0,0
1,1,45,37,2967273,602,229,601,602,601,0.18438660489693826,0.18055897742345953,0,0,1,0
1,1,46,38,2971368,7,6,6,6,6,4.174563705357453,0.19128268692142716,0,0,0,0
1,1,47,39,2975464,414,411,412,412,412,1.2052300602578607,0.1906965501089194,0,0,0,0
1,1,48,40,2979560,807,591,709,709,709,0.18301736269063323,0.1537840433850528,0,0,0,0
1,1,49,41,2983656,195,193,193,193,193,1.1841949248765573,0.13673759707832855,0,0,0,0
1,1,50,42,2987752,826,331,825,825,825,2.4339308179463397,0.10376315670859251,0,0,0,0
1,1,51,43,2991848,928,778,173,173,173,1.32780289269128,0.1698070092443828,0,0,0,0
1,1,52,44,2995944,761,831,25,25,25,0.7945253409231634,0.17173816741171022,0,0,0,0
1,1,53,45,3000040,590,868,571,571,571,1.7463702129969954,0.15628451350293307,0,0,0,0
1,1,54,46,3004136,383,802,382,382,382,2.490648790814554,0.1640374423934127,0,0,0,0
1,1,55,47,3008231,267,92,265,265,265,2.460012405388155,0.1486660657401674,0,0,0,0
1,1,56,48,3012327,314,312,312,312,312,3.146257856387638,0.1754658496480749,0,0,0,0
2,2,8,0,4315535,803,247,803,803,803,3.6158573414418815,0.15571796912433733,0,1,1,1
2,2,9,1,4319631,711,2,711,711,711,4.770846886715176,0.14183079618888253,0,1,1,1
2,2,10,2,4323727,922,656,922,922,922,3.60209020699777,0.17050571266664968,0,1,1,1
2,2,11,3,4327823,718,450,152,152,152,0.47111872345710043,0.14673291346302547,0,0,0,0
2,2,12,4,4331920,756,150,756,756,756,4.945565443079182,0.17217732000127342,0,1,1,1
2,2,13,5,4336016,109,524,109,109,109,5.530641630417003,0.1376870861622269,0,1,1,1
2,2,14,6,4340112,932,882,932,932,932,4.2590378984236406,0.16758116851346733,0,1,1,1
2,2,15,7,4344208,468,468,468,468,468,3.1396535736581184,0.16259863194480617,1,1,1,1
2,2,16,8,4348304,89,89,89,89,89,5.900565642013349,0.15212146487735148,1,1,1,1
2,2,17,9,4352400,713,804,713,713,713,5.240915682001942,0.17780903698391679,0,1,1,1
2,2,18,10,4356496,865,865,865,865,865,7.6195204881676615,0.18161807510172293,1,1,1,1
2,2,19,11,4360592,92,92,92,92,92,3.131472794465986,0.14890529940672118,1,1,1,1
2,2,20,12,4364688,645,238,645,645,645,1.6003873069849592,0.15763193313629173,0,1,1,1
2,2,21,13,4368784,426,689,426,426,426,0.5917418184146098,0.1704897069030533,0,1,1,1
2,2,22,14,4372880,765,625,765,765,765,4.411363698924847,0.14518335061763363,0,1,1,1
2,2,23,15,4376976,1023,1005,1023,1023,1023,1.43630297345691,0.13383839523874505,0,1,1,1
2,2,24,16,4381072,597,77,597,597,597,3.604954247857723,0.1667160599296535,0,1,1,1
2,2,25,17,4385168,562,562,562,562,562,5.2087912816686766,0.15909871668724054,1,1,1,1
2,2,26,18,4389264,827,827,827,827,827,6.344670524403472,0.1824926303105496,1,1,1,1
2,2,27,19,4393360,890,890,890,890,890,5.459524332175542,0.15450436197777503,1,1,1,1
2,2,28,20,4397456,174,875,174,174,174,1.9160618212986038,0.1524788571804029,0,1,1,1
2,2,29,21,4401552,267,267,267,267,267,3.0801217040787927,0.1604786407047097,1,1,1,1
2,2,30,22,4405648,917,1023,917,917,917,3.471161977577278,0.1426626308666447,0,1,1,1
2,2,31,23,4409744,656,952,656,656,656,3.6264281449058364,0.13868891642196776,0,1,1,1
2,2,32,24,4413840,889,889,889,889,889,5.295598007146892,0.14108155329616154,1,1,1,1
2,2,33,25,4417936,66,433,66,66,66,3.9224603111254304,0.1685963520759225,0,1,1,1
2,2,34,26,4422032,586,476,586,586,586,4.76806399285968,0.1383194913936125,0,1,1,1
2,2,35,27,4426128,425,252,425,425,425,0.4777947825587908,0.1418268159506487,0,1,1,1
