method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,triggered_symbols,trigger_rate,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent,savaux_gate_margin_db
savaux,0,70,1,0.014285714285714285,0,0,0.6474354999845673,9.249078571208104,0,0.0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5
hamming_8,8,70,1,0.014285714285714285,0,0,1.107819600008952,15.825994285842171,0,0.0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5
information_8,8,70,2,0.02857142857142857,0,1,1.1178120000004128,15.968742857148754,0,0.0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5
information_8_wrap,8,70,2,0.02857142857142857,0,1,1.21752449998894,17.393207142699143,0,0.0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5
information_8_wrap_gated,8,70,2,0.02857142857142857,0,1,0.013587000001280103,0.19410000001828717,1,0.014285714285714285,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5
savaux,0,70,8,0.11428571428571428,0,0,0.28974999999263673,4.139285714180525,0,0.0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5
hamming_8,8,70,8,0.11428571428571428,0,0,1.0876525000094261,15.537892857277516,0,0.0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5
information_8,8,70,8,0.11428571428571428,0,0,1.1149057999937213,15.927225714196018,0,0.0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5
information_8_wrap,8,70,10,0.14285714285714285,0,2,1.2202595000235306,17.432278571764723,0,0.0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5
information_8_wrap_gated,8,70,9,0.12857142857142856,0,1,0.1207523999910336,1.7250342855861942,7,0.1,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5
savaux,0,70,16,0.22857142857142856,0,0,0.2896273999904224,4.1375342855774635,0,0.0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5
hamming_8,8,70,17,0.24285714285714285,2,3,1.2878404000111914,18.397720000159875,0,0.0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5
information_8,8,70,18,0.2571428571428571,1,3,1.261211299988645,18.01730428555207,0,0.0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5
information_8_wrap,8,70,20,0.2857142857142857,1,5,1.353670399999828,19.338148571426114,0,0.0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5
information_8_wrap_gated,8,70,19,0.2714285714285714,1,4,0.30882740001470665,4.411820000210095,15,0.21428571428571427,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5
savaux,0,70,1,0.014285714285714285,0,0,0.2508878000153345,3.584111428790493,0,0.0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5
hamming_8,8,70,2,0.02857142857142857,0,1,1.1228072000085376,16.040102857264824,0,0.0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5
information_8,8,70,2,0.02857142857142857,0,1,1.2513534999961848,17.87647857137407,0,0.0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5
information_8_wrap,8,70,3,0.04285714285714286,0,2,1.350600799996755,19.294297142810787,0,0.0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5
information_8_wrap_gated,8,70,3,0.04285714285714286,0,2,0.06837719999748515,0.9768171428212165,3,0.04285714285714286,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5
savaux,0,70,8,0.11428571428571428,0,0,0.23441039999306668,3.3487199999009527,0,0.0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5
hamming_8,8,70,10,0.14285714285714285,0,2,1.037939699996059,14.827709999943702,0,0.0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5
information_8,8,70,7,0.1,1,0,1.047641000001022,14.966300000014598,0,0.0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5
information_8_wrap,8,70,6,0.08571428571428572,2,0,1.1435978999979852,16.337112857114075,0,0.0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5
