dataset,method,metric,threshold_snr_db,status
0_0_0_10_14_8,traditional_fft,SER<=10%,,all_fail
0_0_0_10_14_8,traditional_fft,accuracy>=90%,,all_fail
0_0_0_10_14_8,traditional_fft,CRC/PRR>=90%,,all_fail
0_0_0_10_14_8,traditional_fft,CRC/PRR>=80%,,all_fail
0_0_0_10_14_8,traditional_fft,CRC/PRR>=50%,,all_fail
0_0_0_10_14_8,multi_offset_argmax,SER<=10%,,all_fail
0_0_0_10_14_8,multi_offset_argmax,accuracy>=90%,,all_fail
0_0_0_10_14_8,multi_offset_argmax,CRC/PRR>=90%,,all_fail
0_0_0_10_14_8,multi_offset_argmax,CRC/PRR>=80%,,all_fail
0_0_0_10_14_8,multi_offset_argmax,CRC/PRR>=50%,,all_fail
0_0_0_10_14_8,current_selected,SER<=10%,,all_fail
0_0_0_10_14_8,current_selected,accuracy>=90%,,all_fail
0_0_0_10_14_8,current_selected,CRC/PRR>=90%,,all_fail
0_0_0_10_14_8,current_selected,CRC/PRR>=80%,,all_fail
0_0_0_10_14_8,current_selected,CRC/PRR>=50%,,all_fail
0_0_0_10_14_8,savaux_paper,SER<=10%,-23.548387096774192,interpolated
0_0_0_10_14_8,savaux_paper,accuracy>=90%,-23.548387096774192,interpolated
0_0_0_10_14_8,savaux_paper,CRC/PRR>=90%,,all_fail
0_0_0_10_14_8,savaux_paper,CRC/PRR>=80%,,all_fail
0_0_0_10_14_8,savaux_paper,CRC/PRR>=50%,-23.0,interpolated
mean_of_datasets,traditional_fft,SER<=10%,,all_fail
mean_of_datasets,traditional_fft,accuracy>=90%,,all_fail
mean_of_datasets,traditional_fft,CRC/PRR>=90%,,all_fail
mean_of_datasets,traditional_fft,CRC/PRR>=80%,,all_fail
mean_of_datasets,traditional_fft,CRC/PRR>=50%,,all_fail
mean_of_datasets,multi_offset_argmax,SER<=10%,,all_fail
mean_of_datasets,multi_offset_argmax,accuracy>=90%,,all_fail
mean_of_datasets,multi_offset_argmax,CRC/PRR>=90%,,all_fail
mean_of_datasets,multi_offset_argmax,CRC/PRR>=80%,,all_fail
mean_of_datasets,multi_offset_argmax,CRC/PRR>=50%,,all_fail
mean_of_datasets,current_selected,SER<=10%,,all_fail
mean_of_datasets,current_selected,accuracy>=90%,,all_fail
mean_of_datasets,current_selected,CRC/PRR>=90%,,all_fail
mean_of_datasets,current_selected,CRC/PRR>=80%,,all_fail
mean_of_datasets,current_selected,CRC/PRR>=50%,,all_fail
mean_of_datasets,savaux_paper,SER<=10%,-23.548387096774192,interpolated
mean_of_datasets,savaux_paper,accuracy>=90%,-23.548387096774192,interpolated
mean_of_datasets,savaux_paper,CRC/PRR>=90%,,all_fail
mean_of_datasets,savaux_paper,CRC/PRR>=80%,,all_fail
mean_of_datasets,savaux_paper,CRC/PRR>=50%,-23.0,interpolated
0_0_0_10_14_8,savaux_codec,SER<=10%,-23.65625,interpolated
0_0_0_10_14_8,savaux_codec,accuracy>=90%,-23.65625,interpolated
0_0_0_10_14_8,savaux_codec,CRC/PRR>=80%,,all_fail
0_0_0_10_14_8,savaux_codec,CRC/PRR>=50%,-24.0,all_pass
mean_of_datasets,savaux_codec,SER<=10%,-23.65625,interpolated
mean_of_datasets,savaux_codec,accuracy>=90%,-23.65625,interpolated
mean_of_datasets,savaux_codec,CRC/PRR>=80%,,all_fail
mean_of_datasets,savaux_codec,CRC/PRR>=50%,-24.0,all_pass
