dataset,snr_db,hypothesis,rows,blocks,raw_coherence_q10,raw_coherence_median,raw_coherence_q90,gt_slope_coherence_q10,gt_slope_coherence_median,gt_slope_coherence_q90,best_linear_coherence_q10,best_linear_coherence_median,best_linear_coherence_q90
0_0_0_10_14_32,-18.0,gt,147,147,0.025884519813871347,0.26140694461009756,0.6704360369267278,0.5055313200351508,0.8681185946257154,0.9826730019703759,0.5055313200351508,0.8681185946257152,0.9826730019703757
0_0_0_10_14_32,-18.0,hard,147,147,0.02420503287004617,0.23329648649904272,0.6848405544973261,0.21838861142679372,0.696470611291834,0.9826730019703759,0.4671966623236859,0.769072777390676,0.9826730019703757
0_0_0_10_14_32,-18.0,random_valid,9408,147,0.027485327258958008,0.16087183242570308,0.4358319388610457,0.026395480708289506,0.15869680585504453,0.435608655442276,0.4061858241843651,0.5399956043209979,0.7210252717045493
0_0_0_10_14_32,-20.0,gt,147,147,0.025542360537834576,0.23677750812145934,0.6678682869246159,0.5030844162903648,0.8325475905099826,0.972955960900525,0.5030844162903647,0.8325475905099828,0.972955960900525
0_0_0_10_14_32,-20.0,hard,147,147,0.02005497792246484,0.2266915394136223,0.6782102840906123,0.18899587456085276,0.6366841453375743,0.972955960900525,0.438621283037232,0.6958754438580129,0.972955960900525
0_0_0_10_14_32,-20.0,random_valid,9408,147,0.027297477749648177,0.16061180980833234,0.43621497384142194,0.02617103391404317,0.15943549921346406,0.43550666776122077,0.4064953668844387,0.5394941955910222,0.7211428044668571
0_0_0_10_14_32,-22.0,gt,147,147,0.0266477509163775,0.21596484614791117,0.6524933960270252,0.4929866718866884,0.7783899610239431,0.9583223793542046,0.49298667188668843,0.7783899610239431,0.9583223793542048
0_0_0_10_14_32,-22.0,hard,147,147,0.023811877162010515,0.20591866978124473,0.647090992181571,0.09430143275988274,0.44989061434638566,0.943602707650567,0.41103510638612234,0.6185076820980059,0.9541661252325682
0_0_0_10_14_32,-22.0,random_valid,9408,147,0.027404715844996836,0.16088131476011924,0.4369655414312745,0.02622093365453585,0.160459320757001,0.4358556198999213,0.4075610997664594,0.5395778142969128,0.7211846829268126
