packet_index,event_index,preamble_slope_pi,header_slope_pi,payload_slope_pi,pre_to_payload_delta_pi,hdr_to_payload_delta_pi,preamble_r2,header_r2,payload_r2,preamble_anchors,header_anchors,payload_symbols,header_is_better
1,1,0.00013192181303570675,-0.004700155759216894,-0.05437396620839578,0.05450588802143149,0.04967381044917889,0.021082933480084498,0.9411697957310987,0.9477297995815389,16,8,35,True
2,2,-0.0037584800976596974,-0.02756148138014804,-0.10033157427097003,0.09657309417331034,0.072770092890822,0.6805049941837291,0.9899557710937443,0.9709450284420365,16,8,35,True
3,3,-0.002397022674528471,-0.02851275020085575,-0.1076601147514078,0.10526309207687932,0.07914736455055205,0.5112013933536024,0.9866727595833108,0.97125324985963,16,8,35,True
5,5,-0.0032378177943404693,-0.035361897991140895,-0.11495022168253917,0.1117124038881987,0.07958832369139827,0.5395120800395079,0.9886875989135541,0.9717804515953845,16,8,35,True
6,6,-0.0028224864079975766,-0.03731299529026497,-0.1230543381249042,0.12023185171690662,0.08574134283463922,0.43781026746188656,0.9938517529092605,0.9735653013751241,16,8,35,True
8,8,-0.002754189087135721,-0.036452600380873876,-0.12028736149309531,0.11753317240595959,0.08383476111222143,0.39018136146232985,0.9887485523377896,0.9730581929607072,16,8,35,True
9,9,-0.0028279820373787777,-0.0350382202108919,-0.1183576997127828,0.11552971767540403,0.08331947950189089,0.37870995740272806,0.994135591159126,0.9719235216508132,16,8,35,True
10,10,-0.0036915592081613407,-0.03685494110947679,-0.12394165532921592,0.12025009612105457,0.08708671421973913,0.5548859927733316,0.9934882267197119,0.9728836073109739,16,8,35,True
11,11,-0.007430537534513435,-0.07610616114123905,-0.15849998003260532,0.15106944249809187,0.08239381889136627,0.5324029982149993,0.08929468164159604,0.6243702010395867,16,8,35,True
12,12,-0.004673398996631402,-0.05970235387615478,-0.19469949315822135,0.19002609416158994,0.13499713928206658,0.45517238296991536,0.057791567847459535,0.8305779769949646,16,8,35,True
13,13,-0.0037400478467737364,-0.040728819384420335,-0.127096441459259,0.12335639361248527,0.08636762207483867,0.41350490890006153,0.9916653082453684,0.9743628760541002,16,8,35,True
