method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations
savaux,0,70,25,0.35714285714285715,0,0,0.24550629997611395,3.507232856801628,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4
information_8,8,70,20,0.2857142857142857,5,0,0.3756322999870463,5.366175714100661,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4
hamming_8,8,70,21,0.3,4,0,0.3554966000156128,5.078522857365897,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4
information_12,12,70,19,0.2714285714285714,6,0,0.5760530999905313,8.229329999864733,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4
hamming_12,12,70,20,0.2857142857142857,6,1,0.5505646999954479,7.86520999993497,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4
information_16,16,70,18,0.2571428571428571,7,0,0.7234969000019191,10.335670000027417,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4
hamming_16,16,70,20,0.2857142857142857,6,1,0.7329685999939102,10.470979999913002,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4
savaux,0,70,25,0.35714285714285715,0,0,0.0987879999775032,1.41125714253576,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
information_8,8,70,23,0.32857142857142857,3,1,0.34900080002262257,4.985725714608894,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
hamming_8,8,70,23,0.32857142857142857,4,2,0.3305776999950467,4.72253857135781,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
information_12,12,70,22,0.3142857142857143,4,1,0.5632857000127842,8.046938571611204,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
hamming_12,12,70,23,0.32857142857142857,4,2,0.5363890000226093,7.66270000032299,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
information_16,16,70,21,0.3,5,1,0.6673038000044471,9.532911428634959,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
hamming_16,16,70,21,0.3,6,2,0.6728103999994346,9.611577142849066,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
savaux,0,70,29,0.4142857142857143,0,0,0.09641479999481817,1.3773542856402596,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4
information_8,8,70,25,0.35714285714285715,4,0,0.3512031999998726,5.017188571426751,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4
