scenario,target_tx_dbm,trials,symbol_count,mean_target_snr_db,mean_target_sinr_db,mean_branch_color_mismatch,conditional_backend_rate,branch0_errors,branch0_ser,branch0_fixes_vs_savaux,branch0_breaks_vs_savaux,savaux_errors,savaux_ser,savaux_fixes_vs_savaux,savaux_breaks_vs_savaux,equal8_errors,equal8_ser,equal8_fixes_vs_savaux,equal8_breaks_vs_savaux,gls8_direct_errors,gls8_direct_ser,gls8_direct_fixes_vs_savaux,gls8_direct_breaks_vs_savaux,gls8_cg_wrap_errors,gls8_cg_wrap_ser,gls8_cg_wrap_fixes_vs_savaux,gls8_cg_wrap_breaks_vs_savaux,conditional_gls_errors,conditional_gls_ser,conditional_gls_fixes_vs_savaux,conditional_gls_breaks_vs_savaux
one_interferer,-64.0,2,100,-21.308929112177367,-21.5442151280133,1.278555768091946,0.18,98,0.98,0,1,97,0.97,0,0,97,0.97,0,0,98,0.98,0,1,95,0.95,2,0,96,0.96,1,0
one_interferer,-62.0,2,100,-19.30892911217736,-19.5442151280133,1.2785963708169523,0.24,87,0.87,0,1,86,0.86,0,0,86,0.86,0,0,85,0.85,3,2,77,0.77,9,0,78,0.78,8,0
one_interferer,-60.0,2,100,-17.30892911217736,-17.544215128013292,1.2783164752300449,0.28,46,0.46,0,3,43,0.43,0,0,43,0.43,3,3,46,0.46,1,4,39,0.39,6,2,41,0.41,4,2
one_interferer,-58.0,2,100,-15.308929112177356,-15.544215128013292,1.2782444778874127,0.11,13,0.13,1,1,13,0.13,0,0,15,0.15,0,2,14,0.14,0,1,12,0.12,2,1,12,0.12,2,1
thermal_only,-64.0,2,100,-21.309052894623107,-21.309052894623107,1.27846101251906,0.39,45,0.45,3,2,46,0.46,0,0,50,0.5,1,5,49,0.49,2,5,48,0.48,0,2,48,0.48,0,2
thermal_only,-62.0,2,100,-19.309052894623107,-19.309052894623107,1.278477269298111,0.14,10,0.1,1,0,11,0.11,0,0,15,0.15,0,4,13,0.13,1,3,12,0.12,1,2,12,0.12,1,2
thermal_only,-60.0,2,100,-17.309052894623104,-17.309052894623104,1.2783077645896144,0.02,1,0.01,1,0,2,0.02,0,0,2,0.02,0,0,2,0.02,0,0,1,0.01,1,0,1,0.01,1,0
thermal_only,-58.0,2,100,-15.309052894623104,-15.309052894623104,1.2781173958176142,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
two_interferers,-64.0,2,100,-21.308768031319858,-21.583159534083258,1.2788417969535413,0.14,98,0.98,0,0,98,0.98,0,0,98,0.98,0,0,98,0.98,0,0,98,0.98,0,0,98,0.98,0,0
two_interferers,-62.0,2,100,-19.308768031319854,-19.583159534083258,1.2787678399975655,0.21,89,0.89,1,2,88,0.88,0,0,87,0.87,1,0,88,0.88,2,2,85,0.85,3,0,85,0.85,3,0
two_interferers,-60.0,2,100,-17.30876803131985,-17.583159534083254,1.278825757671193,0.31000000000000005,54,0.54,1,5,50,0.5,0,0,49,0.49,3,2,54,0.54,0,4,44,0.44,7,1,46,0.46,5,1
two_interferers,-58.0,2,100,-15.30876803131985,-15.583159534083252,1.2787067737142888,0.11,12,0.12,1,2,11,0.11,0,0,11,0.11,2,2,12,0.12,1,2,5,0.05,6,0,6,0.06,5,0
