scenario,target_tx_dbm,trial,symbol_index,gt_bin,branch0_bin,savaux_bin,equal8_bin,gls8_direct_bin,gls8_cg_wrap_bin,conditional_gls_bin,savaux_margin_db,branch_color_mismatch,conditional_backend_ran
thermal_only,-58.0,0,0,596,596,596,596,596,596,596,5.527406128328902,1.2906788528820592,0
thermal_only,-58.0,0,1,975,975,975,975,975,975,975,6.201075040118942,1.2947213154465662,0
thermal_only,-58.0,0,2,938,938,938,938,938,938,938,4.975434193784459,1.2791462039482215,0
thermal_only,-58.0,0,3,11,11,11,11,11,11,11,5.045179144079124,1.291089714334616,0
thermal_only,-58.0,0,4,664,664,664,664,664,664,664,4.474850574935857,1.2795431246617128,0
thermal_only,-58.0,0,5,67,67,67,67,67,67,67,5.454902518182376,1.2758545432612682,0
thermal_only,-58.0,0,6,336,336,336,336,336,336,336,7.370334995661975,1.263508491185789,0
thermal_only,-58.0,0,7,207,207,207,207,207,207,207,3.8765612263968396,1.2805634648179418,0
thermal_only,-58.0,0,8,261,261,261,261,261,261,261,6.802936999403069,1.2751439892865108,0
thermal_only,-58.0,0,9,540,540,540,540,540,540,540,7.2371627228128235,1.2800119034687745,0
thermal_only,-58.0,0,10,499,499,499,499,499,499,499,7.878826203568597,1.262072491016372,0
thermal_only,-58.0,0,11,475,475,475,475,475,475,475,6.99606088520647,1.286095320807829,0
thermal_only,-58.0,0,12,596,596,596,596,596,596,596,2.497334569313521,1.2690020151097856,0
thermal_only,-58.0,0,13,229,229,229,229,229,229,229,6.229503151022423,1.264629648570228,0
thermal_only,-58.0,0,14,993,993,993,993,993,993,993,6.534585000051658,1.2918382205326644,0
thermal_only,-58.0,0,15,993,993,993,993,993,993,993,8.692910554357749,1.281887325995391,0
thermal_only,-58.0,0,16,597,597,597,597,597,597,597,7.659628481770719,1.2556892438366534,0
thermal_only,-58.0,0,17,758,758,758,758,758,758,758,6.26743164430497,1.263376947913937,0
thermal_only,-58.0,0,18,296,296,296,296,296,296,296,4.642070256029528,1.2835545416838021,0
thermal_only,-58.0,0,19,478,478,478,478,478,478,478,6.292861179832751,1.2740201399441136,0
thermal_only,-58.0,0,20,79,79,79,79,79,79,79,7.4624161670423454,1.2858227266821314,0
thermal_only,-58.0,0,21,77,77,77,77,77,77,77,6.808810370550397,1.2789752851337641,0
thermal_only,-58.0,0,22,8,8,8,8,8,8,8,6.89405122564525,1.2731716928188346,0
thermal_only,-58.0,0,23,301,301,301,301,301,301,301,5.301058230386959,1.2720618600412474,0
thermal_only,-58.0,0,24,881,881,881,881,881,881,881,4.202748976812761,1.2762448720306452,0
thermal_only,-58.0,0,25,988,988,988,988,988,988,988,4.992124932178513,1.2768311786845192,0
thermal_only,-58.0,0,26,178,178,178,178,178,178,178,5.889050966943868,1.2749260810773178,0
thermal_only,-58.0,0,27,929,929,929,929,929,929,929,6.629204020657955,1.2819127191538109,0
thermal_only,-58.0,0,28,360,360,360,360,360,360,360,6.3528508602777345,1.2907285928853742,0
thermal_only,-58.0,0,29,115,115,115,115,115,115,115,5.634960054100703,1.2824111536590892,0
thermal_only,-58.0,0,30,919,919,919,919,919,919,919,7.189499122827638,1.290331689408494,0
thermal_only,-58.0,0,31,540,540,540,540,540,540,540,6.629166777810861,1.3014821458531047,0
thermal_only,-58.0,0,32,332,332,332,332,332,332,332,6.2788036130692255,1.281434572428911,0
thermal_only,-58.0,0,33,292,292,292,292,292,292,292,6.2504615985497045,1.262911010378884,0
thermal_only,-58.0,0,34,193,193,193,193,193,193,193,3.9518102456521613,1.2589203051569986,0
thermal_only,-58.0,0,35,635,635,635,635,635,635,635,7.0651765666265485,1.294435575833992,0
thermal_only,-58.0,0,36,286,286,286,286,286,286,286,5.1520222867357015,1.2805313133911813,0
thermal_only,-58.0,0,37,446,446,446,446,446,446,446,7.593613247917141,1.2944258387315486,0
thermal_only,-58.0,0,38,562,562,562,562,562,562,562,6.632681678568609,1.2753904677307177,0
thermal_only,-58.0,0,39,23,23,23,23,23,23,23,5.030455102466194,1.2696972858114692,0
thermal_only,-58.0,0,40,87,87,87,87,87,87,87,6.35460081223497,1.2749155526401512,0
thermal_only,-58.0,0,41,249,249,249,249,249,249,249,5.479063062974508,1.289768348380153,0
thermal_only,-58.0,0,42,114,114,114,114,114,114,114,6.7090209825231515,1.2783790878447743,0
thermal_only,-58.0,0,43,105,105,105,105,105,105,105,6.001965660758302,1.2822074487363777,0
thermal_only,-58.0,0,44,116,116,116,116,116,116,116,6.242867698242104,1.2949469683852843,0
thermal_only,-58.0,0,45,869,869,869,869,869,869,869,5.142597828938589,1.2800737370302548,0
thermal_only,-58.0,0,46,246,246,246,246,246,246,246,5.566319736124422,1.2823272215145538,0
thermal_only,-58.0,0,47,673,673,673,673,673,673,673,3.865614919315235,1.2714314487663474,0
thermal_only,-58.0,0,48,265,265,265,265,265,265,265,8.49267555379371,1.2981457847997673,0
thermal_only,-58.0,0,49,104,104,104,104,104,104,104,5.428521808697986,1.268109323380384,0
thermal_only,-58.0,1,0,165,165,165,165,165,165,165,6.883352044289824,1.2951437798828485,0
thermal_only,-58.0,1,1,738,738,738,738,738,738,738,6.554252809848239,1.2603126533310869,0
thermal_only,-58.0,1,2,921,921,921,921,921,921,921,5.417937352202942,1.2807757108005364,0
thermal_only,-58.0,1,3,319,319,319,319,319,319,319,6.910597953872072,1.265882095266351,0
thermal_only,-58.0,1,4,205,205,205,205,205,205,205,3.006893203896803,1.2801343216677517,0
thermal_only,-58.0,1,5,137,137,137,137,137,137,137,5.513656350296348,1.2733756764650426,0
thermal_only,-58.0,1,6,974,974,974,974,974,974,974,7.231247350242549,1.2934670032750335,0
thermal_only,-58.0,1,7,951,951,951,951,951,951,951,5.114811990426044,1.26553344529682,0
thermal_only,-58.0,1,8,939,939,939,939,939,939,939,7.803230133208484,1.2914156520982587,0
thermal_only,-58.0,1,9,967,967,967,967,967,967,967,6.902590002101102,1.2847244600349768,0
thermal_only,-58.0,1,10,372,372,372,372,372,372,372,6.933256544211037,1.2661214070516456,0
thermal_only,-58.0,1,11,43,43,43,43,43,43,43,6.050830745232787,1.3024571178072446,0
thermal_only,-58.0,1,12,829,829,829,829,829,829,829,5.406984267615874,1.2632998710488594,0
thermal_only,-58.0,1,13,857,857,857,857,857,857,857,5.376469295842056,1.2718958076578504,0
thermal_only,-58.0,1,14,888,888,888,888,888,888,888,5.041415516385239,1.2774580887552272,0
thermal_only,-58.0,1,15,480,480,480,480,480,480,480,6.611837848811282,1.2759631144533148,0
thermal_only,-58.0,1,16,843,843,843,843,843,843,843,6.413181889872672,1.2917678595339215,0
thermal_only,-58.0,1,17,796,796,796,796,796,796,796,6.818295185820165,1.2741559631205273,0
thermal_only,-58.0,1,18,658,658,658,658,658,658,658,6.056535200724174,1.277772866418626,0
thermal_only,-58.0,1,19,361,361,361,361,361,361,361,6.194417353018809,1.2935389048517552,0
thermal_only,-58.0,1,20,699,699,699,699,699,699,699,7.435091674956738,1.2735681942512596,0
thermal_only,-58.0,1,21,115,115,115,115,115,115,115,5.844566179185783,1.2651736622594718,0
thermal_only,-58.0,1,22,235,235,235,235,235,235,235,7.379968899974029,1.2695950137887713,0
thermal_only,-58.0,1,23,888,888,888,888,888,888,888,7.989991091314053,1.2808178291788477,0
thermal_only,-58.0,1,24,849,849,849,849,849,849,849,4.043629071788024,1.2866086351374166,0
thermal_only,-58.0,1,25,221,221,221,221,221,221,221,5.124933603642461,1.2595719000946128,0
thermal_only,-58.0,1,26,703,703,703,703,703,703,703,6.12454706001344,1.281048466710524,0
thermal_only,-58.0,1,27,601,601,601,601,601,601,601,5.306650474827336,1.289651312090056,0
thermal_only,-58.0,1,28,20,20,20,20,20,20,20,4.495828254508731,1.2792202165363615,0
thermal_only,-58.0,1,29,12,12,12,12,12,12,12,7.344217966146242,1.2872419556884245,0
