group,symbol_count,savaux_err,savaux_ser,missing_gt_from_candidate_file,top1_oracle_err,top1_oracle_ser,top1_savaux_errors_fixable,top2_oracle_err,top2_oracle_ser,top2_savaux_errors_fixable,top3_oracle_err,top3_oracle_ser,top3_savaux_errors_fixable,top4_oracle_err,top4_oracle_ser,top4_savaux_errors_fixable,top8_oracle_err,top8_oracle_ser,top8_savaux_errors_fixable,top16_oracle_err,top16_oracle_ser,top16_savaux_errors_fixable
all,2835,384,0.13544973544973546,212,384,0.13544973544973546,0,317,0.11181657848324515,67,289,0.1019400352733686,95,268,0.0945326278659612,116,240,0.08465608465608465,144,212,0.07477954144620812,172
dataset=0_0_0_10_14_16,945,51,0.05396825396825397,2,51,0.05396825396825397,0,25,0.026455026455026454,26,16,0.016931216931216932,35,10,0.010582010582010581,41,5,0.005291005291005291,46,2,0.0021164021164021165,49
dataset=0_0_0_10_14_32,945,293,0.3100529100529101,210,293,0.3100529100529101,0,274,0.28994708994708995,19,262,0.27724867724867724,31,249,0.2634920634920635,44,231,0.24444444444444444,62,210,0.2222222222222222,83
dataset=0_0_0_10_14_8,945,40,0.042328042328042326,0,40,0.042328042328042326,0,18,0.01904761904761905,22,11,0.01164021164021164,29,9,0.009523809523809525,31,4,0.004232804232804233,36,0,0.0,40
snr=-24.0,945,181,0.19153439153439153,79,181,0.19153439153439153,0,137,0.14497354497354498,44,121,0.12804232804232804,60,110,0.1164021164021164,71,95,0.10052910052910052,86,79,0.0835978835978836,102
snr=-23.0,945,115,0.12169312169312169,72,115,0.12169312169312169,0,98,0.1037037037037037,17,90,0.09523809523809523,25,83,0.08783068783068783,32,78,0.08253968253968254,37,72,0.0761904761904762,43
snr=-22.0,945,88,0.09312169312169312,61,88,0.09312169312169312,0,82,0.08677248677248678,6,78,0.08253968253968254,10,75,0.07936507936507936,13,67,0.07089947089947089,21,61,0.06455026455026455,27
