dataset,snr_db,seed,packet_count,symbol_count,bank_kind,pattern_count,covariance_source,white_effective_replicas,empirical_effective_replicas,cross_validated_effective_replicas,offpacket_windows,mean_gt_topk_recall,mean_gt_savaux_rank,savaux_ser,best_pattern_ser,mean_pattern_ser,coherent_pattern_ser,whitened_pattern_ser,stable_pattern_ser,hybrid_mean_pattern_ser,gated_mean_pattern_ser,gated_stable_pattern_ser,gated_consensus_pattern_ser,gated_hybrid_pattern_ser,best_pattern_fix_vs_savaux,best_pattern_break_vs_savaux,best_pattern_changes_vs_savaux,mean_pattern_fix_vs_savaux,mean_pattern_break_vs_savaux,mean_pattern_changes_vs_savaux,coherent_pattern_fix_vs_savaux,coherent_pattern_break_vs_savaux,coherent_pattern_changes_vs_savaux,whitened_pattern_fix_vs_savaux,whitened_pattern_break_vs_savaux,whitened_pattern_changes_vs_savaux,stable_pattern_fix_vs_savaux,stable_pattern_break_vs_savaux,stable_pattern_changes_vs_savaux,hybrid_mean_pattern_fix_vs_savaux,hybrid_mean_pattern_break_vs_savaux,hybrid_mean_pattern_changes_vs_savaux,gated_mean_pattern_fix_vs_savaux,gated_mean_pattern_break_vs_savaux,gated_mean_pattern_changes_vs_savaux,gated_stable_pattern_fix_vs_savaux,gated_stable_pattern_break_vs_savaux,gated_stable_pattern_changes_vs_savaux,gated_consensus_pattern_fix_vs_savaux,gated_consensus_pattern_break_vs_savaux,gated_consensus_pattern_changes_vs_savaux,gated_hybrid_pattern_fix_vs_savaux,gated_hybrid_pattern_break_vs_savaux,gated_hybrid_pattern_changes_vs_savaux
0_0_0_10_14_16,-23.0,42,2,70,balanced_random_only_diverse16,16,offpacket,3.436469045328458,3.4865294662033186,3.4627804985463064,128,1.0,1.0142857142857142,0.014285714285714285,0.38571428571428573,0.05714285714285714,0.07142857142857142,0.08571428571428572,0.014285714285714285,0.02857142857142857,0.05714285714285714,0.014285714285714285,0.014285714285714285,0.014285714285714285,0,26,27,1,4,5,1,5,6,1,6,7,0,0,0,1,2,3,1,4,5,0,0,0,0,0,0,1,1,2
0_0_0_10_14_16,-24.0,42,2,70,balanced_random_only_diverse16,16,offpacket,3.436469045328458,3.4866077880266437,3.4629448521281283,128,1.0,1.2142857142857144,0.11428571428571428,0.5571428571428572,0.21428571428571427,0.15714285714285714,0.15714285714285714,0.11428571428571428,0.12857142857142856,0.18571428571428572,0.11428571428571428,0.11428571428571428,0.12857142857142856,2,33,39,0,7,13,0,3,9,0,3,8,0,0,3,0,1,5,0,5,10,0,0,3,0,0,0,0,1,3
0_0_0_10_14_16,-25.0,42,2,70,balanced_random_only_diverse16,16,offpacket,3.436469045328458,3.4866853626495864,3.463106918640369,128,0.9857142857142858,2.6857142857142855,0.22857142857142856,0.6857142857142857,0.42857142857142855,0.37142857142857144,0.35714285714285715,0.24285714285714285,0.35714285714285715,0.37142857142857144,0.24285714285714285,0.22857142857142856,0.35714285714285715,1,33,46,2,16,27,2,12,22,2,11,22,2,3,9,1,10,17,2,12,22,2,3,9,1,1,2,1,10,15
