dataset,target_snr_db,packet_index,frame_index,event_index,sf,bw,os_factor,payload_len,cr,has_crc,ldro,cfo_correction_mode,origin_shift,symbol_count,gt_compared_symbols,loratrimmer_raw_ser,loratrimmer_symbol_ser,loratrimmer_crc_valid,loratrimmer_payload_hex,loratrimmer_crc_computed,loratrimmer_crc_received,loratrimmer_decode_error
0_0_0_10_14_16,-22,1,0,1,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.0,0.0,1,404433221100020058303132333435363738393a3b3c3d3e3f4041424378563412,0x4d14,0x4d14,
0_0_0_10_14_16,-22,2,1,2,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.08571428571428572,0.08571428571428572,0,404433221100030058303172733471323738393a3b3c3d3e3f4041424378563412,0xcfe7,0x09a0,
0_0_0_10_14_16,-22,3,2,3,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.08571428571428572,0.08571428571428572,0,406413021300040058303172bbb0f97e3738393a3b3c3d3e3f4041424378563412,0x9da0,0xc08d,
0_0_0_10_14_16,-22,5,3,5,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.05714285714285714,0.05714285714285714,0,40443322110006005830313233343536777c793a3b383d3e3f4041424378563412,0x4013,0x4be5,
0_0_0_10_14_16,-22,6,4,6,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.0,0.0,1,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,0x0e51,0x0e51,
0_0_0_10_14_16,-22,8,5,8,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.02857142857142857,0.02857142857142857,1,404433221100090058303132333435363738393a3b3c3d3e3f4041424378563412,0x8e2a,0x8e2a,
0_0_0_10_14_16,-22,9,6,9,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.05714285714285714,0.05714285714285714,0,40443b229900020058303132333435363738393a3b3c3d3e3f4041424378567412,0x43b9,0x44f2,
0_0_0_10_14_16,-22,10,7,10,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.02857142857142857,0.02857142857142857,1,4044332211000b0058303132333435363738393a3b3c3d3e3f4041424378563412,0x0542,0x0542,
0_0_0_10_14_16,-22,11,8,11,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.0,0.0,1,4044332211000c0058303132333435363738393a3b3c3d3e3f4041424378563412,0xcd6f,0xcd6f,
0_0_0_10_14_16,-22,12,9,12,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.0,0.0,1,4044332211000d0058303132333435363738393a3b3c3d3e3f4041424378563412,0x88db,0x88db,
0_0_0_10_14_16,-22,13,10,13,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.0,0.0,1,4044332211000e0058303132333435363738393a3b3c3d3e3f4041424378563412,0x4607,0x4607,
