dataset,target_snr_db,packet_index,frame_index,event_index,sf,bw,os_factor,payload_len,cr,has_crc,ldro,cfo_correction_mode,origin_shift,symbol_count,gt_compared_symbols,loratrimmer_raw_ser,loratrimmer_symbol_ser,loratrimmer_crc_valid,loratrimmer_payload_hex,loratrimmer_crc_computed,loratrimmer_crc_received,loratrimmer_decode_error
0_0_0_10_14_16,-25,1,0,1,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.37142857142857144,0.37142857142857144,0,40740110302330137a0221f33b74f176233d7d7f7bfc79f2730441424378563412,0x20cf,0x4d14,
0_0_0_10_14_16,-25,2,1,2,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.42857142857142855,0.42857142857142855,0,4044bb22910853114c21617673356022773c7d7a7fdc34be933f6e62635a563612,0x1541,0x09a0,
0_0_0_10_14_16,-25,3,2,3,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.4857142857142857,0.4857142857142857,0,40649b02138c0c00583031528bb1e86d660d3b4e49383d3e3f40c1c2c3f0deac32,0x8c10,0xe1bc,
0_0_0_10_14_16,-25,5,3,5,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.34285714285714286,0.34285714285714286,0,40543332010117104921203333343536f75cd998bb202d3636516144055e5616ba,0x5404,0xe3ed,
0_0_0_10_14_16,-25,6,4,6,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.42857142857142855,0.42857142857142855,0,406411003320a7a0fab2b9faf3f03dfa3738393a3bfc50f8aa034742437a747616,0x6a8b,0x0c71,
0_0_0_10_14_16,-25,8,5,8,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.34285714285714286,0.34285714285714286,0,404433221100190158312173377071323338393a3b3c2c2f3e601344031c36325a,0x23bb,0x0aea,
0_0_0_10_14_16,-25,9,6,9,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.37142857142857144,0.37142857142857144,0,40443b229900921048212872777071723729392b2a6d3d2a3a1045c24b70567c1a,0x7039,0x447a,
0_0_0_10_14_16,-25,10,7,10,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.34285714285714286,0.34285714285714286,0,4044bb221908db9580a4a4bebbf875fe3b3a1b3a19beb5beb7486153506b663612,0x7827,0x0542,
0_0_0_10_14_16,-25,11,8,11,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.2857142857142857,0.2857142857142857,0,404433aa11080c0048312133333435367738793a7f282c7f2f415003027a07b11a,0x460d,0x4d6f,
0_0_0_10_14_16,-25,12,9,12,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.17142857142857143,0.17142857142857143,0,4044332211000d2078103372373431763338393a3b7c393a7f4045424378563412,0xade3,0x88db,
0_0_0_10_14_16,-25,13,10,13,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.3142857142857143,0.3142857142857143,0,40c4190ab120160059302173677035673738393a3b3c2c2e2f4160426178763612,0x8d5a,0x4607,
