dataset,target_snr_db,packet_index,frame_index,event_index,payload_symbol_index,start_sample,loratrimmer_start_sample,origin_shift,sf,os_factor,cfo_correction_mode,gt_raw_fft_bin,gt_signed_fft_bin,gt_symbol_value,loratrimmer_raw_fft_bin,loratrimmer_signed_fft_bin,loratrimmer_symbol_value,loratrimmer_raw_hit,loratrimmer_symbol_hit,loratrimmer_gt_rank,loratrimmer_peak_power,loratrimmer_front_power,loratrimmer_tail_power,loratrimmer_peak_margin_db,loratrimmer_split_sample
0_0_0_10_14_16,-27,1,0,1,0,2550960,2550962,2,10,4,continuous,222,222,221,5,5,4,0,0,10,1261.5485979331227,1261.5348237689248,0.013930807599003003,2.1813197367511545,4076
0_0_0_10_14_16,-27,1,0,1,1,2555056,2555058,2,10,4,continuous,826,-198,825,397,397,396,0,0,128,689.6570148683713,651.3840251676413,38.272979103898315,0.39455244886689134,2508
0_0_0_10_14_16,-27,1,0,1,2,2559152,2559154,2,10,4,continuous,922,-102,921,922,-102,921,1,1,1,1027.3199767774672,0.7016060090579153,1026.6183786650145,0.3122348237465577,408
0_0_0_10_14_16,-27,1,0,1,3,2563248,2563250,2,10,4,continuous,718,-306,717,718,-306,717,1,1,1,932.0112059005187,208.07478063290546,723.9364054490334,0.3133911074220148,1224
0_0_0_10_14_16,-27,1,0,1,4,2567344,2567346,2,10,4,continuous,107,107,106,107,107,106,1,1,1,1303.0627096408173,1295.1532064482026,7.909617625964542,1.1962982794574804,3668
0_0_0_10_14_16,-27,1,0,1,5,2571440,2571442,2,10,4,continuous,468,468,467,938,-86,937,0,0,10,875.1347727520479,14.824899449485784,860.3099052681391,0.29768350760014356,344
0_0_0_10_14_16,-27,1,0,1,6,2575536,2575538,2,10,4,continuous,89,89,88,911,-113,910,0,0,42,808.704104181181,48.29103517430781,760.4130458966729,0.5128566423916204,452
0_0_0_10_14_16,-27,1,0,1,7,2579633,2579635,2,10,4,continuous,713,-311,712,20,20,19,0,0,4,826.0898483798851,824.8207932333435,1.2689075761918078,0.15454931212058962,4016
0_0_0_10_14_16,-27,1,0,1,8,2583729,2583731,2,10,4,continuous,865,-159,864,865,-159,864,1,1,1,1272.9707244358224,7.13978765351482,1265.8307041707194,1.4499890673717184,636
0_0_0_10_14_16,-27,1,0,1,9,2587825,2587827,2,10,4,continuous,492,492,491,188,188,187,0,0,54,1033.7123944130772,1016.8942905664335,16.8180687406919,1.0174614988364683,3344
