dataset,target_snr_db,packet_index,frame_index,event_index,payload_symbol_index,start_sample,loratrimmer_start_sample,origin_shift,sf,os_factor,cfo_correction_mode,gt_raw_fft_bin,gt_signed_fft_bin,gt_symbol_value,loratrimmer_raw_fft_bin,loratrimmer_signed_fft_bin,loratrimmer_symbol_value,loratrimmer_raw_hit,loratrimmer_symbol_hit,loratrimmer_gt_rank,loratrimmer_peak_power,loratrimmer_front_power,loratrimmer_tail_power,loratrimmer_peak_margin_db,loratrimmer_split_sample
0_0_0_10_14_16,-25,1,0,1,0,2550960,2550962,2,10,4,continuous,222,222,221,5,5,4,0,0,2,793.5070620028147,793.4978982231258,0.009200393581282109,1.1138164868617948,4076
0_0_0_10_14_16,-25,1,0,1,1,2555056,2555058,2,10,4,continuous,826,-198,825,397,397,396,0,0,16,435.17660611889005,410.77210570659696,24.404435784608722,0.3722232106455282,2508
0_0_0_10_14_16,-25,1,0,1,2,2559152,2559154,2,10,4,continuous,922,-102,921,922,-102,921,1,1,1,919.2795370466682,1.3390289446995778,917.9405159817289,1.8200287530046033,408
0_0_0_10_14_16,-25,1,0,1,3,2563248,2563250,2,10,4,continuous,718,-306,717,718,-306,717,1,1,1,826.5779048296863,172.64465012739765,653.9332739978126,1.7744841354676608,1224
0_0_0_10_14_16,-25,1,0,1,4,2567344,2567346,2,10,4,continuous,107,107,106,107,107,106,1,1,1,1155.599997782705,1147.3226727797196,8.277166282202375,2.68678965095131,3668
0_0_0_10_14_16,-25,1,0,1,5,2571440,2571442,2,10,4,continuous,468,468,467,938,-86,937,0,0,2,551.4263402961099,9.390022388920077,542.0363510794424,0.11215946092603962,344
0_0_0_10_14_16,-25,1,0,1,6,2575536,2575538,2,10,4,continuous,89,89,88,911,-113,910,0,0,2,511.6760591046425,30.515377346023342,481.16074434216716,0.26846422374651574,452
0_0_0_10_14_16,-25,1,0,1,7,2579633,2579635,2,10,4,continuous,713,-311,712,713,-311,712,1,1,1,667.557940498973,324.2876810490279,343.27023315660426,1.093778895174464,1244
0_0_0_10_14_16,-25,1,0,1,8,2583729,2583731,2,10,4,continuous,865,-159,864,865,-159,864,1,1,1,1118.4115184397888,7.147644232938806,1111.2638331694457,2.903415254203723,636
0_0_0_10_14_16,-25,1,0,1,9,2587825,2587827,2,10,4,continuous,492,492,491,188,188,187,0,0,10,650.7585781717817,640.2204948238295,10.538127201982661,1.0115126902967464,3344
0_0_0_10_14_16,-25,1,0,1,10,2591921,2591923,2,10,4,continuous,765,-259,764,765,-259,764,1,1,1,598.6162923301099,223.27487315874257,375.3414152832992,0.6240556648975208,1036
0_0_0_10_14_16,-25,1,0,1,11,2596017,2596019,2,10,4,continuous,1023,-1,1022,1023,-1,1022,1,1,1,1099.9024772977727,0.1468710762943477,1099.7554728476136,2.9353079432148848,4
0_0_0_10_14_16,-25,1,0,1,12,2600113,2600115,2,10,4,continuous,597,-427,596,829,-195,828,0,0,65,478.6137459924523,28.383331009831178,450.230405768456,0.08583588145318424,780
0_0_0_10_14_16,-25,1,0,1,13,2604209,2604211,2,10,4,continuous,562,-462,561,831,-193,830,0,0,3,632.4934970468278,11.383470614616229,621.1101012379959,1.4354574965468039,772
0_0_0_10_14_16,-25,1,0,1,14,2608305,2608307,2,10,4,continuous,478,478,477,478,478,477,1,1,1,447.97263174943237,326.4979902970663,121.4747117209068,0.04792766897441513,2184
0_0_0_10_14_16,-25,1,0,1,15,2612401,2612403,2,10,4,continuous,267,267,266,312,312,311,0,0,3,547.991054295084,505.64052122589266,42.350609367462546,0.07356079348027977,2848
0_0_0_10_14_16,-25,1,0,1,16,2616497,2616499,2,10,4,continuous,917,-107,916,917,-107,916,1,1,1,870.5755038277175,5.884198039110288,864.6913031089971,1.9379805833903792,428
0_0_0_10_14_16,-25,1,0,1,17,2620593,2620595,2,10,4,continuous,656,-368,655,284,284,283,0,0,2,534.2447788147003,504.480941495408,29.76391531848094,0.25366134929007084,2960
0_0_0_10_14_16,-25,1,0,1,18,2624689,2624691,2,10,4,continuous,889,-135,888,889,-135,888,1,1,1,679.6074488943525,19.001817776218104,660.6056890740037,1.1315245325565888,540
0_0_0_10_14_16,-25,1,0,1,19,2628785,2628787,2,10,4,continuous,510,510,509,510,510,509,1,1,1,714.6016924891774,173.49688504538722,541.1048333764811,0.5405059023067447,2056
0_0_0_10_14_16,-25,1,0,1,20,2632881,2632883,2,10,4,continuous,860,-164,859,860,-164,859,1,1,1,713.8959288352462,37.01520499758482,676.8807734495307,1.122303944931791,656
0_0_0_10_14_16,-25,1,0,1,21,2636977,2636979,2,10,4,continuous,553,-471,552,553,-471,552,1,1,1,584.4151586177359,222.19482382538624,362.22032223232793,0.12140762120467799,1884
0_0_0_10_14_16,-25,1,0,1,22,2641073,2641075,2,10,4,continuous,629,-395,628,34,34,33,0,0,3,708.6575185881868,702.8920217251189,5.765454119803977,0.6128811865843599,3960
0_0_0_10_14_16,-25,1,0,1,23,2645169,2645171,2,10,4,continuous,759,-265,758,525,-499,524,0,0,33,570.1164320592216,176.5813243833145,393.53507783817344,0.2777210177428881,1996
0_0_0_10_14_16,-25,1,0,1,24,2649265,2649267,2,10,4,continuous,874,-150,873,1008,-16,1007,0,0,2,777.5469254797569,0.035382737349042515,777.5115020739905,0.12851912874219962,64
0_0_0_10_14_16,-25,1,0,1,25,2653361,2653363,2,10,4,continuous,720,-304,719,720,-304,719,1,1,1,797.9136634503448,225.58191217371498,572.3317471940537,2.746378228336557,1216
0_0_0_10_14_16,-25,1,0,1,26,2657457,2657459,2,10,4,continuous,314,314,313,314,314,313,1,1,1,555.0650030859579,385.41206641432655,169.65296073685474,0.6031215275094793,2840
0_0_0_10_14_16,-25,1,0,1,27,2661553,2661555,2,10,4,continuous,602,-422,601,602,-422,601,1,1,1,685.276949103998,157.6358371007018,527.6411418393591,1.1870582676463555,1688
0_0_0_10_14_16,-25,1,0,1,28,2665649,2665651,2,10,4,continuous,7,7,6,7,7,6,1,1,1,985.8835802812329,985.0927536095707,0.7908709519737889,2.3746520846980013,4068
0_0_0_10_14_16,-25,1,0,1,29,2669745,2669747,2,10,4,continuous,610,-414,609,610,-414,609,1,1,1,630.5714230659223,97.23391603806726,533.3374572967768,0.6662630352168918,1656
0_0_0_10_14_16,-25,1,0,1,30,2673841,2673843,2,10,4,continuous,807,-217,806,807,-217,806,1,1,1,894.1644737172828,69.38088634067054,824.7834916075991,2.308178070607904,868
0_0_0_10_14_16,-25,1,0,1,31,2677937,2677939,2,10,4,continuous,897,-127,896,897,-127,896,1,1,1,814.1921092804478,27.80529839000179,786.3868417824325,1.1197167422440462,508
0_0_0_10_14_16,-25,1,0,1,32,2682033,2682035,2,10,4,continuous,749,-275,748,749,-275,748,1,1,1,605.13131447457,231.5439109020008,373.58737997783464,0.3225773271253626,1100
0_0_0_10_14_16,-25,1,0,1,33,2686129,2686131,2,10,4,continuous,584,-440,583,584,-440,583,1,1,1,918.2301833132551,41.6796614606028,876.5504024044094,1.2086097432860563,1760
0_0_0_10_14_16,-25,1,0,1,34,2690225,2690227,2,10,4,continuous,934,-90,933,1018,-6,1017,0,0,2,718.7456023515576,0.5418336433552363,718.2038718186232,0.7153665165324465,24
0_0_0_10_14_16,-25,2,1,2,0,4051325,4051327,2,10,4,continuous,803,-221,802,803,-221,802,1,1,1,829.0677312995685,163.56949884506503,665.4982330630629,1.4628604364612343,884
0_0_0_10_14_16,-25,2,1,2,1,4055421,4055423,2,10,4,continuous,826,-198,825,826,-198,825,1,1,1,671.6876085341339,33.863668296620745,637.8239403962835,1.1196356262242926,792
0_0_0_10_14_16,-25,2,1,2,2,4059517,4059519,2,10,4,continuous,922,-102,921,922,-102,921,1,1,1,1637.9569338600268,20.852135522788682,1617.1046336683285,2.436052458762426,408
0_0_0_10_14_16,-25,2,1,2,3,4063613,4063615,2,10,4,continuous,718,-306,717,222,222,221,0,0,2,717.2262979268273,712.0551541546018,5.1711006607640675,0.8228247235787822,3208
0_0_0_10_14_16,-25,2,1,2,4,4067709,4067711,2,10,4,continuous,86,86,85,950,-74,949,0,0,2,485.61836139081515,3.283811404880566,482.3345891741855,0.00729082570946572,296
0_0_0_10_14_16,-25,2,1,2,5,4071805,4071807,2,10,4,continuous,468,468,467,119,119,118,0,0,13,659.7442610900057,655.2199811581704,4.524370304010574,0.4429403094026536,3620
0_0_0_10_14_16,-25,2,1,2,6,4075901,4075903,2,10,4,continuous,89,89,88,89,89,88,1,1,1,1157.1096657266935,1140.4223244655668,16.687201278275055,3.36972278563814,3740
0_0_0_10_14_16,-25,2,1,2,7,4079997,4079999,2,10,4,continuous,713,-311,712,949,-75,948,0,0,2,822.131222203928,3.562525054896159,818.5686842085059,1.4444193070363265,300
0_0_0_10_14_16,-25,2,1,2,8,4084093,4084095,2,10,4,continuous,865,-159,864,865,-159,864,1,1,1,1497.680421151279,73.12016786430837,1424.5602234576893,4.307636843980171,636
0_0_0_10_14_16,-25,2,1,2,9,4088189,4088191,2,10,4,continuous,492,492,491,92,92,91,0,0,67,701.0851383211129,681.8506788099485,19.234474695499785,0.439848401880826,3728
0_0_0_10_14_16,-25,2,1,2,10,4092285,4092287,2,10,4,continuous,765,-259,764,845,-179,844,0,0,2,696.3669148432475,23.32614361073412,673.040750270946,0.34962627141652763,716
0_0_0_10_14_16,-25,2,1,2,11,4096381,4096383,2,10,4,continuous,1023,-1,1022,1023,-1,1022,1,1,1,969.9051828425004,0.12769325414938693,969.7774764816606,2.7829703430503927,4
0_0_0_10_14_16,-25,2,1,2,12,4100477,4100479,2,10,4,continuous,597,-427,596,902,-122,901,0,0,172,576.0659242924717,5.556652944853796,570.5093436412119,0.03822457175110907,488
0_0_0_10_14_16,-25,2,1,2,13,4104573,4104575,2,10,4,continuous,562,-462,561,562,-462,561,1,1,1,685.5815519549769,435.853732628937,249.72778344067558,1.3384433597558134,1848
0_0_0_10_14_16,-25,2,1,2,14,4108669,4108671,2,10,4,continuous,478,478,477,478,478,477,1,1,1,1158.6654858353613,713.7005585374135,444.9648629779078,1.1031706831709116,2184
0_0_0_10_14_16,-25,2,1,2,15,4112765,4112767,2,10,4,continuous,267,267,266,267,267,266,1,1,1,1292.584750494695,1281.0354221860325,11.549448365480032,2.276207153090913,3028
0_0_0_10_14_16,-25,2,1,2,16,4116861,4116863,2,10,4,continuous,917,-107,916,917,-107,916,1,1,1,641.531690089837,26.90120292766051,614.6305144365215,0.35421212769606547,428
0_0_0_10_14_16,-25,2,1,2,17,4120958,4120960,2,10,4,continuous,656,-368,655,213,213,212,0,0,10,568.2797217249265,550.4744628213494,17.805244443287904,0.3308420484722055,3244
0_0_0_10_14_16,-25,2,1,2,18,4125054,4125056,2,10,4,continuous,889,-135,888,889,-135,888,1,1,1,1887.6614621131996,51.29520569190208,1836.366163951542,5.559773392929638,540
0_0_0_10_14_16,-25,2,1,2,19,4129150,4129152,2,10,4,continuous,510,510,509,933,-91,932,0,0,9,500.14151472260306,7.365585152773693,492.77585325809923,0.46761237344241247,364
0_0_0_10_14_16,-25,2,1,2,20,4133246,4133248,2,10,4,continuous,860,-164,859,424,424,423,0,0,3,606.7100802406676,349.05932883277,257.6507690771905,0.8479132329588533,2400
0_0_0_10_14_16,-25,2,1,2,21,4137342,4137344,2,10,4,continuous,553,-471,552,152,152,151,0,0,2,629.3852095775585,595.5133078177469,33.87182378623754,0.23736216947235805,3488
0_0_0_10_14_16,-25,2,1,2,22,4141438,4141440,2,10,4,continuous,629,-395,628,828,-196,827,0,0,4,619.7235823567335,5.58392583026239,614.1396486497727,0.9928777100101548,784
0_0_0_10_14_16,-25,2,1,2,23,4145534,4145536,2,10,4,continuous,759,-265,758,926,-98,925,0,0,3,590.9748652571236,16.742945736064033,574.2318547841352,0.15069337655186416,392
0_0_0_10_14_16,-25,2,1,2,24,4149630,4149632,2,10,4,continuous,874,-150,873,874,-150,873,1,1,1,1123.3998818436457,55.05191668678094,1068.3479865547745,3.412450241361756,600
0_0_0_10_14_16,-25,2,1,2,25,4153726,4153728,2,10,4,continuous,720,-304,719,720,-304,719,1,1,1,716.5450323328814,168.76813332155166,547.7769084205875,1.5119029524360152,1216
0_0_0_10_14_16,-25,2,1,2,26,4157822,4157824,2,10,4,continuous,314,314,313,790,-234,789,0,0,17,622.8889684025671,35.21955523707681,587.6693649476514,0.913113328954493,936
0_0_0_10_14_16,-25,2,1,2,27,4161918,4161920,2,10,4,continuous,602,-422,601,602,-422,601,1,1,1,695.2272697521121,242.69150276195796,452.5357073850473,1.5572110310613034,1688
0_0_0_10_14_16,-25,2,1,2,28,4166014,4166016,2,10,4,continuous,7,7,6,7,7,6,1,1,1,650.5087732554008,650.0316005713903,0.47713683598185597,1.7200934750310677,4068
0_0_0_10_14_16,-25,2,1,2,29,4170110,4170112,2,10,4,continuous,610,-414,609,610,-414,609,1,1,1,895.8481346657645,354.7063252701955,541.1418635105774,1.7031798972610426,1656
0_0_0_10_14_16,-25,2,1,2,30,4174206,4174208,2,10,4,continuous,775,-249,774,826,-198,825,0,0,303,649.856259708552,8.044818975086912,641.8115283369299,0.25012712089393857,792
0_0_0_10_14_16,-25,2,1,2,31,4178302,4178304,2,10,4,continuous,912,-112,911,912,-112,911,1,1,1,827.5957793555935,29.108521343929144,798.4871898520578,2.4599085367040807,448
0_0_0_10_14_16,-25,2,1,2,32,4182398,4182400,2,10,4,continuous,768,-256,767,768,-256,767,1,1,1,891.958903936681,65.25195875345617,826.707009720828,2.696196106059122,1024
0_0_0_10_14_16,-25,2,1,2,33,4186494,4186496,2,10,4,continuous,581,-443,580,581,-443,580,1,1,1,799.2504908111196,112.60565069952374,686.6447592168842,1.5121743858041934,1772
0_0_0_10_14_16,-25,2,1,2,34,4190590,4190592,2,10,4,continuous,93,93,92,93,93,92,1,1,1,1522.8262687679505,1522.1794016068782,0.646863844373513,5.462779781570716,3724
0_0_0_10_14_16,-25,3,2,3,0,5551688,5551690,2,10,4,continuous,222,222,221,222,222,221,1,1,1,801.223396592366,656.2982474030287,144.92523231456153,2.209583951406888,3208
0_0_0_10_14_16,-25,3,2,3,1,5555784,5555786,2,10,4,continuous,711,-313,710,299,299,298,0,0,199,446.35233802120274,316.0205509197668,130.3318026102445,0.11488724447524869,2900
0_0_0_10_14_16,-25,3,2,3,2,5559880,5559882,2,10,4,continuous,871,-153,870,858,-166,857,0,0,21,483.6917838323903,9.079969713702326,474.61186012793854,0.19763073542724802,664
0_0_0_10_14_16,-25,3,2,3,3,5563976,5563978,2,10,4,continuous,718,-306,717,147,147,146,0,0,3,669.0367014785594,665.9074640890041,3.129210339148472,1.2203237087709558,3508
0_0_0_10_14_16,-25,3,2,3,4,5568072,5568074,2,10,4,continuous,107,107,106,934,-90,933,0,0,6,630.8487927239839,4.186292337265715,626.662492510598,0.2626185555298781,360
0_0_0_10_14_16,-25,3,2,3,5,5572168,5572170,2,10,4,continuous,468,468,467,468,468,467,1,1,1,837.483232173443,482.2408902678116,355.2423725649723,0.9069052226103479,2224
0_0_0_10_14_16,-25,3,2,3,6,5576264,5576266,2,10,4,continuous,89,89,88,89,89,88,1,1,1,1257.1926940146022,1256.279269438078,0.9133774038312268,3.6145549752816657,3740
0_0_0_10_14_16,-25,3,2,3,7,5580360,5580362,2,10,4,continuous,713,-311,712,713,-311,712,1,1,1,697.7297094888527,85.41811895471255,612.3115698634973,1.755893894830454,1244
0_0_0_10_14_16,-25,3,2,3,8,5584456,5584458,2,10,4,continuous,865,-159,864,865,-159,864,1,1,1,707.5188477969716,25.556414897882835,681.9625318308217,0.6459304657879129,636
