dataset,target_snr_db,packet_index,frame_index,event_index,sf,bw,os_factor,payload_len,cr,has_crc,ldro,cfo_correction_mode,origin_shift,symbol_count,gt_compared_symbols,loratrimmer_raw_ser,loratrimmer_symbol_ser,loratrimmer_crc_valid,loratrimmer_payload_hex,loratrimmer_crc_computed,loratrimmer_crc_received,loratrimmer_decode_error
0_0_0_10_14_16,-26,1,0,1,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.5714285714285714,0.5714285714285714,0,40740110302330137a0221e33b75f076223d7d7f7bdc79d073044360417a567416,0x1ed3,0x0d14,
0_0_0_10_14_16,-26,2,1,2,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.45714285714285713,0.45714285714285713,0,4044bb22910853114c21617673356022571e7f785fde34be933f6e62635a563612,0x1b84,0x09a0,
0_0_0_10_14_16,-26,3,2,3,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.6,0.6,0,40649b02138c0c80583031528bb1e86d660d3b4e49183d1e3d42f3f1c1d0edae32,0x94e2,0xe1bc,
0_0_0_10_14_16,-26,5,3,5,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.42857142857142855,0.42857142857142855,0,4054b33289811f104921207333307176f35cd998bb202d3636516144055e5616ba,0x076c,0xe3ed,
0_0_0_10_14_16,-26,6,4,6,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.6571428571428571,0.6571428571428571,0,40e411883ba8efa0fef2f9faf2e03deb2629283a2afc50f8aa030742473a707216,0xf3ed,0x0c71,
0_0_0_10_14_16,-26,8,5,8,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.42857142857142855,0.42857142857142855,0,4044330031201b815039a173377071323338393a3b3c2c2f3e601344031c36325a,0x2367,0x0aea,
0_0_0_10_14_16,-26,9,6,9,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.5428571428571428,0.5428571428571428,0,40443b2299009210482128726770717277697d6b2e6d3f283a1267c04972746e0b,0xef45,0x557a,
0_0_0_10_14_16,-26,10,7,10,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.6285714285714286,0.6285714285714286,0,4064a9230b1ad89580a4a4bebaf874ef3a3b1a2b19beb5be95686353506b667602,0x327e,0x4442,
0_0_0_10_14_16,-26,11,8,11,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.45714285714285713,0.45714285714285713,0,404433aa11080c0048352563772435637638793a7fa8a4f7afc15803027a07911a,0xcea3,0x6f6d,
0_0_0_10_14_16,-26,12,9,12,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.45714285714285713,0.45714285714285713,0,4054231221211e242d452672bf3c39fe3b383b3a1b7c392b7e406442435a547416,0x5d91,0x8cdb,
0_0_0_10_14_16,-26,13,10,13,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.42857142857142855,0.42857142857142855,0,40c4190ab120160059302173677035673738393a3b1c0c2c2f6330562469663212,0x360f,0x4607,
