dataset,target_snr_db,packet_index,frame_index,event_index,payload_symbol_index,start_sample,loratrimmer_start_sample,origin_shift,sf,os_factor,cfo_correction_mode,gt_raw_fft_bin,gt_signed_fft_bin,gt_symbol_value,loratrimmer_raw_fft_bin,loratrimmer_signed_fft_bin,loratrimmer_symbol_value,loratrimmer_raw_hit,loratrimmer_symbol_hit,loratrimmer_gt_rank,loratrimmer_peak_power,loratrimmer_front_power,loratrimmer_tail_power,loratrimmer_peak_margin_db,loratrimmer_split_sample
0_0_0_10_14_16,-22,1,0,1,0,2550960,2550962,2,10,4,continuous,222,222,221,222,222,221,1,1,1,583.8118860461918,532.8532691896144,50.958632328133994,1.6943663850481603,3208
0_0_0_10_14_16,-22,1,0,1,1,2555056,2555058,2,10,4,continuous,826,-198,825,826,-198,825,1,1,1,367.99828395752826,15.662741025315285,352.33551022844404,2.2710485724171527,792
0_0_0_10_14_16,-22,1,0,1,2,2559152,2559154,2,10,4,continuous,922,-102,921,922,-102,921,1,1,1,825.5006622268654,2.769837918683266,822.7307395418793,4.3334176285582,408
0_0_0_10_14_16,-22,1,0,1,3,2563248,2563250,2,10,4,continuous,718,-306,717,718,-306,717,1,1,1,719.6310608976828,138.6470967357791,580.9840548985384,3.002852172736749,1224
0_0_0_10_14_16,-22,1,0,1,4,2567344,2567346,2,10,4,continuous,107,107,106,107,107,106,1,1,1,1005.9614470277997,997.2500369136287,8.71131088797189,5.1087579745979985,3668
0_0_0_10_14_16,-22,1,0,1,5,2571440,2571442,2,10,4,continuous,468,468,467,468,468,467,1,1,1,501.5821374125526,307.3297899977342,194.25236779282662,2.6003053029436183,2224
0_0_0_10_14_16,-22,1,0,1,6,2575536,2575538,2,10,4,continuous,89,89,88,89,89,88,1,1,1,543.0104557882371,523.6031363673923,19.40733952938173,3.233981667680637,3740
0_0_0_10_14_16,-22,1,0,1,7,2579633,2579635,2,10,4,continuous,713,-311,712,713,-311,712,1,1,1,594.8882706321356,231.2992956411998,363.5890386326246,3.6316371340709774,1244
0_0_0_10_14_16,-22,1,0,1,8,2583729,2583731,2,10,4,continuous,865,-159,864,865,-159,864,1,1,1,960.6042514978401,9.100372588397533,951.5038575667006,5.274191213531728,636
0_0_0_10_14_16,-22,1,0,1,9,2587825,2587827,2,10,4,continuous,492,492,491,492,492,491,1,1,1,406.3423820711405,195.6389548355082,210.7034286132157,0.9743675090136725,2128
0_0_0_10_14_16,-22,1,0,1,10,2591921,2591923,2,10,4,continuous,765,-259,764,765,-259,764,1,1,1,567.8053234298604,161.40011198172945,406.40525210180937,3.400810718829784,1036
0_0_0_10_14_16,-22,1,0,1,11,2596017,2596019,2,10,4,continuous,1023,-1,1022,1023,-1,1022,1,1,1,1013.2148716757115,0.0735046765236238,1013.1413987017787,5.531417240212251,4
0_0_0_10_14_16,-22,1,0,1,12,2600113,2600115,2,10,4,continuous,597,-427,596,597,-427,596,1,1,1,278.145609460169,75.50484228543155,202.64074837936192,0.6545404065375854,1708
0_0_0_10_14_16,-22,1,0,1,13,2604209,2604211,2,10,4,continuous,562,-462,561,562,-462,561,1,1,1,404.0204260115288,159.71908309038554,244.30137987730365,1.0433400965766926,1848
0_0_0_10_14_16,-22,1,0,1,14,2608305,2608307,2,10,4,continuous,478,478,477,478,478,477,1,1,1,406.9397823672234,264.21049195993436,142.72927729278877,2.602534553512286,2184
0_0_0_10_14_16,-22,1,0,1,15,2612401,2612403,2,10,4,continuous,267,267,266,267,267,266,1,1,1,484.7625183499076,387.2801078548218,97.4824261744624,2.458733717977504,3028
0_0_0_10_14_16,-22,1,0,1,16,2616497,2616499,2,10,4,continuous,917,-107,916,917,-107,916,1,1,1,830.1670115899999,6.1352389465510555,824.031829444375,4.708123686799074,428
0_0_0_10_14_16,-22,1,0,1,17,2620593,2620595,2,10,4,continuous,656,-368,655,656,-368,655,1,1,1,497.3732416545463,115.12654867100083,382.2467482115228,2.683688073245678,1472
0_0_0_10_14_16,-22,1,0,1,18,2624689,2624691,2,10,4,continuous,889,-135,888,889,-135,888,1,1,1,669.416089824118,17.57681925597513,651.8392949127884,4.055618967046178,540
0_0_0_10_14_16,-22,1,0,1,19,2628785,2628787,2,10,4,continuous,510,510,509,510,510,509,1,1,1,612.0060820198341,175.42711153819732,436.57901356170714,1.4665116375912235,2056
0_0_0_10_14_16,-22,1,0,1,20,2632881,2632883,2,10,4,continuous,860,-164,859,860,-164,859,1,1,1,688.9747466865031,32.15483631853046,656.8198821357745,3.974106445787751,656
0_0_0_10_14_16,-22,1,0,1,21,2636977,2636979,2,10,4,continuous,553,-471,552,553,-471,552,1,1,1,540.5260329503108,209.36756669816188,331.1584906497847,2.802555541142139,1884
0_0_0_10_14_16,-22,1,0,1,22,2641073,2641075,2,10,4,continuous,629,-395,628,629,-395,628,1,1,1,546.6408653949884,163.3000190265966,383.3408128837809,1.872297158717409,1580
0_0_0_10_14_16,-22,1,0,1,23,2645169,2645171,2,10,4,continuous,759,-265,758,759,-265,758,1,1,1,342.0670124710923,65.93585474035152,276.1311782638013,0.7377885657091896,1060
0_0_0_10_14_16,-22,1,0,1,24,2649265,2649267,2,10,4,continuous,874,-150,873,874,-150,873,1,1,1,716.4294200869047,7.884687315432885,708.5447540263051,2.637706526830658,600
0_0_0_10_14_16,-22,1,0,1,25,2653361,2653363,2,10,4,continuous,720,-304,719,720,-304,719,1,1,1,683.7912578501164,176.23120947393545,507.559966580634,4.076098013729562,1216
0_0_0_10_14_16,-22,1,0,1,26,2657457,2657459,2,10,4,continuous,314,314,313,314,314,313,1,1,1,508.6564957851988,373.80824755124195,134.8482076668536,3.2755135378066615,2840
0_0_0_10_14_16,-22,1,0,1,27,2661553,2661555,2,10,4,continuous,602,-422,601,602,-422,601,1,1,1,607.1117403940043,155.61993794197954,451.49174873521036,3.3644256079605523,1688
0_0_0_10_14_16,-22,1,0,1,28,2665649,2665651,2,10,4,continuous,7,7,6,7,7,6,1,1,1,957.7688290947174,957.3525427704963,0.41614918584102184,5.290351155505829,4068
0_0_0_10_14_16,-22,1,0,1,29,2669745,2669747,2,10,4,continuous,610,-414,609,610,-414,609,1,1,1,546.764998872768,111.64478805854763,435.12021339281995,3.059036563226148,1656
0_0_0_10_14_16,-22,1,0,1,30,2673841,2673843,2,10,4,continuous,807,-217,806,807,-217,806,1,1,1,788.4325658976743,57.60600678099856,730.8266014447581,4.780089816533691,868
0_0_0_10_14_16,-22,1,0,1,31,2677937,2677939,2,10,4,continuous,897,-127,896,897,-127,896,1,1,1,776.6740785719105,22.612997461628115,754.060970991548,3.8694121971758486,508
