dataset,target_snr_db,packet_index,frame_index,event_index,sf,bw,os_factor,payload_len,cr,has_crc,ldro,cfo_correction_mode,origin_shift,symbol_count,gt_compared_symbols,loratrimmer_raw_ser,loratrimmer_symbol_ser,loratrimmer_crc_valid,loratrimmer_payload_hex,loratrimmer_crc_computed,loratrimmer_crc_received,loratrimmer_decode_error
0_0_0_10_14_16,-24,1,0,1,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.17142857142857143,0.17142857142857143,0,4074011030230000583031f23b74f1763338393a3bbc3db6374041424378563412,0x3007,0x4d14,
0_0_0_10_14_16,-24,2,1,2,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.2571428571428571,0.2571428571428571,0,40443322110053114c21617673347132773c7d7a7f7c3d3e3b046562635a563612,0x2621,0x09a0,
0_0_0_10_14_16,-24,3,2,3,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.34285714285714286,0.34285714285714286,0,40649b02138c0c0058303172bbb0f97e672d396e6b383d3e3f404142437856a432,0xac5b,0xe1bc,
0_0_0_10_14_16,-24,5,3,5,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.2,0.2,0,40443322110016104921203333343536f77cf9babb303d3637404146077c56349a,0x32ba,0xc3ed,
0_0_0_10_14_16,-24,6,4,6,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.2857142857142857,0.2857142857142857,0,40443322110027207a3231f2f3f03dfa3738393a3bfc70faaa014542437a743612,0x820e,0x0c71,
0_0_0_10_14_16,-24,8,5,8,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.2,0.2,0,404433221100190158312173377071323338393a3b3c3d3e3f604340435876361a,0x1682,0x0eaa,
0_0_0_10_14_16,-24,9,6,9,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.17142857142857143,0.17142857142857143,0,40443b229900121048212032333435363738393a3b3c3d3e3f404142437856741a,0xa3f5,0x447a,
0_0_0_10_14_16,-24,10,7,10,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.22857142857142856,0.22857142857142856,0,4044bb2219089b91c0a0a0babbf875fe3b38393a3bbcb5beb7486142417a763612,0xa2c9,0x0542,
0_0_0_10_14_16,-24,11,8,11,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.2,0.2,0,4044332211000c0048312133333435363778393a3b2c2c7f2f414002037a16b01a,0x9c5d,0x4d6f,
0_0_0_10_14_16,-24,12,9,12,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.11428571428571428,0.11428571428571428,0,4044332211000d0058303172373431763338393a3b3c3d7e3f4041424378563412,0xdf6b,0x88db,
0_0_0_10_14_16,-24,13,10,13,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.22857142857142856,0.22857142857142856,0,4044110231201e0059302133233435273738393a3b3c2c2e2f4160426178763612,0x2db6,0x4607,
