dataset,target_snr_db,packet_index,frame_index,event_index,payload_symbol_index,start_sample,loratrimmer_start_sample,origin_shift,sf,os_factor,cfo_correction_mode,gt_raw_fft_bin,gt_signed_fft_bin,gt_symbol_value,loratrimmer_raw_fft_bin,loratrimmer_signed_fft_bin,loratrimmer_symbol_value,loratrimmer_raw_hit,loratrimmer_symbol_hit,loratrimmer_gt_rank,loratrimmer_peak_power,loratrimmer_front_power,loratrimmer_tail_power,loratrimmer_peak_margin_db,loratrimmer_split_sample
0_0_0_10_14_16,-26,1,0,1,0,2550960,2550962,2,10,4,continuous,222,222,221,5,5,4,0,0,2,1000.613188664762,1000.6018642700074,0.011304534282672309,2.024566276788689,4076
0_0_0_10_14_16,-26,1,0,1,1,2555056,2555058,2,10,4,continuous,826,-198,825,397,397,396,0,0,54,547.8327181457607,517.2798710753361,30.552838310944253,0.38402545181314035,2508
0_0_0_10_14_16,-26,1,0,1,2,2559152,2559154,2,10,4,continuous,922,-102,921,922,-102,921,1,1,1,967.2777272177927,0.9647475885018686,966.313111679542,1.0461554827115092,408
0_0_0_10_14_16,-26,1,0,1,3,2563248,2563250,2,10,4,continuous,718,-306,717,718,-306,717,1,1,1,875.0196667818682,188.7217365254628,686.2979057701533,1.0310926303682812,1224
0_0_0_10_14_16,-26,1,0,1,4,2567344,2567346,2,10,4,continuous,107,107,106,107,107,106,1,1,1,1223.359073955297,1215.257300342616,8.101930482833966,1.927870164052067,3668
0_0_0_10_14_16,-26,1,0,1,5,2571440,2571442,2,10,4,continuous,468,468,467,938,-86,937,0,0,4,694.7009198451051,11.79726771264251,682.9037275966839,0.30306245205253585,344
0_0_0_10_14_16,-26,1,0,1,6,2575536,2575538,2,10,4,continuous,89,89,88,911,-113,910,0,0,11,643.2176160654717,38.38609163024381,604.8314869845125,0.5289289483023162,452
0_0_0_10_14_16,-26,1,0,1,7,2579633,2579635,2,10,4,continuous,713,-311,712,713,-311,712,1,1,1,704.3178484432065,368.80281010413916,335.5149533054282,0.31644876044623316,1244
0_0_0_10_14_16,-26,1,0,1,8,2583729,2583731,2,10,4,continuous,865,-159,864,865,-159,864,1,1,1,1189.5315570663233,6.942146562336948,1182.589516085843,2.1629134804965493,636
0_0_0_10_14_16,-26,1,0,1,9,2587825,2587827,2,10,4,continuous,492,492,491,188,188,187,0,0,20,820.234409479413,806.9191015089756,13.315254757523064,1.0146598412105379,3344
0_0_0_10_14_16,-26,1,0,1,10,2591921,2591923,2,10,4,continuous,765,-259,764,307,307,306,0,0,2,652.9938282666744,618.6258906349576,34.36796617543769,0.25790195480732464,2868
0_0_0_10_14_16,-26,1,0,1,11,2596017,2596019,2,10,4,continuous,1023,-1,1022,1023,-1,1022,1,1,1,1141.1004403808417,0.18504706263326295,1140.915333481844,2.107531620628949,4
0_0_0_10_14_16,-26,1,0,1,12,2600113,2600115,2,10,4,continuous,597,-427,596,829,-195,828,0,0,156,602.9659859648746,35.67091498284167,567.2951071687429,0.07878139721291309,780
0_0_0_10_14_16,-26,1,0,1,13,2604209,2604211,2,10,4,continuous,562,-462,561,831,-193,830,0,0,7,795.7785537290529,14.438892063218036,781.3396898847787,1.425766262399808,772
0_0_0_10_14_16,-26,1,0,1,14,2608305,2608307,2,10,4,continuous,478,478,477,899,-125,898,0,0,7,556.8197473767113,8.488253018956144,548.3313959363352,0.11442674686327448,500
0_0_0_10_14_16,-26,1,0,1,15,2612401,2612403,2,10,4,continuous,267,267,266,312,312,311,0,0,6,689.5191796744587,636.0996169685421,53.41944703393542,0.0639807383483494,2848
0_0_0_10_14_16,-26,1,0,1,16,2616497,2616499,2,10,4,continuous,917,-107,916,917,-107,916,1,1,1,888.081168341454,6.026583916361349,882.0546858561137,1.030630266679648,428
0_0_0_10_14_16,-26,1,0,1,17,2620593,2620595,2,10,4,continuous,656,-368,655,284,284,283,0,0,7,672.343654303023,634.9463319523276,37.39733945560471,0.25739755201784426,2960
0_0_0_10_14_16,-26,1,0,1,18,2624689,2624691,2,10,4,continuous,889,-135,888,889,-135,888,1,1,1,686.0559119675063,19.702913343127197,666.3529588491656,0.17525232294270002,540
0_0_0_10_14_16,-26,1,0,1,19,2628785,2628787,2,10,4,continuous,510,510,509,1004,-20,1003,0,0,3,796.1052373412831,0.9744862639984325,795.1308090019302,0.017146248062367555,80
0_0_0_10_14_16,-26,1,0,1,20,2632881,2632883,2,10,4,continuous,860,-164,859,860,-164,859,1,1,1,727.2413700395637,39.22189312907723,688.0195753663639,0.20110964825753572,656
0_0_0_10_14_16,-26,1,0,1,21,2636977,2636979,2,10,4,continuous,553,-471,552,33,33,32,0,0,3,716.3288131084042,715.6468533400985,0.6819209576657704,0.68551857134559,3964
0_0_0_10_14_16,-26,1,0,1,22,2641073,2641075,2,10,4,continuous,629,-395,628,34,34,33,0,0,4,892.1289191029177,884.842134787992,7.2866843828607,0.612895786377434,3960
0_0_0_10_14_16,-26,1,0,1,23,2645169,2645171,2,10,4,continuous,759,-265,758,525,-499,524,0,0,97,715.8298766486341,221.79421527277464,494.03569655475536,0.2528090840233781,1996
0_0_0_10_14_16,-26,1,0,1,24,2649265,2649267,2,10,4,continuous,874,-150,873,1008,-16,1007,0,0,2,978.4724547817746,0.045228225439394976,978.4273292775879,1.0196283619797981,64
0_0_0_10_14_16,-26,1,0,1,25,2653361,2653363,2,10,4,continuous,720,-304,719,720,-304,719,1,1,1,849.0936766662999,248.00310975990328,601.090523501538,2.0305138810634955,1216
0_0_0_10_14_16,-26,1,0,1,26,2657457,2657459,2,10,4,continuous,314,314,313,292,292,291,0,0,4,610.1011489154628,548.5041678900425,61.59697549020058,0.14342620923903063,2928
0_0_0_10_14_16,-26,1,0,1,27,2661553,2661555,2,10,4,continuous,602,-422,601,602,-422,601,1,1,1,721.0925456731975,159.0401875388534,562.052351272785,0.4135911347040582,1688
0_0_0_10_14_16,-26,1,0,1,28,2665649,2665651,2,10,4,continuous,7,7,6,7,7,6,1,1,1,998.0573680623528,997.0733814748601,0.9840675192230686,1.4170839081291045,4068
0_0_0_10_14_16,-26,1,0,1,29,2669745,2669747,2,10,4,continuous,610,-414,609,964,-60,963,0,0,2,681.4402122397373,10.364630456267392,671.07565285081,0.04811157048915227,240
0_0_0_10_14_16,-26,1,0,1,30,2673841,2673843,2,10,4,continuous,807,-217,806,807,-217,806,1,1,1,943.2668923435203,75.16629704246951,868.1006771164539,1.5354890831842527,868
0_0_0_10_14_16,-26,1,0,1,31,2677937,2677939,2,10,4,continuous,897,-127,896,897,-127,896,1,1,1,830.9346477468737,30.249470600525292,800.6851842537144,0.2201330960227044,508
0_0_0_10_14_16,-26,1,0,1,32,2682033,2682035,2,10,4,continuous,749,-275,748,52,52,51,0,0,5,707.917798039281,700.19800540878,7.719727947325068,0.27305347231054666,3888
0_0_0_10_14_16,-26,1,0,1,33,2686129,2686131,2,10,4,continuous,584,-440,583,584,-440,583,1,1,1,1019.9232545902744,33.34522332637539,986.5779800183556,0.656242064918299,1760
0_0_0_10_14_16,-26,1,0,1,34,2690225,2690227,2,10,4,continuous,934,-90,933,1018,-6,1017,0,0,5,905.302884598181,0.6657317520730999,904.6372022476316,1.090097568283323,24
0_0_0_10_14_16,-26,2,1,2,0,4051325,4051327,2,10,4,continuous,803,-221,802,803,-221,802,1,1,1,884.6927452109203,186.17254677217716,698.5201797056105,0.7484182403231844,884
0_0_0_10_14_16,-26,2,1,2,1,4055421,4055423,2,10,4,continuous,826,-198,825,826,-198,825,1,1,1,682.200508290349,33.96525736184617,648.2352304070699,0.17492755757915457,792
0_0_0_10_14_16,-26,2,1,2,2,4059517,4059519,2,10,4,continuous,922,-102,921,922,-102,921,1,1,1,1781.0099709163997,23.005647038983906,1758.0045195453133,1.8062336631182045,408
0_0_0_10_14_16,-26,2,1,2,3,4063613,4063615,2,10,4,continuous,718,-306,717,222,222,221,0,0,3,901.7916908294719,895.1854812462234,6.606173047757764,0.8259638264775102,3208
0_0_0_10_14_16,-26,2,1,2,4,4067709,4067711,2,10,4,continuous,86,86,85,950,-74,949,0,0,10,610.8735392609283,4.137271138041115,606.7361787634472,0.0615599956445734,296
0_0_0_10_14_16,-26,2,1,2,5,4071805,4071807,2,10,4,continuous,468,468,467,119,119,118,0,0,39,828.0132239250308,822.3449453062094,5.668161297591325,0.43254649912029575,3620
0_0_0_10_14_16,-26,2,1,2,6,4075901,4075903,2,10,4,continuous,89,89,88,89,89,88,1,1,1,1219.8982967611557,1201.0874364794365,18.81064104663352,2.6014820992919234,3740
0_0_0_10_14_16,-26,2,1,2,7,4079997,4079999,2,10,4,continuous,713,-311,712,949,-75,948,0,0,3,1034.7084435186443,4.475354750064554,1030.233138030076,1.7891577801542629,300
0_0_0_10_14_16,-26,2,1,2,8,4084093,4084095,2,10,4,continuous,865,-159,864,865,-159,864,1,1,1,1631.275813476831,81.69919594066893,1549.5767180589066,3.6812098031637532,636
0_0_0_10_14_16,-26,2,1,2,9,4088189,4088191,2,10,4,continuous,492,492,491,92,92,91,0,0,149,883.6448411176937,859.3343036845909,24.310476999170533,0.4432239956413642,3728
0_0_0_10_14_16,-26,2,1,2,10,4092285,4092287,2,10,4,continuous,765,-259,764,845,-179,844,0,0,2,875.498165817251,29.340186779316813,846.1579706555385,1.0576760760006536,716
0_0_0_10_14_16,-26,2,1,2,11,4096381,4096383,2,10,4,continuous,1023,-1,1022,1023,-1,1022,1,1,1,986.3334038647569,0.1623615206027944,986.1710853829181,1.8444194239709297,4
0_0_0_10_14_16,-26,2,1,2,12,4100477,4100479,2,10,4,continuous,597,-427,596,902,-122,901,0,0,299,723.7013280109825,7.094136194316806,716.6070447887606,0.02937100727104448,488
0_0_0_10_14_16,-26,2,1,2,13,4104573,4104575,2,10,4,continuous,562,-462,561,562,-462,561,1,1,1,736.184915795202,480.608968198224,255.57589565823332,0.6503221385957769,1848
0_0_0_10_14_16,-26,2,1,2,14,4108669,4108671,2,10,4,continuous,478,478,477,478,478,477,1,1,1,1290.058257902263,806.1210533467894,483.93739899310555,1.0217641966574167,2184
0_0_0_10_14_16,-26,2,1,2,15,4112765,4112767,2,10,4,continuous,267,267,266,267,267,266,1,1,1,1421.381047525405,1411.1764414998943,10.204636817540177,1.689086241396722,3028
0_0_0_10_14_16,-26,2,1,2,16,4116861,4116863,2,10,4,continuous,917,-107,916,370,370,369,0,0,3,744.4959274810753,710.4829594005496,34.012964187676346,0.1691759576778981,2616
0_0_0_10_14_16,-26,2,1,2,17,4120958,4120960,2,10,4,continuous,656,-368,655,213,213,212,0,0,19,713.6421434962249,691.2196141972607,22.422436138133715,0.3234472780798394,3244
0_0_0_10_14_16,-26,2,1,2,18,4125054,4125056,2,10,4,continuous,889,-135,888,889,-135,888,1,1,1,2083.3883357297964,57.59518170202546,2025.7932787598118,4.98778707710959,540
0_0_0_10_14_16,-26,2,1,2,19,4129150,4129152,2,10,4,continuous,510,510,509,933,-91,932,0,0,27,628.6013658615739,9.294839403975175,619.3066057705046,0.45983137857440687,364
0_0_0_10_14_16,-26,2,1,2,20,4133246,4133248,2,10,4,continuous,860,-164,859,424,424,423,0,0,8,763.1244886009517,438.6437557831542,324.4806842853177,0.8339812965959152,2400
0_0_0_10_14_16,-26,2,1,2,21,4137342,4137344,2,10,4,continuous,553,-471,552,152,152,151,0,0,3,793.16801554359,750.3843532239734,42.78364731132251,0.9061887674698341,3488
0_0_0_10_14_16,-26,2,1,2,22,4141438,4141440,2,10,4,continuous,629,-395,628,828,-196,827,0,0,8,778.756214842062,7.0282001925144515,771.728068613811,0.9767675927480755,784
0_0_0_10_14_16,-26,2,1,2,23,4145534,4145536,2,10,4,continuous,759,-265,758,926,-98,925,0,0,5,742.371360363195,21.086932231890042,721.2843539904943,0.14105274555883973,392
0_0_0_10_14_16,-26,2,1,2,24,4149630,4149632,2,10,4,continuous,874,-150,873,874,-150,873,1,1,1,1191.3676016768989,60.576640097702914,1130.7910789729249,2.6900796679898775,600
0_0_0_10_14_16,-26,2,1,2,25,4153726,4153728,2,10,4,continuous,720,-304,719,720,-304,719,1,1,1,747.0094754218198,183.1791399941185,563.8303556570645,0.6902242245368618,1216
0_0_0_10_14_16,-26,2,1,2,26,4157822,4157824,2,10,4,continuous,314,314,313,790,-234,789,0,0,40,784.0983345974494,44.125364029048626,739.972990145978,0.9081835773956257,936
0_0_0_10_14_16,-26,2,1,2,27,4161918,4161920,2,10,4,continuous,602,-422,601,602,-422,601,1,1,1,738.0589477751819,262.2050520132362,475.85382012699847,0.8259832123135036,1688
0_0_0_10_14_16,-26,2,1,2,28,4166014,4166016,2,10,4,continuous,7,7,6,7,7,6,1,1,1,624.3319497772686,623.7568117934125,0.5752082748133773,0.530099521681133,4068
0_0_0_10_14_16,-26,2,1,2,29,4170110,4170112,2,10,4,continuous,610,-414,609,610,-414,609,1,1,1,977.4187060393488,390.2345669537553,587.18413730264,1.4089391548354433,1656
0_0_0_10_14_16,-26,2,1,2,30,4174206,4174208,2,10,4,continuous,775,-249,774,826,-198,825,0,0,487,816.2662118915398,10.109416317491421,806.1568009442681,0.24154678036740218,792
0_0_0_10_14_16,-26,2,1,2,31,4178302,4178304,2,10,4,continuous,912,-112,911,912,-112,911,1,1,1,841.2698911657465,31.9911800040251,809.2787381154203,1.5225495022903048,448
0_0_0_10_14_16,-26,2,1,2,32,4182398,4182400,2,10,4,continuous,768,-256,767,768,-256,767,1,1,1,941.6864153662291,68.07009394282908,873.6162492703879,1.9227119877261747,1024
0_0_0_10_14_16,-26,2,1,2,33,4186494,4186496,2,10,4,continuous,581,-443,580,581,-443,580,1,1,1,854.4506246623241,107.01798568043182,747.4325352964114,0.8092544285459684,1772
0_0_0_10_14_16,-26,2,1,2,34,4190590,4190592,2,10,4,continuous,93,93,92,93,93,92,1,1,1,1668.8492871029143,1668.3703642383805,0.47875826023384965,4.879796232147718,3724
0_0_0_10_14_16,-26,3,2,3,0,5551688,5551690,2,10,4,continuous,222,222,221,222,222,221,1,1,1,853.7655379826765,691.4640783526492,162.30150746362233,1.4820100214518852,3208
0_0_0_10_14_16,-26,3,2,3,1,5555784,5555786,2,10,4,continuous,711,-313,710,299,299,298,0,0,400,562.6435180162662,398.34487798088225,164.2986024040793,0.12464900427272443,2900
0_0_0_10_14_16,-26,3,2,3,2,5559880,5559882,2,10,4,continuous,871,-153,870,858,-166,857,0,0,79,606.6187130649071,11.295870662588484,595.3228757728721,0.19259820407909534,664
0_0_0_10_14_16,-26,3,2,3,3,5563976,5563978,2,10,4,continuous,718,-306,717,147,147,146,0,0,9,842.4243205119518,838.4838882343084,3.940399342899085,1.2282634585198409,3508
0_0_0_10_14_16,-26,3,2,3,4,5568072,5568074,2,10,4,continuous,107,107,106,934,-90,933,0,0,15,794.6237189492504,5.27222550155517,789.351568006241,0.2648315047015247,360
0_0_0_10_14_16,-26,3,2,3,5,5572168,5572170,2,10,4,continuous,468,468,467,468,468,467,1,1,1,904.2146488046455,521.0703686345696,383.1442306337885,0.24671980567623777,2224
0_0_0_10_14_16,-26,3,2,3,6,5576264,5576266,2,10,4,continuous,89,89,88,89,89,88,1,1,1,1354.7716099753052,1353.7660202332224,1.0055505507522264,2.931318183260438,3740
0_0_0_10_14_16,-26,3,2,3,7,5580360,5580362,2,10,4,continuous,713,-311,712,713,-311,712,1,1,1,728.7359609789246,87.98887395778844,640.747054591171,0.9542943443774123,1244
0_0_0_10_14_16,-26,3,2,3,8,5584456,5584458,2,10,4,continuous,865,-159,864,160,160,159,0,0,3,768.6509258955141,741.2316773429503,27.41922393637641,0.14579097693035523,3456
0_0_0_10_14_16,-26,3,2,3,9,5588552,5588554,2,10,4,continuous,492,492,491,492,492,491,1,1,1,741.7106358328929,492.5560731823361,249.1545828131896,0.3733548194591862,2128
