dataset,target_snr_db,packet_index,frame_index,event_index,sf,bw,os_factor,payload_len,cr,has_crc,ldro,cfo_correction_mode,origin_shift,symbol_count,gt_compared_symbols,loratrimmer_raw_ser,loratrimmer_symbol_ser,loratrimmer_crc_valid,loratrimmer_payload_hex,loratrimmer_crc_computed,loratrimmer_crc_received,loratrimmer_decode_error
0_0_0_10_14_16,-23,1,0,1,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.08571428571428572,0.08571428571428572,0,404433221100020058303172337471763338393a3bbc3db6374041424378563412,0xb332,0x4d14,
0_0_0_10_14_16,-23,2,1,2,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.14285714285714285,0.14285714285714285,0,404433221100131148212172733471323738393a3b3c3d3e3f406162635a563612,0x16ee,0x09a0,
0_0_0_10_14_16,-23,3,2,3,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.17142857142857143,0.17142857142857143,0,406413021300040058303172bbb0f97e672d396e6b383d3e3f4041424378563412,0xe209,0xc08d,
0_0_0_10_14_16,-23,5,3,5,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.14285714285714285,0.14285714285714285,0,40443322110016104921203333343536777c793a3b383d36374041424378563412,0x7d98,0x43e5,
0_0_0_10_14_16,-23,6,4,6,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.05714285714285714,0.05714285714285714,0,40443322110027207a323132333435363738393a3bbc35bebf4041424378563412,0x5386,0x0e51,
0_0_0_10_14_16,-23,8,5,8,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.14285714285714285,0.14285714285714285,0,404433221100190158312173377071323338393a3b3c3d3e3f604342437856341a,0xdb6e,0x0eaa,
0_0_0_10_14_16,-23,9,6,9,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.05714285714285714,0.05714285714285714,0,40443b229900020058303132333435363738393a3b3c3d3e3f4041424378567412,0x43b9,0x44f2,
0_0_0_10_14_16,-23,10,7,10,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.11428571428571428,0.11428571428571428,0,4044bb2219080b0058303132337075763338393a3bbcb5beb74841424378563412,0x38df,0x0542,
0_0_0_10_14_16,-23,11,8,11,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.08571428571428572,0.08571428571428572,0,4044332211000c0058303132333435363778393a3b3c3d7e3f4041024378563412,0x7e9c,0xcd6f,
0_0_0_10_14_16,-23,12,9,12,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.02857142857142857,0.02857142857142857,0,4044332211000d0058303132333435363738393a3b3c3d7e3f4041424378563412,0x7e0b,0x88db,
0_0_0_10_14_16,-23,13,10,13,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.0,0.0,1,4044332211000e0058303132333435363738393a3b3c3d3e3f4041424378563412,0x4607,0x4607,
