packet_index,event_index,success,total_payload,correct_count,pre_block_correct_count,pre_template_correct_count,block_code_search_enabled,payload_template_known,final_error_rate,initial_slope_pi,final_slope_pi,initial_line_r2,final_line_r2,preamble_anchors,header_anchors,header_method,header_rescue_score,header_rescue_visited,preamble_line_slope_pi,header_line_slope_pi,hough_line_slope_pi,hough_score,preamble_line_r2,header_line_r2,refinement_rounds,round0_acc,round1_acc,round2_acc,payload_len,gt_bins_available
1,1,1,35,27,2,2,0,25,0.2286,0.0214,0.0214,0.1474,0.1474,16,8,session_header_prior_forced,,,-0.0015,0.0214,0.0000,0.0000,-0.0225,0.1474,2,0.0571,0.0571,,33,35
2,2,1,35,26,1,1,0,25,0.2571,-0.0705,-0.0705,0.4166,0.4166,16,8,session_header_prior_forced,,,-0.0045,-0.0705,0.0000,0.0000,0.0580,0.4166,2,0.0286,0.0286,,33,35
3,3,1,35,25,2,2,0,25,0.2857,-0.0018,-0.0018,0.0041,0.0041,16,8,session_header_prior_forced,,,-0.0061,-0.0018,0.0000,0.0000,0.0948,0.0041,2,0.0571,0.0571,,33,35
5,5,1,35,26,2,2,0,25,0.2571,-0.0810,-0.0810,0.5478,0.5478,16,8,session_header_prior_forced,,,-0.0102,-0.0810,0.0000,0.0000,0.0518,0.5478,2,0.0286,0.0571,,33,35
6,6,1,35,27,3,3,0,25,0.2286,-0.0418,-0.0418,0.1986,0.1986,16,8,session_header_prior_forced,,,-0.0066,-0.0418,0.0000,0.0000,0.0547,0.1986,2,0.0857,0.0857,,33,35
