packet_index,frame_index,event_index,payload_len,cr,has_crc,ldro,symbol_count,gt_compared_symbols,center_argmax_raw_ser,center_argmax_symbol_ser,multi_offset_argmax_raw_ser,multi_offset_argmax_symbol_ser,selected_raw_ser,selected_symbol_ser,ser_gain_vs_center,ser_gain_vs_multi_offset,locked_symbol_count,uncertain_symbol_count,locked_ratio,false_lock_count,locked_with_gt_count,false_lock_rate,uncertain_candidate_hits,uncertain_candidate_total,uncertain_candidate_recall,trajectory_score,line_score,mean_phase_score,mean_amp_score,mean_selected_offset_coherence,phase_line_slope_pi,phase_line_r2,phase_line_rmse_pi,phase_line_anchor_count,beam_final_size,error,payload_hex,crc_valid,crc_computed,crc_received,decoded_payload_len,decode_error
1,0,1,33,1,1,0,35,35,0.8,0.8,0.45714285714285713,0.45714285714285713,0.42857142857142855,0.42857142857142855,0.3714285714285715,0.02857142857142858,4,31,0.11428571428571428,0,4,0.0,28,31,0.9032258064516129,40.475972084654835,0.7843486045641552,0.8770315151486511,0.8303984853084436,0.8220480457731535,0.0065639188105738175,0.14185016039405263,0.1478551784354881,26,64,,4044330231204204187031363334317677b8393a7b747536b3882d13951e06a00b,0,0x6917,0xdc1d,33,
2,1,2,33,1,1,0,35,35,0.8857142857142857,0.8857142857142857,0.4,0.4,0.17142857142857143,0.17142857142857143,0.7142857142857142,0.2285714285714286,10,25,0.2857142857142857,1,10,0.1,23,25,0.92,45.71440243471769,0.822434829706728,0.92510439971005,0.885306200173451,0.8962019090301443,-0.09330552312203737,0.9781985628873657,0.13264140774767216,26,64,,406411223320010058303132333435363738393a3b3c3d3e3f402164011836b29b,0,0x5de2,0x8938,33,
3,2,3,33,1,1,0,35,35,0.6857142857142857,0.6857142857142857,0.4,0.4,0.5428571428571428,0.5428571428571428,0.1428571428571429,-0.1428571428571428,5,30,0.14285714285714285,0,5,0.0,27,30,0.9,42.83928975900004,0.950666847547984,0.9555567980608337,0.7860983204461768,0.7880940836419893,-0.09088888544308632,0.9954536582250231,0.06747772689072415,26,64,,4004176015048208d830315a547471603738393a3b3c5e6c5d4542e263727e3e11,0,0xcb37,0x2b40,33,
5,3,5,33,1,1,0,35,35,0.7142857142857143,0.7142857142857143,0.37142857142857144,0.37142857142857144,0.45714285714285713,0.45714285714285713,0.2571428571428572,-0.08571428571428569,9,26,0.2571428571428571,0,9,0.0,20,26,0.7692307692307693,41.85468149958793,0.9727720068308545,0.9740309368997674,0.8430730879605546,0.8228717369224002,-0.0909473228946503,0.9970302009292122,0.049844748621535165,26,64,,40443233101106027830132222253436571e595859ae3c26a750282a43bc980e52,0,0x6c5f,0x1b98,33,
6,4,6,33,1,1,0,35,35,0.7428571428571429,0.7428571428571429,0.3142857142857143,0.3142857142857143,0.37142857142857144,0.37142857142857144,0.37142857142857144,-0.05714285714285716,4,31,0.11428571428571428,0,4,0.0,29,31,0.9354838709677419,41.43058555904248,0.6434244654302964,0.74060316741743,0.8731297416185392,0.8510669472297592,-0.07506867886348181,0.9307504853539215,0.19921234291752432,26,64,,40643100330265625a345736b3bcbd3e7f7c7d3e3f383d3e3f4061abcea0477b30,0,0xa4d6,0x4c55,33,
8,5,8,33,1,1,0,35,35,0.8,0.8,0.3142857142857143,0.3142857142857143,0.42857142857142855,0.42857142857142855,0.3714285714285715,-0.11428571428571427,10,25,0.2857142857142857,0,10,0.0,22,25,0.88,44.03639086708345,0.9528121182479535,0.9208201831293965,0.8300893831141495,0.8211479725440002,-0.08589716784612093,0.994210261601755,0.06595740156492641,26,64,,404433221100090018347136333031363338393a3b0c1d2f3d734108c35cb67e07,0,0xbc6f,0x04d3,33,
9,6,9,33,1,1,0,35,35,0.8285714285714286,0.8285714285714286,0.4857142857142857,0.4857142857142857,0.5142857142857142,0.5142857142857142,0.3142857142857144,-0.028571428571428525,9,26,0.2571428571428571,0,9,0.0,20,26,0.7692307692307693,43.3142065005138,0.7913950892268773,0.8341289003259706,0.7560667224894997,0.8499334940355201,-0.06604926908863246,0.9538263743782457,0.14510760135150086,26,64,,4044b3aa99888a8850a0a112320614373638393a3bbcbcb637d9c11552244364cb,0,0x4b08,0xdd76,33,
10,7,10,33,1,1,0,35,35,0.7714285714285715,0.7714285714285715,0.3142857142857143,0.3142857142857143,0.5428571428571428,0.5428571428571428,0.22857142857142865,-0.22857142857142854,6,29,0.17142857142857143,0,6,0.0,28,29,0.9655172413793104,40.563633818597786,0.8656030987605572,0.9072894284294348,0.7783342871678787,0.8226095008354992,-0.15247613502789747,0.9944956971695074,0.11397188771693346,26,64,,4014fe5fd9799124dc8f8039131237163538393a3b3c9f9ebfe041424378564413,0,0xb750,0x4772,33,
11,8,11,33,1,1,0,35,35,0.6285714285714286,0.6285714285714286,0.14285714285714285,0.14285714285714285,0.4857142857142857,0.4857142857142857,0.14285714285714285,-0.34285714285714286,7,28,0.2,0,7,0.0,28,28,1.0,37.083978400435946,0.24341335747990617,0.6750949765495308,0.8085720399726201,0.8414915317443473,-0.2320738201516904,0.9755028748460361,0.3566083003934494,26,64,,4004710c15804a140df8b4bb84266f253bb031bab32c2c3f2f41c0d951d9fe1432,0,0xeb21,0xef4d,33,
12,9,12,33,1,1,0,35,35,0.4857142857142857,0.4857142857142857,0.17142857142857143,0.17142857142857143,0.5142857142857142,0.5142857142857142,-0.028571428571428525,-0.3428571428571428,14,21,0.4,0,14,0.0,20,21,0.9523809523809523,30.82277931249856,0.4939373948231298,0.6874732124229004,0.6746911336401388,0.7784067851374531,-0.08803466818405495,0.94088382237206,0.25195472824642423,26,64,,407490b82b811c210b62742022653437577e19787f380f3f1e614042d369463492,0,0x31d7,0x0853,33,
13,10,13,33,1,1,0,35,35,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.17142857142857143,0.17142857142857143,0.5428571428571429,-0.02857142857142858,17,18,0.4857142857142857,0,17,0.0,17,18,0.9444444444444444,48.0552361199265,0.7923357196450093,0.9089104958122678,0.8749086614505059,0.9003936063512734,-0.11981923041984181,0.9812959272220905,0.14473875765949182,26,64,,40c43b2a910026007810133031163736051b19391a3d3d3e3f4041424378563412,0,0x86c9,0x4607,33,
