packet_index,frame_index,event_index,success,error,payload_len,cr,has_crc,ldro,fft_evidence_mode,payload_hex,observed_crc_valid,crc_computed,crc_received,candidate_payload_count,observed_crc_valid_count,avg_block_candidates,selected_beam_rank,selected_total_score,selected_block_score,selected_projection_score,selected_trajectory_score,selected_source,selected_source_is_argmax_fallback,phase_line_slope_pi,phase_line_r2,phase_gated_evidence,phase_gated_weight,phase_gated_width_pi,phase_gated_trend_source,phase_gated_trend_quality,phase_gated_trend_slope_pi,phase_gated_trend_r2,phase_gated_residual_offset_pi,phase_gated_residual_std_pi,phase_gated_early_anchor_count,likelihood_ms,block_search_ms,global_beam_ms,final_projection_ms,total_ms,gt_compared_symbols,argmax_raw_ser,two_stage_raw_ser,argmax_symbol_ser,two_stage_symbol_ser,topk_recall,mean_gt_rank,ser_delta_raw_argmax_minus_two_stage,ser_delta_symbol_argmax_minus_two_stage,center_argmax_raw_ser,center_argmax_symbol_ser,multi_offset_argmax_raw_ser,multi_offset_argmax_symbol_ser
0,0,0,1,,33,1,1,0,phase-gated,40443322110013005830316233343033b71831b8b1363d3e3f4041424378563412,0,0xcf5c,0x1364,64,0,64.000,46,12.287736893,-0.235966610,-3.078277499,0.780099050,beam,0,-0.011008910,0.123754748,multi-offset,0.200000000,0.500000000,early-payload,0.489545791,-0.031493532,0.635672658,0.000000000,0.121182133,8,39.572,141.338,1.306,72.045,254.706,35,0.17142857142857143,0.14285714285714285,0.17142857142857143,0.14285714285714285,1.0,1.3714285714285714,0.02857142857142857,0.02857142857142857,0.6285714285714286,0.6285714285714286,0.2,0.2
1,1,1,1,,33,1,1,0,phase-gated,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,1,0xdb49,0xdb49,64,2,64.000,5,16.828966097,0.000000000,-2.070055171,0.744951063,beam,0,0.012822774,0.225600475,multi-offset,0.200000000,0.500000000,early-payload,0.527922196,-0.016618550,0.661468201,0.000000000,0.053333857,8,41.415,145.018,1.107,74.468,262.434,35,0.11428571428571428,0.0,0.11428571428571428,0.0,1.0,1.1142857142857143,0.11428571428571428,0.11428571428571428,0.7142857142857143,0.7142857142857143,0.11428571428571428,0.11428571428571428
2,2,2,1,,33,1,1,0,phase-gated,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x9efd,0x9efd,64,1,64.000,0,14.972281394,0.000000000,-2.647327747,0.680980457,beam,0,0.025039469,0.309116361,multi-offset,0.200000000,0.500000000,early-payload,0.179586682,0.008369813,0.091742073,0.000000000,0.191016471,8,42.371,155.996,1.162,76.261,276.211,35,0.05714285714285714,0.0,0.05714285714285714,0.0,1.0,1.2,0.05714285714285714,0.05714285714285714,0.6285714285714286,0.6285714285714286,0.08571428571428572,0.08571428571428572
3,3,3,1,,33,1,1,0,phase-gated,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x5021,0x5021,64,1,64.000,12,15.326082906,-0.017551214,-2.982054496,0.716284431,beam,0,0.033149252,0.522380101,multi-offset,0.200000000,0.500000000,early-payload,0.312758643,0.009273741,0.328888050,0.000000000,0.153141462,8,42.527,142.551,1.222,72.322,259.048,35,0.08571428571428572,0.0,0.08571428571428572,0.0,0.9714285714285714,2.4,0.08571428571428572,0.08571428571428572,0.6571428571428571,0.6571428571428571,0.08571428571428572,0.08571428571428572
4,4,4,1,,33,1,1,0,phase-gated,40443322110077603e503132333435363738393a3b0c0d3d3c7042424378563412,0,0x042e,0x1595,64,0,64.000,1,8.607565490,0.000000000,-4.400935727,0.650425061,beam,0,-0.014733096,0.043863595,multi-offset,0.200000000,0.500000000,early-payload,0.421034369,0.057443087,0.600419162,0.000000000,0.268998956,8,43.644,152.254,1.201,75.261,272.794,35,0.14285714285714285,0.11428571428571428,0.14285714285714285,0.11428571428571428,0.9714285714285714,3.085714285714286,0.02857142857142857,0.02857142857142857,0.8285714285714286,0.8285714285714286,0.14285714285714285,0.14285714285714285
5,5,5,1,,33,1,1,0,phase-gated,4014598eb46fe8aa9ec532c438ba39291ed81934b530973c3fca438e8a2dceac1d,0,0x26d0,0xb603,64,0,64.000,10,0.752053707,-0.020929556,-4.407374793,0.259017903,beam,0,-0.025635923,0.008393702,multi-offset,0.200000000,0.500000000,early-payload,0.597182638,-0.392924479,0.955670905,0.000000000,0.268432108,8,41.054,147.005,1.155,71.741,261.383,35,0.7714285714285715,0.8,0.7714285714285715,0.8,0.6857142857142857,46.542857142857144,-0.02857142857142857,-0.02857142857142857,0.9142857142857143,0.9142857142857143,0.7714285714285715,0.7714285714285715
6,6,6,1,,33,1,1,0,phase-gated,4054622605401989d930295b3ffe36ac3438292b3aaca4aea6d961020158306087,0,0x53d0,0x5ceb,64,0,64.000,14,2.266038551,-0.042921060,-5.822993901,0.406597676,beam,0,0.005300765,0.000476091,multi-offset,0.200000000,0.500000000,early-payload,0.305587712,0.105558665,0.479686277,0.000000000,0.464632605,8,39.177,145.424,1.191,73.407,259.611,35,0.5428571428571428,0.5714285714285714,0.5428571428571428,0.5714285714285714,0.7714285714285715,31.4,-0.02857142857142857,-0.02857142857142857,0.9428571428571428,0.9428571428571428,0.5428571428571428,0.5428571428571428
7,7,7,1,,33,1,1,0,phase-gated,4064312231228a0008f0613733343536573b0a5a6b3f2f3f1e402007807a166742,0,0x0452,0x0b32,64,0,64.000,4,4.060655668,-0.116999860,-4.008247741,0.409295163,beam,0,-0.282251609,0.820874478,multi-offset,0.200000000,0.500000000,early-payload,0.320326088,-0.087113400,0.431766650,0.000000000,0.333725367,8,49.222,169.977,1.295,74.437,295.411,35,0.45714285714285713,0.5142857142857142,0.45714285714285713,0.5142857142857142,0.9142857142857143,10.4,-0.05714285714285714,-0.05714285714285714,0.8857142857142857,0.8857142857142857,0.45714285714285713,0.45714285714285713
8,8,8,1,,33,1,1,0,phase-gated,40c47be833204f55c8f038fb5413fe503138393a3b0c2c1e3e4060e061f8f49630,0,0xbb2e,0x3e26,64,0,64.000,15,2.028971934,-0.310526203,-4.604034720,0.347176643,beam,0,0.026848524,0.013553347,multi-offset,0.200000000,0.500000000,early-payload,0.411532227,-0.323431433,0.805149004,0.000000000,0.538402936,8,40.974,147.118,1.044,70.773,260.333,35,0.5428571428571428,0.6,0.5428571428571428,0.6,0.8285714285714286,30.8,-0.05714285714285714,-0.05714285714285714,0.9428571428571428,0.9428571428571428,0.5142857142857142,0.5142857142857142
9,9,9,1,,33,1,1,0,phase-gated,4044334727660a10c928a872333031363338393a3b2c3e0f0f70e342c372563e12,0,0x93f1,0xe69b,64,0,64.000,2,2.929334092,-0.000764798,-4.749020707,0.383955980,beam,0,-0.290661582,0.830102958,multi-offset,0.200000000,0.500000000,early-payload,0.472159118,0.258229369,0.827127887,0.000000000,0.414486921,8,41.965,142.830,1.070,70.201,256.478,35,0.4,0.45714285714285713,0.4,0.45714285714285713,0.9428571428571428,9.114285714285714,-0.05714285714285714,-0.05714285714285714,0.8,0.8,0.42857142857142855,0.42857142857142855
