packet_index,frame_index,event_index,success,error,payload_len,cr,has_crc,ldro,fft_evidence_mode,payload_hex,observed_crc_valid,crc_computed,crc_received,candidate_payload_count,observed_crc_valid_count,avg_block_candidates,selected_beam_rank,selected_total_score,selected_block_score,selected_projection_score,selected_source,selected_source_is_argmax_fallback,phase_line_slope_pi,phase_line_r2,phase_gated_evidence,phase_gated_weight,phase_gated_width_pi,phase_gated_trend_source,phase_gated_trend_quality,phase_gated_trend_slope_pi,phase_gated_trend_r2,phase_gated_residual_offset_pi,phase_gated_residual_std_pi,phase_gated_early_anchor_count,likelihood_ms,block_search_ms,global_beam_ms,final_projection_ms,total_ms,gt_compared_symbols,argmax_raw_ser,two_stage_raw_ser,argmax_symbol_ser,two_stage_symbol_ser,topk_recall,mean_gt_rank,ser_delta_raw_argmax_minus_two_stage,ser_delta_symbol_argmax_minus_two_stage,center_argmax_raw_ser,center_argmax_symbol_ser,multi_offset_argmax_raw_ser,multi_offset_argmax_symbol_ser
1,0,1,1,,33,1,1,0,phase-gated,40641120330022005810313233f4b97e37b0393a3b343d36b7485143daf1560522,0,0xbe1d,0x5c37,64,0,64.000,-1,-7.025658349,0.000000000,-7.025658349,argmax_fallback,1,0.016597208,0.206495544,multi-offset,0.200000000,0.333333000,early-payload,0.362855925,-0.025834860,0.450706345,0.000000000,0.210658795,8,45.894,172.108,1.509,41.321,261.305,35,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.9142857142857143,12.285714285714286,0.0,0.0,0.8,0.8,0.45714285714285713,0.45714285714285713
2,1,2,1,,33,1,1,0,phase-gated,4064112233200100582121121334331631183918393e2c3e3e51e0605150fe3e13,0,0xcec5,0x09a0,64,0,64.000,-1,-8.346224775,0.000000000,-8.346224775,argmax_fallback,1,-0.043025085,0.559330054,multi-offset,0.200000000,0.333333000,early-payload,0.627343096,-0.080257793,0.978532594,0.000000000,0.229117326,8,58.091,213.925,2.414,44.127,318.998,35,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.9428571428571428,11.485714285714286,0.0,0.0,0.8857142857142857,0.8857142857142857,0.4,0.4
3,2,3,1,,33,1,1,0,phase-gated,40a49a5847b30a00d8b031b29234bdac3d3c7d7a3f1c5b5c5d6643424378560423,0,0x1a0a,0xf08e,64,0,64.000,-1,-6.974708522,0.000000000,-6.974708522,argmax_fallback,1,-0.005789627,0.052666448,multi-offset,0.200000000,0.333333000,early-payload,0.484902476,-0.293894490,0.875540829,0.000000000,0.433801761,8,60.118,164.583,1.590,39.268,265.983,35,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9142857142857143,14.914285714285715,0.0,0.0,0.6857142857142857,0.6857142857142857,0.4,0.4
5,3,5,1,,33,1,1,0,phase-gated,40543333000107005830313233343536773c3936fb203c2eaf584046077c563418,0,0x62e6,0xc947,64,0,64.000,-1,-5.720194388,0.000000000,-5.720194388,argmax_fallback,1,-0.072725358,0.644281111,multi-offset,0.200000000,0.333333000,early-payload,0.543246520,-0.081421309,0.768390518,0.000000000,0.170676028,8,45.230,182.197,2.303,50.756,280.913,35,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.8857142857142857,13.542857142857143,0.0,0.0,0.7142857142857143,0.7142857142857143,0.37142857142857144,0.37142857142857144
6,4,6,1,,33,1,1,0,phase-gated,40443322110027225a301332373031762329383b2b3db5b63f4041601138141614,0,0x1013,0x2a37,64,0,64.000,-1,-4.627586730,0.000000000,-4.627586730,argmax_fallback,1,-0.039914608,0.246140848,multi-offset,0.200000000,0.333333000,early-payload,0.524753008,-0.096333251,0.790511785,0.000000000,0.245328146,8,49.447,177.315,1.242,40.000,268.460,35,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.9714285714285714,7.685714285714286,0.0,0.0,0.7428571428571429,0.7428571428571429,0.3142857142857143,0.3142857142857143
8,5,8,1,,33,1,1,0,phase-gated,404433331101080058303132337035723338393a3b1c0e2d2f5102004db2f03616,0,0x8234,0x46e6,64,0,64.000,-1,-5.182868084,0.000000000,-5.182868084,argmax_fallback,1,-0.038498629,0.630434965,multi-offset,0.200000000,0.333333000,early-payload,0.536845165,-0.075854632,0.891238637,0.000000000,0.332293065,8,44.949,165.950,1.145,45.164,257.638,35,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.9142857142857143,11.114285714285714,0.0,0.0,0.8,0.8,0.3142857142857143,0.3142857142857143
9,6,9,1,,33,1,1,0,phase-gated,40047b22d9400200583031120334153437b9312a333c283f3a45e148e9725c761a,0,0x0be5,0xc076,64,0,64.000,-1,-5.410571732,0.000000000,-5.410571732,argmax_fallback,1,-0.011799540,0.119107030,multi-offset,0.200000000,0.333333000,early-payload,0.246812344,-0.036914730,0.239461925,0.000000000,0.245506697,8,51.574,177.111,1.220,46.262,276.606,35,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.8571428571428571,10.628571428571428,0.0,0.0,0.8285714285714286,0.8285714285714286,0.4857142857142857,0.4857142857142857
10,7,10,1,,33,1,1,0,phase-gated,40c433221188a38bf8ba027b77707132131a391a3bbeb5be3fc86140615a763610,0,0x29ad,0x0542,64,0,64.000,-1,-7.835866084,0.000000000,-7.835866084,argmax_fallback,1,-0.022121336,0.199151175,multi-offset,0.200000000,0.333333000,early-payload,0.332533179,-0.038935861,0.405401577,0.000000000,0.237504679,8,59.230,192.668,1.351,38.347,292.574,35,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,1.0,3.657142857142857,0.0,0.0,0.7714285714285715,0.7714285714285715,0.3142857142857143,0.3142857142857143
11,8,11,1,,33,1,1,0,phase-gated,4044332211008cc81cbcb11a133415363738393a3b3c3d3e3f4051535369563492,0,0x95c0,0xcd6f,64,0,64.000,-1,-4.560685469,0.000000000,-4.560685469,argmax_fallback,1,0.123450403,0.292590243,multi-offset,0.200000000,0.333333000,early-payload,0.331990784,0.175215221,0.576968940,0.000000000,0.509089843,8,44.790,192.447,1.467,49.283,288.419,35,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,1.457142857142857,0.0,0.0,0.6285714285714286,0.6285714285714286,0.14285714285714285,0.14285714285714285
12,9,12,1,,33,1,1,0,phase-gated,4044332211000d025830313273343536333a193a193e3d3e3f4041424378563412,0,0xb3f2,0x88db,64,0,64.000,-1,-5.903264589,0.000000000,-5.903264589,argmax_fallback,1,-0.062618104,0.075687605,multi-offset,0.200000000,0.333333000,early-payload,0.545553656,0.224438093,0.899084869,0.000000000,0.321096690,8,46.741,200.627,1.286,38.099,287.458,35,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.9714285714285714,2.7142857142857144,0.0,0.0,0.4857142857142857,0.4857142857142857,0.17142857142857143,0.17142857142857143
