packet_index,frame_index,event_index,success,error,payload_len,cr,has_crc,ldro,fft_evidence_mode,payload_hex,observed_crc_valid,crc_computed,crc_received,candidate_payload_count,observed_crc_valid_count,avg_block_candidates,selected_beam_rank,selected_total_score,selected_block_score,selected_projection_score,selected_trajectory_score,selected_source,selected_source_is_argmax_fallback,phase_line_slope_pi,phase_line_r2,phase_gated_evidence,phase_gated_weight,phase_gated_width_pi,phase_gated_trend_source,phase_gated_trend_quality,phase_gated_trend_slope_pi,phase_gated_trend_r2,phase_gated_residual_offset_pi,phase_gated_residual_std_pi,phase_gated_early_anchor_count,likelihood_ms,block_search_ms,global_beam_ms,final_projection_ms,total_ms,gt_compared_symbols,argmax_raw_ser,two_stage_raw_ser,argmax_symbol_ser,two_stage_symbol_ser,topk_recall,mean_gt_rank,ser_delta_raw_argmax_minus_two_stage,ser_delta_symbol_argmax_minus_two_stage,center_argmax_raw_ser,center_argmax_symbol_ser,multi_offset_argmax_raw_ser,multi_offset_argmax_symbol_ser
0,0,0,1,,33,1,1,0,phase-gated,400477665500130058303162777470773338393a3b3c35beb7c841424378563492,0,0x3654,0x9b64,64,0,64.000,-1,-3.785898512,0.000000000,-4.509656256,0.361878872,argmax_fallback,1,-0.011008910,0.123754748,multi-offset,0.200000000,0.500000000,early-payload,0.489545791,-0.031493532,0.635672658,0.000000000,0.121182133,8,50.552,186.888,1.673,93.232,332.838,35,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,1.0,1.3714285714285714,0.0,0.0,0.6285714285714286,0.6285714285714286,0.2,0.2
1,1,1,1,,33,1,1,0,phase-gated,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,1,0xdb49,0xdb49,64,2,64.000,5,3.419846956,0.000000000,-2.070055171,0.744951063,beam,0,0.012822774,0.225600475,multi-offset,0.200000000,0.500000000,early-payload,0.527922196,-0.016618550,0.661468201,0.000000000,0.053333857,8,52.358,158.817,1.182,80.144,292.955,35,0.11428571428571428,0.0,0.11428571428571428,0.0,1.0,1.1142857142857143,0.11428571428571428,0.11428571428571428,0.7142857142857143,0.7142857142857143,0.11428571428571428,0.11428571428571428
2,2,2,1,,33,1,1,0,phase-gated,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x9efd,0x9efd,64,1,64.000,0,2.714633168,0.000000000,-2.647327747,0.680980457,beam,0,0.025039469,0.309116361,multi-offset,0.200000000,0.500000000,early-payload,0.179586682,0.008369813,0.091742073,0.000000000,0.191016471,8,58.430,175.572,1.171,77.696,313.303,35,0.05714285714285714,0.0,0.05714285714285714,0.0,1.0,1.2,0.05714285714285714,0.05714285714285714,0.6285714285714286,0.6285714285714286,0.08571428571428572,0.08571428571428572
3,3,3,1,,33,1,1,0,phase-gated,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x5021,0x5021,64,1,64.000,12,2.432963152,-0.017551214,-2.982054496,0.716284431,beam,0,0.033149252,0.522380101,multi-offset,0.200000000,0.500000000,early-payload,0.312758643,0.009273741,0.328888050,0.000000000,0.153141462,8,42.409,160.967,1.229,75.153,280.192,35,0.08571428571428572,0.0,0.08571428571428572,0.0,0.9714285714285714,2.4,0.08571428571428572,0.08571428571428572,0.6571428571428571,0.6571428571428571,0.08571428571428572,0.08571428571428572
4,4,4,1,,33,1,1,0,phase-gated,40442222000057623e523132333435363738393a3b0c2d3d1c7040424378563412,0,0x57d7,0x1595,64,0,64.000,-1,-3.828035869,0.000000000,-4.818681722,0.495322926,argmax_fallback,1,-0.014733096,0.043863595,multi-offset,0.200000000,0.500000000,early-payload,0.421034369,0.057443087,0.600419162,0.000000000,0.268998956,8,42.249,157.046,1.265,76.095,277.102,35,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.9714285714285714,3.085714285714286,0.0,0.0,0.8285714285714286,0.8285714285714286,0.14285714285714285,0.14285714285714285
5,5,5,1,,33,1,1,0,phase-gated,401419cab46becaa8ec433c5189a192b1c981930b1b49fbc3fca438e8a2dceac0d,0,0xaabe,0xa612,64,0,64.000,-1,-6.690895427,0.000000000,-7.161139789,0.235122181,argmax_fallback,1,-0.025635923,0.008393702,multi-offset,0.200000000,0.500000000,early-payload,0.597182638,-0.392924479,0.955670905,0.000000000,0.268432108,8,43.215,148.632,1.231,76.112,269.944,35,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.6857142857142857,46.542857142857144,0.0,0.0,0.9142857142857143,0.9142857142857143,0.7714285714285715,0.7714285714285715
6,6,6,1,,33,1,1,0,phase-gated,4054622605401988d830396a3efd37bd3638292b3abca4bfb7c86144017c346287,0,0xf047,0xdce3,64,0,64.000,-1,-4.918022560,0.000000000,-5.544133859,0.313055650,argmax_fallback,1,0.005300765,0.000476091,multi-offset,0.200000000,0.500000000,early-payload,0.305587712,0.105558665,0.479686277,0.000000000,0.464632605,8,42.735,149.774,1.169,96.026,290.134,35,0.5428571428571428,0.5428571428571428,0.5428571428571428,0.5428571428571428,0.7714285714285715,31.4,0.0,0.0,0.9428571428571428,0.9428571428571428,0.5428571428571428,0.5428571428571428
7,7,7,1,,33,1,1,0,phase-gated,4064312231228a0048b0213333343536573b1b5a7b3e3e2f0e413102812b077752,0,0x4987,0x1b32,64,0,64.000,-1,-3.934072904,0.000000000,-4.728017443,0.396972269,argmax_fallback,1,-0.282251609,0.820874478,multi-offset,0.200000000,0.500000000,early-payload,0.320326088,-0.087113400,0.431766650,0.000000000,0.333725367,8,48.507,157.800,1.384,77.827,285.940,35,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.9142857142857143,10.4,0.0,0.0,0.8857142857142857,0.8857142857142857,0.45714285714285713,0.45714285714285713
8,8,8,1,,33,1,1,0,phase-gated,40c43ba833020b51c8b43cfb5512ff503138393a3b0c3d0f2e4060e043faf6b630,0,0xa2c9,0x1e04,64,0,64.000,-1,-5.295872880,0.000000000,-5.766313723,0.235220422,argmax_fallback,1,0.026848524,0.013553347,multi-offset,0.200000000,0.500000000,early-payload,0.411532227,-0.323431433,0.805149004,0.000000000,0.538402936,8,43.241,155.245,1.140,74.151,274.215,35,0.5428571428571428,0.5428571428571428,0.5428571428571428,0.5428571428571428,0.8285714285714286,30.8,0.0,0.0,0.9428571428571428,0.9428571428571428,0.5142857142857142,0.5142857142857142
9,9,9,1,,33,1,1,0,phase-gated,4044336615440800d929b87333303136131a3b18190e3c0d0d72e340c352763c12,0,0xb887,0xc6bb,64,0,64.000,-1,-7.010376364,0.000000000,-7.563607159,0.276615398,argmax_fallback,1,-0.290661582,0.830102958,multi-offset,0.200000000,0.500000000,early-payload,0.472159118,0.258229369,0.827127887,0.000000000,0.414486921,8,41.929,154.065,1.214,76.892,274.530,35,0.4,0.4,0.4,0.4,0.9428571428571428,9.114285714285714,0.0,0.0,0.8,0.8,0.42857142857142855,0.42857142857142855
