packet_index,frame_index,event_index,success,error,payload_len,cr,has_crc,ldro,payload_hex,observed_crc_valid,crc_computed,crc_received,candidate_payload_count,observed_crc_valid_count,avg_block_candidates,selected_beam_rank,selected_total_score,selected_block_score,selected_projection_score,selected_source,selected_source_is_argmax_fallback,phase_line_slope_pi,phase_line_r2,likelihood_ms,block_search_ms,global_beam_ms,final_projection_ms,total_ms,gt_compared_symbols,argmax_raw_ser,two_stage_raw_ser,argmax_symbol_ser,two_stage_symbol_ser,topk_recall,mean_gt_rank,ser_delta_raw_argmax_minus_two_stage,ser_delta_symbol_argmax_minus_two_stage
0,0,0,1,,33,1,1,0,400477665500130058303162777470779312b1b83b3e35beb7c841424378563412,0,0xb38f,0x1364,64,0,64.000,-1,-1.512456591,0.000000000,-1.512456591,argmax_fallback,1,-0.011008910,0.123754748,56.215,184.540,1.371,50.192,292.772,35,0.2,0.2,0.2,0.2,1.0,1.7428571428571429,0.0,0.0
1,1,1,1,,33,1,1,0,404433221100140158303132777471763738393a3b3c3d3e3f4041424378563412,0,0x291a,0xdb49,64,0,64.000,-1,-1.043720973,0.000000000,-1.043720973,argmax_fallback,1,0.012822774,0.225600475,56.069,156.610,1.078,40.638,255.216,35,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428,1.0,1.1142857142857143,0.0,0.0
2,2,2,1,,33,1,1,0,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x9efd,0x9efd,64,1,64.000,0,3.336805885,0.000000000,-0.663194115,beam,0,0.025039469,0.309116361,45.912,170.562,1.098,38.052,256.046,35,0.08571428571428572,0.0,0.08571428571428572,0.0,1.0,1.2571428571428571,0.08571428571428572,0.08571428571428572
3,3,3,1,,33,1,1,0,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x5021,0x5021,64,1,64.000,13,3.153085489,-0.012464439,-0.834450072,beam,0,0.033149252,0.522380101,46.305,154.940,1.102,37.789,240.638,35,0.08571428571428572,0.0,0.08571428571428572,0.0,0.9714285714285714,2.3714285714285714,0.08571428571428572,0.08571428571428572
4,4,4,1,,33,1,1,0,40442222000057601c501132333435363738393a3b0c2d1d1e7040424378563412,0,0x5eab,0x1595,64,0,64.000,-1,-1.405586974,0.000000000,-1.405586974,argmax_fallback,1,-0.014733096,0.043863595,45.947,155.868,1.099,37.250,240.574,35,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.9714285714285714,2.857142857142857,0.0,0.0
5,5,5,1,,33,1,1,0,401419cab46becaa8ec433e53a983b091e18193839b49fbc3fca438f9b3ccfbd1c,0,0x42fb,0xb613,64,0,64.000,-1,-2.048569335,0.000000000,-2.048569335,argmax_fallback,1,-0.025635923,0.008393702,44.917,157.184,1.140,39.020,242.677,35,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7142857142857143,45.51428571428571,0.0,0.0
6,6,6,1,,33,1,1,0,4054622605401988d830396a3efd37bd3638292b3abcb5afb7d86046015c347087,0,0x3c75,0xcdf3,64,0,64.000,-1,-1.567348300,0.000000000,-1.567348300,argmax_fallback,1,0.005300765,0.000476091,50.171,167.978,1.171,37.260,257.287,35,0.5428571428571428,0.5428571428571428,0.5428571428571428,0.5428571428571428,0.7428571428571429,31.82857142857143,0.0,0.0
7,7,7,1,,33,1,1,0,4064312231228a0048b0213333343536573b1b5a7b3e3e2f0e413102812b077752,0,0x4987,0x1b32,64,0,64.000,-1,-1.268249914,0.000000000,-1.268249914,argmax_fallback,1,-0.282251609,0.820874478,51.824,176.941,1.830,38.888,269.947,35,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.9142857142857143,10.685714285714285,0.0,0.0
8,8,8,1,,33,1,1,0,40c43ba833020b51c8b43cfb7730f9323738393a3b1c2d1e3e4161e043faf6b612,0,0x3025,0x1e26,64,0,64.000,-1,-1.320357442,0.000000000,-1.320357442,argmax_fallback,1,0.026848524,0.013553347,46.989,150.797,1.330,37.409,236.944,35,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.8285714285714286,30.685714285714287,0.0,0.0
9,9,9,1,,33,1,1,0,4044336615441810c838b97322203126321a1b18192e3c2f0f5263c04bdafe3430,0,0xed9a,0xc6b9,64,0,64.000,-1,-1.681921468,0.000000000,-1.681921468,argmax_fallback,1,-0.290661582,0.830102958,44.053,144.221,1.287,36.026,226.000,35,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9428571428571428,9.0,0.0,0.0
