payload_symbol_index,frame_count,mode_raw_fft_bin,mode_signed_fft_bin,mode_symbol_value,mode_raw_count,mode_symbol_count,raw_mismatch_count,raw_unique_count,symbol_unique_count,unique_raw_fft_bins,unique_symbol_values,mismatch_frame_indices,mismatch_packet_indices,mismatch_event_indices
0,15,803,-221,802,13,13,2,2,2,802 803,801 802,3 5,4 6,4 6
1,15,711,-313,710,13,13,2,2,2,710 711,709 710,3 5,4 6,4 6
2,15,922,-102,921,13,13,2,2,2,921 922,920 921,3 5,4 6,4 6
3,15,718,-306,717,13,13,2,2,2,717 718,716 717,3 5,4 6,4 6
4,15,756,-268,755,13,13,2,2,2,755 756,754 755,3 5,4 6,4 6
5,15,109,109,108,13,13,2,2,2,108 109,107 108,3 5,4 6,4 6
6,15,932,-92,931,13,13,2,2,2,931 932,930 931,3 5,4 6,4 6
7,15,468,468,467,13,13,2,2,2,467 468,466 467,3 5,4 6,4 6
8,15,89,89,88,13,13,2,2,2,88 89,87 88,3 5,4 6,4 6
9,15,713,-311,712,13,13,2,2,2,712 713,711 712,3 5,4 6,4 6
10,15,865,-159,864,13,13,2,2,2,864 865,863 864,3 5,4 6,4 6
11,15,92,92,91,13,13,2,2,2,91 92,90 91,3 5,4 6,4 6
12,15,645,-379,644,13,13,2,2,2,644 645,643 644,3 5,4 6,4 6
13,15,426,426,425,13,13,2,2,2,425 426,424 425,3 5,4 6,4 6
14,15,765,-259,764,13,13,2,2,2,764 765,763 764,3 5,4 6,4 6
15,15,1023,-1,1022,13,13,2,2,2,1022 1023,1021 1022,3 5,4 6,4 6
16,15,597,-427,596,13,13,2,2,2,596 597,595 596,3 5,4 6,4 6
17,15,562,-462,561,13,13,2,2,2,561 562,560 561,3 5,4 6,4 6
18,15,827,-197,826,13,13,2,2,2,826 827,825 826,3 5,4 6,4 6
19,15,890,-134,889,13,13,2,2,2,889 890,888 889,3 5,4 6,4 6
20,15,174,174,173,13,13,2,2,2,173 174,172 173,3 5,4 6,4 6
21,15,267,267,266,13,13,2,2,2,266 267,265 266,3 5,4 6,4 6
22,15,917,-107,916,13,13,2,2,2,916 917,915 916,3 5,4 6,4 6
23,15,656,-368,655,13,13,2,2,2,655 656,654 655,3 5,4 6,4 6
24,15,889,-135,888,13,13,2,2,2,888 889,887 888,3 5,4 6,4 6
25,15,66,66,65,13,13,2,2,2,65 66,64 65,3 5,4 6,4 6
26,15,586,-438,585,13,13,2,2,2,585 586,584 585,3 5,4 6,4 6
27,15,425,425,424,13,13,2,2,2,424 425,423 424,3 5,4 6,4 6
28,15,860,-164,859,13,13,2,2,2,859 860,858 859,3 5,4 6,4 6
29,15,553,-471,552,13,13,2,2,2,552 553,551 552,3 5,4 6,4 6
30,15,629,-395,628,13,13,2,2,2,628 629,627 628,3 5,4 6,4 6
31,15,759,-265,758,13,13,2,2,2,758 759,757 758,3 5,4 6,4 6
32,15,494,494,493,13,13,2,2,2,493 494,492 493,3 5,4 6,4 6
33,15,303,303,302,13,13,2,2,2,302 303,301 302,3 5,4 6,4 6
34,15,1022,-2,1021,13,13,2,2,2,1021 1022,1020 1021,3 5,4 6,4 6
35,15,720,-304,719,13,13,2,2,2,719 720,718 719,3 5,4 6,4 6
36,15,314,314,313,13,13,2,2,2,313 314,312 313,3 5,4 6,4 6
37,15,602,-422,601,13,13,2,2,2,601 602,600 601,3 5,4 6,4 6
38,15,7,7,6,13,13,2,2,2,6 7,5 6,3 5,4 6,4 6
39,15,414,414,413,13,13,2,2,2,413 414,412 413,3 5,4 6,4 6
40,15,807,-217,806,13,13,2,2,2,806 807,805 806,3 5,4 6,4 6
41,15,195,195,194,13,13,2,2,2,194 195,193 194,3 5,4 6,4 6
42,15,826,-198,825,13,13,2,2,2,825 826,824 825,3 5,4 6,4 6
43,15,928,-96,927,13,13,2,2,2,927 928,926 927,3 5,4 6,4 6
44,15,761,-263,760,13,13,2,2,2,760 761,759 760,3 5,4 6,4 6
45,15,590,-434,589,13,13,2,2,2,589 590,588 589,3 5,4 6,4 6
46,15,383,383,382,13,13,2,2,2,382 383,381 382,3 5,4 6,4 6
47,15,267,267,266,13,13,2,2,2,266 267,265 266,3 5,4 6,4 6
48,15,314,314,313,13,13,2,2,2,313 314,312 313,3 5,4 6,4 6
