packet_index,event_index,candidate_index,selected,candidate_values,candidate_payload_hex,score,signal_score,prior_score,score_mode,known_symbols,mean_phase_score,mean_amp_score,mean_profile_score,line_rmse_pi,line_r2,map_phase_ll,map_line_ll,map_amp_ll,map_profile_ll
1,1,50,1,6:32,404433221100320058303132333435363738393a3b3c3d3e3f4041424378563412,-0.167855110,-0.167855110,0.000000000,map,10,0.692036707,0.369468675,0.000000000,0.095782197,0.755175270,0.768146829,-0.050967940,-1.672039236,0.000000000
1,1,82,0,6:52,404433221100520058303132333435363738393a3b3c3d3e3f4041424378563412,-0.197334520,-0.197334520,0.000000000,map,10,0.680160949,0.380834876,0.000000000,0.092519136,0.793638583,0.720643794,-0.047554392,-1.768591363,0.000000000
1,1,52,0,6:34,404433221100340058303132333435363738393a3b3c3d3e3f4041424378563412,-0.221840127,-0.221840127,0.000000000,map,10,0.639124884,0.371873273,0.000000000,0.108049153,0.536355198,0.556499535,-0.064858997,-1.642677558,0.000000000
1,1,114,0,6:72,404433221100720058303132333435363738393a3b3c3d3e3f4041424378563412,-0.239980847,-0.239980847,0.000000000,map,10,0.656114434,0.378568360,0.000000000,0.132832990,0.627517644,0.624457738,-0.098025574,-1.735412471,0.000000000
1,1,84,0,6:54,404433221100540058303132333435363738393a3b3c3d3e3f4041424378563412,-0.250240544,-0.250240544,0.000000000,map,10,0.627249125,0.383239475,0.000000000,0.103304131,0.586584520,0.508996500,-0.059287464,-1.739229685,0.000000000
1,1,98,0,6:62,404433221100620058303132333435363738393a3b3c3d3e3f4041424378563412,-0.254637739,-0.254637739,0.000000000,map,10,0.677880298,0.369889770,0.000000000,0.092519136,0.793638583,0.711521193,-0.047554392,-2.043704207,0.000000000
1,1,18,0,6:12,404433221100120058303132333435363738393a3b3c3d3e3f4041424378563412,-0.261187474,-0.261187474,0.000000000,map,10,0.666002508,0.365368401,0.000000000,0.131461362,0.680188495,0.664010031,-0.096011609,-1.895920887,0.000000000
1,1,116,0,6:74,404433221100740058303132333435363738393a3b3c3d3e3f4041424378563412,-0.274489908,-0.274489908,0.000000000,map,10,0.603202611,0.380972958,0.000000000,0.114602137,0.474456986,0.412810444,-0.072964721,-1.706050793,0.000000000
1,1,2,0,6:02,404433221100020058303132333435363738393a3b3c3d3e3f4041424378563412,-0.278558123,-0.278558123,0.000000000,map,10,0.687768372,0.356689812,0.000000000,0.095782197,0.755175270,0.751073486,-0.050967940,-2.204212623,0.000000000
1,1,242,0,6:f2,404433221100f20058303132333435363738393a3b3c3d3e3f4041424378563412,-0.300839916,-0.300839916,0.000000000,map,10,0.654077417,0.304396993,0.000000000,0.132832990,0.627517644,0.616309666,-0.098025574,-2.029522727,0.000000000
1,1,20,0,6:14,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,-0.301176274,-0.301176274,0.000000000,map,10,0.613090684,0.367772999,0.000000000,0.121424223,0.390226888,0.452362737,-0.081910233,-1.866559209,0.000000000
1,1,49,0,6:31,404433221100310058303132333435363738393a3b3c3d3e3f4041424378563412,-0.306820275,-0.306820275,0.000000000,map,10,0.630728566,0.273953236,0.000000000,0.130669015,0.501704361,0.522914265,-0.094857731,-1.950599879,0.000000000
