dataset,target_snr_db,noise_seed,error_category,packet_index,payload_symbol_index,gt_bin,selected_bin,gt_symbol,selected_symbol,selected_local_score,gt_local_score,selected_minus_gt_local_score,selected_energy,gt_energy,selected_energy_score,gt_energy_score,selected_minus_gt_energy_db,selected_tau_hat,gt_tau_hat,selected_minus_gt_tau_hat,expected_tau,selected_tau_residual,gt_tau_residual,selected_minus_gt_abs_tau_residual,selected_tau_gain_db,gt_tau_gain_db,selected_minus_gt_tau_gain_db,selected_corrected_coherence,gt_corrected_coherence,selected_minus_gt_corrected_coherence,selected_tau_local_step_abs_mean,gt_tau_local_step_abs_mean,selected_minus_gt_tau_local_step_abs_mean,selected_tau_local_second_abs,gt_tau_local_second_abs,selected_minus_gt_tau_local_second_abs,selected_rank,gt_rank,top1_bin,top1_margin_db,top1_peak_to_median_db,top1_coherence_score,candidate_count,gt_in_candidates,selected_in_candidates,hard_anchor,high_confidence
0_0_0_10_14_16,-26.0,42,E1_gt_in_candidates_local_score_loss,1,0,222,664,221,663,0.823669378005259,0.6449359924482618,0.17873338555699714,0.952209326964212,0.6094769915905687,0.9858412265600865,0.6310036332718889,1.9377511592560017,-0.03125,-0.1875,0.15625,-0.09225872194980422,0.06100872194980422,-0.09524127805019578,-0.034232556100391553,0.08129724835027563,0.7808676699379568,-0.6995704215876811,0.969012384152276,0.911561918556706,0.05745046559556999,0.09375,0.25,-0.15625,nan,nan,nan,2,9,265,0.06193024187809329,10.578477320510192,0.9047491074471619,16,1,1,0,0
0_0_0_10_14_16,-26.0,42,non_e1_gt_not_in_candidates,1,3,718,683,717,682,0.9092785890005143,,,0.6743097471883175,0.34708312796255214,0.9604326563456584,,2.8842593475401257,-0.03125,-0.03125,0.0,-0.11104267750979357,0.07979267750979357,0.07979267750979357,0.0,0.06405263364009939,0.0688008441148554,-0.004748210474756015,0.9017173134054826,0.8036732914727677,0.09804402193271489,0.21875,0.265625,-0.046875,0.25,0.15625,0.09375,2,0,474,0.17533081612092943,9.160640686379644,0.8782738608959462,16,0,1,0,0
0_0_0_10_14_16,-26.0,42,non_e1_gt_not_in_candidates,1,4,107,624,106,623,0.7995435669373759,,,0.8971637897998477,0.5203447251099078,1.0,,2.3658058046821373,-0.125,-0.21875,0.09375,-0.11730399602979003,-0.007696003970209975,-0.10144600397020997,-0.09375,0.5825067340219546,0.39980253928785636,0.18270419473409827,0.97087378991382,0.8531615852145572,0.1177122046992628,0.109375,0.203125,-0.09375,0.21875,0.40625,-0.1875,1,0,624,1.252900673584976,10.600981259038766,0.9651172250758963,4,0,1,0,1
0_0_0_10_14_16,-26.0,42,E1_gt_in_candidates_local_score_loss,1,7,713,998,712,997,0.8964021110794013,0.7470812356903727,0.1493208753890286,0.889460611486502,0.6240383505787719,1.0,0.7015918889717377,1.5391544044472232,-0.09375,0.21875,-0.3125,0.11391204841022062,-0.20766204841022062,0.10483795158977938,0.10282409682044125,0.06338707726636202,0.8042048766398859,-0.7408177993735239,0.9384719737308058,0.9168776775795021,0.021594296151303705,0.09375,0.28125,-0.1875,0.125,0.4375,-0.3125,1,4,998,0.6776835822408694,10.543631018388185,0.9346314024664689,16,1,1,0,0
0_0_0_10_14_16,-26.0,42,non_e1_gt_not_in_candidates,1,8,865,448,864,447,0.7968914065796229,,,0.8148132831304657,0.5160421270057078,1.0,,1.983729436522074,0.0625,0.0,0.0625,0.10765072989022417,-0.04515072989022417,-0.10765072989022417,-0.0625,0.08809901727665215,0.0,0.08809901727665215,0.953745047450662,0.9671329313603413,-0.013387883909679266,0.078125,0.171875,-0.09375,0.15625,0.34375,-0.1875,1,0,448,0.17629329370221175,10.210412815032653,0.9562330264991992,16,0,1,0,0
0_0_0_10_14_16,-26.0,42,non_e1_gt_not_in_candidates,1,9,492,740,491,739,0.8045063281168356,,,1.0941574064204929,0.48150480511993976,1.0,,3.564791789952852,0.0625,0.125,-0.0625,0.10138941137022772,-0.03888941137022772,0.023610588629772278,0.015278822740455444,0.1441931242851171,0.5805062758491288,-0.43631315156401174,0.9049185816861091,0.795276701927176,0.10964187975893303,0.078125,0.171875,-0.09375,0.15625,0.34375,-0.1875,1,0,740,0.9116694149273359,11.473157443555618,0.9230050134739184,16,0,1,0,0
0_0_0_10_14_16,-26.0,42,E1_gt_in_candidates_local_score_loss,1,12,597,157,596,156,0.9254791732206608,0.7281504010564045,0.19732877216425626,0.800492339714598,0.5402259848360735,1.0,0.674867151169344,1.7078171041703767,0.15625,0.15625,0.0,0.08260545581023837,0.07364454418976163,0.07364454418976163,0.0,0.38196770049674167,0.8744896275461524,-0.4925219270494108,0.9088937321293206,0.925525125734583,-0.016631393605262446,0.296875,0.296875,0.0,0.34375,0.34375,0.0,1,7,157,0.5552800127729646,9.875676479293563,0.8365484335634785,16,1,1,0,0
0_0_0_10_14_16,-26.0,42,non_e1_gt_not_in_candidates,1,15,267,587,266,586,0.9291895701737012,,,0.79737737005971,0.27954958801368335,0.9808014246659819,,4.552050494685703,0.03125,0.09375,-0.0625,0.06382150025024902,-0.03257150025024902,0.02992849974975098,0.0026430005004980384,0.04730861849037336,0.3330199382931501,-0.2857113198027767,0.9565309942067409,0.9512756112451792,0.005255382961561694,0.046875,0.109375,-0.0625,0.09375,0.21875,-0.125,2,0,728,0.08418911989480402,10.350366456295605,0.9662591428519545,16,0,1,0,0
0_0_0_10_14_16,-26.0,42,non_e1_gt_not_in_candidates,1,19,510,547,509,546,0.8508212012655907,,,0.6680582458189157,0.24678507619319134,0.8778245382997832,,4.324954357325187,-0.03125,0.28125,-0.3125,0.03877622617026333,-0.07002622617026333,0.24247377382973667,-0.17244754765947334,0.07671204446900659,2.002113336878429,-1.9254012924094226,0.8588789600155872,0.9022530327657668,-0.04337407275017968,0.078125,0.25,-0.171875,0.15625,0.5,-0.34375,3,0,641,0.05576382025295558,9.707197581031632,0.9025881688302781,16,0,1,0,0
0_0_0_10_14_16,-26.0,42,E1_gt_in_candidates_local_score_loss,1,20,860,173,859,172,0.8160002749270897,0.8002264011135896,0.01577387381350015,0.7860344368686043,0.6737074646089383,1.0,0.8570966270801658,0.6697021396696119,-0.15625,0.125,-0.28125,0.03251490765026688,-0.18876490765026688,0.09248509234973312,0.09627981530053376,0.6737403079524606,0.5461172504297012,0.1276230575227595,0.8593480550824448,0.8293952083351382,0.029952846747306583,0.09375,0.140625,-0.046875,0.1875,0.03125,0.15625,1,2,173,0.6697021396696119,10.065140572648641,0.8458740544812967,16,1,1,0,0
