dataset,target_snr_db,noise_seed,error_category,packet_index,payload_symbol_index,gt_bin,selected_bin,gt_symbol,selected_symbol,selected_local_score,gt_local_score,selected_minus_gt_local_score,selected_energy,gt_energy,selected_energy_score,gt_energy_score,selected_minus_gt_energy_db,selected_tau_hat,gt_tau_hat,selected_minus_gt_tau_hat,expected_tau,selected_tau_residual,gt_tau_residual,selected_minus_gt_abs_tau_residual,selected_tau_gain_db,gt_tau_gain_db,selected_minus_gt_tau_gain_db,selected_corrected_coherence,gt_corrected_coherence,selected_minus_gt_corrected_coherence,selected_tau_local_step_abs_mean,gt_tau_local_step_abs_mean,selected_minus_gt_tau_local_step_abs_mean,selected_tau_local_second_abs,gt_tau_local_second_abs,selected_minus_gt_tau_local_second_abs,selected_rank,gt_rank,top1_bin,top1_margin_db,top1_peak_to_median_db,top1_coherence_score,candidate_count,gt_in_candidates,selected_in_candidates,hard_anchor,high_confidence
0_0_0_10_14_16,-26.0,42,E1_gt_in_candidates_local_score_loss,1,21,553,940,552,939,0.8742564202628532,0.7927112451324504,0.08154517513040282,0.6646726672323808,0.5800555593612025,0.9126289475744312,0.7964454095559094,0.5913822651107794,-0.09375,0.0,-0.09375,0.026253589130270427,-0.12000358913027043,-0.026253589130270427,0.09375,0.22444345466070545,0.0,0.22444345466070545,0.9196999876871247,0.925173011174242,-0.005473023487117312,0.03125,0.109375,-0.078125,0.0625,0.03125,0.03125,3,10,843,0.1281563598327239,9.126445229323227,0.9017296817508139,16,1,1,0,0
0_0_0_10_14_16,-26.0,42,non_e1_gt_not_in_candidates,1,23,759,725,758,724,0.9305666552695837,,,0.7062758340939048,0.2224470077939964,1.0,,5.017477784134405,-0.15625,0.03125,-0.1875,0.013730952090277526,-0.16998095209027753,0.017519047909722474,0.15246190418055505,0.6840891825795379,0.014185429334404377,0.6699037532451335,0.855511549360287,0.8663605126200302,-0.010848963259743272,0.15625,0.140625,0.015625,0.3125,0.03125,0.28125,1,0,725,0.8819146582334922,9.57398282056395,0.9043275550048254,16,0,1,0,0
0_0_0_10_14_16,-26.0,42,E1_gt_in_candidates_local_score_loss,1,24,874,744,873,743,0.8626541221728936,0.7168599338816971,0.1457941882911965,1.22465231198845,0.8513069624905825,1.0,0.6951417591400516,1.5792662140354128,0.09375,0.1875,-0.09375,0.007469633570281076,0.08628036642971892,0.18003036642971892,-0.09375,0.45295725868403824,0.8470008352678539,-0.3940435765838156,0.9179755328364787,0.9111722720060761,0.006803260830402613,0.234375,0.234375,0.0,0.46875,0.46875,0.0,1,2,744,1.5792662140354128,11.597371037901967,0.9104922091791362,4,1,1,0,1
0_0_0_10_14_16,-26.0,42,E1_gt_in_candidates_local_score_loss,1,26,314,194,313,193,0.8622693793254395,0.8004931803337875,0.06177619899165199,0.6190496864285855,0.5666239171241081,0.8946638127422687,0.8188969725674757,0.38430605860393907,0.0625,0.0625,0.0,-0.005053003469711825,0.06755300346971183,0.06755300346971183,0.0,0.06564038740525205,0.2211730916056161,-0.15553270420036405,0.9607863347077706,0.824755045617829,0.13603128908994166,0.09375,0.09375,0.0,0.1875,0.1875,0.0,3,7,712,0.20897943626151444,9.136148136074238,0.9704478608146441,16,1,1,0,0
0_0_0_10_14_16,-26.0,42,non_e1_gt_not_in_candidates,1,31,897,961,896,960,0.7909861129407861,,,0.6317326906185059,0.4839318821696139,0.8024002067715348,,1.1574911611771486,-0.03125,-0.03125,0.0,-0.03635959606969408,0.005109596069694078,0.005109596069694078,0.0,0.030426025942737224,0.014448763515262135,0.01597726242747509,0.9093508489103476,0.8030408942909512,0.10630995461939641,0.078125,0.0625,0.015625,0.09375,0.125,-0.03125,5,0,114,0.515985841655422,10.034592562175053,0.9135905068241595,16,0,1,0,0
0_0_0_10_14_16,-26.0,42,non_e1_gt_in_candidates,1,32,749,804,748,803,0.8173980373123608,0.8204974464410765,-0.0030994091287156467,0.9184835107319032,1.1011267148944768,0.8341306212154913,1.0,-0.7876593541598893,-0.0625,-0.03125,-0.03125,-0.04262091458969053,-0.01987908541030947,0.011370914589690528,0.008508170820618943,0.13477106385460072,0.060846915902258394,0.07392414795234233,0.9374057696129876,0.964935634086289,-0.027529864473301413,0.015625,0.0625,-0.046875,0.03125,0.125,-0.09375,2,1,749,0.7876593541598892,11.144909384841402,0.9571887972988027,16,1,1,0,0
0_0_0_10_14_16,-26.0,42,E1_gt_in_candidates_local_score_loss,1,33,584,808,583,807,0.9211372440914618,0.7225648875716829,0.1985723565197789,0.7902345225426224,0.688332844783929,1.0,0.871048815444282,0.5995750551585268,-0.0625,-0.15625,0.09375,-0.04888223310968698,-0.013617766890313021,-0.10736776689031302,-0.09375,0.19000302590731505,0.9178625872599506,-0.7278595613526355,0.922053868180646,0.9260064952328843,-0.0039526270522382,0.125,0.25,-0.125,0.25,0.25,0.0,1,3,808,0.13241604833177273,10.249172035312546,0.9210355632283487,16,1,1,0,0
0_0_0_10_14_16,-26.0,42,E1_gt_in_candidates_local_score_loss,1,34,934,52,933,51,0.8327058153906023,0.6770089954431976,0.1556968199474047,0.6379443108528449,0.5544243638131299,0.8997490134903658,0.7819534807497575,0.6094046196838867,-0.3125,0.46875,0.21875,-0.055143551629683374,-0.2573564483703166,-0.47610644837031657,-0.21874999999999994,0.33460108259892896,0.9148392524394018,-0.5802381698404728,0.8906642953169394,0.9244789277710467,-0.03381463245410732,0.25,0.375,-0.125,nan,nan,nan,6,12,473,0.17218693070316782,9.620565339872364,0.9433127336039527,16,1,1,0,0
0_0_0_10_14_16,-26.0,42,E1_gt_in_candidates_local_score_loss,2,0,803,830,802,829,0.8538046989717558,0.7558625283224905,0.09794217064926536,1.1818256102692573,0.8432881958111729,1.0,0.713547065221446,1.465773757492825,-0.3125,-0.0625,-0.25,-0.026864074998563303,-0.2856359250014367,-0.0356359250014367,0.25,0.7139538355813403,0.12518571583625057,0.5887681197450897,0.9314574469408763,0.9481146296684657,-0.016657182727589426,0.3125,0.0625,0.25,nan,nan,nan,1,3,830,0.3785695392290137,11.687214045016459,0.8426569078544611,16,1,1,0,0
0_0_0_10_14_16,-26.0,42,E1_gt_in_candidates_local_score_loss,2,2,922,358,921,357,0.8975591183268308,0.7244766030465453,0.1730825152802855,1.0126569090798512,0.8101063906316455,1.0,0.7999811025510576,0.9692027195147145,0.09375,-0.0625,0.15625,-0.03930935732366414,0.13305935732366414,-0.02319064267633586,0.10986871464732828,0.5071854317433335,0.10306712623728975,0.4041183055060438,0.8993575074225959,0.9630184555087441,-0.0636609480861482,0.125,0.03125,0.09375,0.25,0.0625,0.1875,1,2,358,0.9692027195147145,10.72322759598812,0.9090168729694154,16,1,1,0,0
0_0_0_10_14_16,-26.0,42,E1_gt_in_candidates_local_score_loss,2,8,865,247,864,246,0.9051138882824168,0.6748133687117961,0.2303005195706207,1.2775097436033889,0.7551760517050212,1.0,0.5911313439965985,2.283160121214837,-0.0625,-0.3125,0.25,-0.0766452042989666,0.014145204298966596,-0.2358547957010334,-0.2217095914020668,0.12716226584703613,0.9217761336468923,-0.7946138677998561,0.942915416496918,0.995954176825496,-0.053038760328578016,0.125,0.09375,0.03125,0.25,0.1875,0.0625,1,2,247,2.283160121214837,12.058910337611959,0.9302192492227285,4,1,1,0,1
0_0_0_10_14_16,-26.0,42,E1_gt_in_candidates_local_score_loss,2,9,492,430,491,429,0.8127859564287532,0.784814704126685,0.027971252302068206,0.6108348282742213,0.6137471243934591,0.8428706981455815,0.8468892788643066,-0.020656788481774744,-0.1875,-0.25,0.0625,-0.08286784546151699,-0.10463215453848301,-0.167132154538483,-0.0625,1.6542948657677112,2.1830346532786162,-0.528739787510905,0.9002554009626388,0.9317014875103508,-0.03144608654771197,0.125,0.125,0.0,0.25,0.125,0.125,5,4,884,0.009360871107256127,9.619113710531645,0.8398178104291847,16,1,1,0,0
0_0_0_10_14_16,-26.0,42,non_e1_gt_not_in_candidates,2,12,597,151,596,150,0.7965692933070136,,,1.2275460085953824,0.32390468657196436,1.0,,5.7862054666186165,-0.03125,-0.21875,0.1875,-0.10153576894916816,0.07028576894916816,-0.11721423105083184,-0.04692846210166368,0.011389700825922243,1.997870499683567,-1.9864807988576447,0.9693221032112868,0.8551894101519069,0.1141326930593799,0.046875,0.296875,-0.25,0.09375,0.40625,-0.3125,1,0,151,2.1248621215445103,11.790276126176046,0.973147024000078,4,0,1,0,1
0_0_0_10_14_16,-26.0,42,non_e1_gt_not_in_candidates,2,13,562,825,561,824,0.8092464407577646,,,0.9042776126262311,0.3427761223308359,1.0,,4.212912175651909,0.03125,0.15625,-0.125,-0.1077584101117186,0.1390084101117186,0.2640084101117186,-0.125,0.06594924092109822,0.8714858356217025,-0.8055365947006042,0.8902824818543922,0.8889626734337822,0.0013198084206099692,0.0625,0.28125,-0.21875,0.125,0.4375,-0.3125,1,0,825,0.9433211587378638,10.6251035100299,0.8850163848957735,16,0,1,0,0
0_0_0_10_14_16,-26.0,42,E1_gt_in_candidates_local_score_loss,2,15,267,986,266,985,0.824233807065455,0.8067433484805241,0.017490458584930924,0.7678276921281082,0.6621994888060421,1.0,0.8624324123693593,0.6427492997663202,0.0625,-0.21875,0.28125,-0.12020369243681939,0.1827036924368194,-0.09854630756318061,0.08415738487363877,0.05464589536489071,0.49650942263797904,-0.4418635272730883,0.8980227277327829,0.8550611359121693,0.042961591820613654,0.265625,0.171875,0.09375,0.46875,0.03125,0.4375,1,3,986,0.4989653349455312,10.180404227398075,0.8694849386932556,16,1,1,0,0
0_0_0_10_14_16,-26.0,42,E1_gt_in_candidates_local_score_loss,2,20,860,739,859,738,0.8291726582480458,0.6545419448691477,0.17463071337889802,0.6495581661307739,0.5232799601526636,0.8177696187464669,0.6587900450250942,0.9388394396301281,0.0625,0.1875,-0.125,0.0986831017504286,-0.0361831017504286,0.0888168982495714,-0.05263379649914279,0.1878916106620639,0.5635913547739748,-0.3756997441119109,0.9930351208206316,0.8950382650393576,0.09799685578127404,0.046875,0.0625,-0.015625,0.09375,0.125,-0.03125,4,10,38,0.3338568316031264,10.017133685645147,0.8922083848015927,16,1,1,0,0
0_0_0_10_14_16,-26.0,42,E1_gt_in_candidates_local_score_loss,2,21,553,397,552,396,0.9335194806462218,0.9169109784708749,0.01660850217534693,0.8787628694244951,0.8504223228990817,0.9903994029050911,0.9584585217716455,0.1423704674438332,0.125,0.15625,-0.03125,0.09246046058787816,0.03253953941212184,0.06378953941212184,-0.03125,0.6627282022792762,0.8970454060950263,-0.23431720381575005,0.9229376470850987,0.9638605408060044,-0.04092289372090563,0.109375,0.0625,0.046875,0.21875,0.0625,0.15625,2,3,529,0.041896301526146096,10.311350705965046,0.9520631010930571,16,1,1,0,0
0_0_0_10_14_16,-26.0,42,E1_gt_in_candidates_local_score_loss,2,22,629,314,628,313,0.8240230565239802,0.7727045250960901,0.05131853142789011,1.1172783198620806,0.8804823066757308,1.0,0.7880599587615909,1.0344073838776588,-0.03125,0.0625,-0.09375,0.08623781942532771,-0.11748781942532771,-0.02373781942532771,0.09375,0.00013595745480087356,0.2414724359451216,-0.24133647849032072,0.9970790063944587,0.9341635993484251,0.0629154070460336,0.140625,0.046875,0.09375,0.28125,0.09375,0.1875,1,2,314,1.0344073838776588,11.229603368064618,0.9972093294157375,16,1,1,0,0
0_0_0_10_14_16,-26.0,42,E1_gt_in_candidates_local_score_loss,2,23,759,276,758,275,0.9394732079845555,0.6816763146153664,0.2577968933691891,1.2579778069280678,0.7586357943233146,1.0,0.6030597599935991,2.196396494693132,0.09375,0.0625,0.03125,0.08001517826277738,0.013734821737222624,-0.017515178262777376,-0.003780356525554751,0.22329372976335843,0.17337126899703098,0.04992246076632745,0.9811950282084502,0.9367100642873755,0.044484963921074705,0.15625,0.0625,0.09375,0.3125,0.125,0.1875,1,2,276,2.196396494693132,11.842739777981908,0.9657790543113314,4,1,1,0,1
0_0_0_10_14_16,-26.0,42,E1_gt_in_candidates_local_score_loss,2,24,874,351,873,350,0.8642260887065447,0.7977709255440455,0.06645516316249922,0.8853175384807663,0.7984429621165532,0.8885298621907508,0.8013400664286157,0.44855170693209934,-0.09375,-0.0625,-0.03125,0.07379253710022693,-0.16754253710022693,-0.13629253710022693,0.03125,0.23107975308397213,0.0815958563592297,0.14948389672474244,0.9324315618852135,0.901051269680831,0.03138029220438243,0.1875,0.140625,0.046875,0.375,0.28125,0.09375,2,3,931,0.5132797161025662,10.948738468341727,0.9199696790852819,16,1,1,0,0
0_0_0_10_14_16,-26.0,42,non_e1_gt_not_in_candidates,2,26,314,699,313,698,0.7939124491046774,,,0.7964914274052717,0.3785724518617286,0.8249361557785364,,3.230320980415681,0.125,0.09375,0.03125,0.06134725477512615,0.06365274522487385,0.03240274522487385,0.03125,0.5944880453262187,0.4475450765937484,0.14694296873247026,0.9831485511736193,0.9440656320107761,0.03908291916284323,0.078125,0.046875,0.03125,0.15625,0.09375,0.0625,2,0,839,0.8357966146946844,10.565322742590332,0.9146880055156492,16,0,1,0,0
0_0_0_10_14_16,-26.0,42,non_e1_gt_not_in_candidates,2,27,602,365,601,364,0.8857897215643656,,,0.8288781437778567,0.3310632046694906,1.0,,3.9857977344155215,0.0,0.0,0.0,0.0551246136125757,-0.0551246136125757,-0.0551246136125757,0.0,0.0,0.0,0.0,0.8560500971093793,0.8634385229334017,-0.007388425824022438,0.1875,0.171875,0.015625,0.375,0.34375,0.03125,1,0,365,0.2448283687605351,10.274174753321637,0.8560500488542063,16,0,1,0,0
0_0_0_10_14_16,-26.0,42,E1_gt_in_candidates_local_score_loss,3,0,222,685,221,684,0.7960468683485414,0.5374761668618977,0.25857070148664374,0.9237887950013288,0.5691747815927215,1.0,0.6161308566119843,2.103270406454096,0.0,-0.125,0.125,-0.024008879160738295,0.02400887916073824,-0.1009911208392617,-0.07698224167852347,0.0,0.46660846830918484,-0.46660846830918484,0.9736457978493005,0.9500117480041295,0.023634049845171035,0.03125,0.28125,-0.25,nan,nan,nan,1,6,685,0.9297162688239137,10.496383362379362,0.9736457889902763,16,1,1,0,0
0_0_0_10_14_16,-26.0,42,non_e1_gt_not_in_candidates,3,1,711,323,710,322,0.7899093358505137,,,0.7410319986529466,0.4022899802291455,1.0,,2.652977459380796,0.03125,0.15625,-0.125,-0.030218675795813055,0.061468675795813055,0.18646867579581305,-0.125,0.03321425872363847,1.1218315384009774,-1.088617279677339,0.9416222080015506,0.8489866647568431,0.09263554324470746,0.046875,0.265625,-0.21875,0.09375,0.46875,-0.375,1,0,323,0.760058139355801,9.77225362586866,0.932728905670091,16,0,1,0,0
0_0_0_10_14_16,-26.0,42,E1_gt_in_candidates_local_score_loss,3,2,871,1004,870,1003,0.7843055079221313,0.6598747086370761,0.12443079928505518,0.9699910219368668,0.7781040658482006,1.0,0.8021765647835497,0.9573002988099228,-0.03125,-0.09375,0.0625,-0.036428472430887815,0.0051784724308878705,-0.057321527569112185,-0.052143055138224315,0.01255312986860676,0.3150966943259726,-0.30254356445736585,0.8947573001610302,0.9063729082788271,-0.011615608117796938,0.078125,0.21875,-0.140625,0.15625,0.4375,-0.28125,1,2,1004,0.9573002988099228,10.81522434195758,0.8953700528142088,16,1,1,0,0
0_0_0_10_14_16,-26.0,42,E1_gt_in_candidates_local_score_loss,3,3,718,604,717,603,0.7955975739679452,0.6001619744144299,0.1954355995535153,1.0968759536344805,0.8166021485352672,1.0,0.744479943998653,1.2814699747935079,0.0625,0.09375,-0.03125,-0.042638269065962575,0.10513826906596258,0.13638826906596258,-0.03125,0.24835481711157142,0.3138880456629991,-0.06553322855142768,0.9598577163228591,0.8316901541981245,0.12816756212473457,0.046875,0.109375,-0.0625,0.09375,0.21875,-0.125,1,4,604,0.5188381051846644,10.988356655997535,0.9706504931196344,16,1,1,0,0
0_0_0_10_14_16,-26.0,42,non_e1_gt_not_in_candidates,3,5,468,693,467,692,0.7855073252164281,,,0.8005507887267846,0.43267483103847226,1.0,,2.6722725698363643,0.09375,-0.0625,0.15625,-0.055057862336112096,0.1488078623361121,-0.007442137663887904,0.1413657246722242,0.45419562171792005,0.12202210497990071,0.3321735167380193,0.921554962260742,0.9809585249149845,-0.059403562654242514,0.015625,0.109375,-0.09375,0.03125,0.03125,0.0,1,0,693,0.9850241658727332,9.8701356916451,0.9033821681095204,16,0,1,0,0
0_0_0_10_14_16,-26.0,42,non_e1_gt_not_in_candidates,3,6,89,752,88,751,0.7883452567750914,,,0.8919437346485779,0.2128229184873911,1.0,,6.223190647221431,0.09375,-0.15625,0.25,-0.0612676589711868,0.1550176589711868,-0.0949823410288132,0.0600353179423736,0.32588570720492704,0.8300350754757114,-0.5041493682707844,0.928558600031177,0.7922363892373322,0.13632221079384477,0.03125,0.109375,-0.078125,0.0625,0.21875,-0.15625,1,0,752,0.4652777688685703,10.65073437908268,0.9223017118339423,16,0,1,0,0
0_0_0_10_14_16,-26.0,42,non_e1_gt_not_in_candidates,3,7,713,602,712,601,0.9303539859104563,,,1.0697115734142812,0.2765513197002498,1.0,,5.874909592854888,0.03125,-0.03125,0.0625,-0.06747745560626162,0.09872745560626162,0.036227455606261616,0.0625,0.0008667419193141746,0.04662378734642252,-0.045757045427108345,0.9601679877230308,0.7946885589875413,0.1654794287354895,0.046875,0.078125,-0.03125,0.03125,0.09375,-0.0625,1,0,602,1.0260894141466468,11.728515302154939,0.9646368766105422,16,0,1,0,0
0_0_0_10_14_16,-26.0,42,E1_gt_in_candidates_local_score_loss,3,15,267,455,266,454,0.7998525876144238,0.6523133540517629,0.14753923356266085,1.1706203359435676,0.7160007574821634,1.0,0.6116421656941724,2.135025826170131,-0.125,-0.09375,-0.03125,-0.1171558286868597,-0.007844171313140302,0.023405828686859698,-0.015561657373719395,0.42455300932106227,0.4301547245501498,-0.005601715229087534,0.9381455713284998,0.8338853758360876,0.10426019549241228,0.125,0.125,0.0,0.1875,0.25,-0.0625,1,4,455,1.5008506933894017,11.759145406076733,0.9882961329800573,4,1,1,0,1
0_0_0_10_14_16,-26.0,42,non_e1_gt_not_in_candidates,3,18,889,177,888,176,0.8014602141665752,,,1.0080180509425105,0.5579818979845754,1.0,,2.5684819943647934,0.0,0.15625,-0.15625,0.11421478140791608,-0.11421478140791608,0.04203521859208392,0.07217956281583215,0.0,0.551278662285006,-0.551278662285006,0.9113464996646418,0.9291309393767879,-0.01778443971214616,0.0625,0.09375,-0.03125,0.125,0.1875,-0.0625,1,0,177,1.5803816364274694,10.759866754105152,0.9113465066276862,4,0,1,0,1
0_0_0_10_14_16,-26.0,42,non_e1_gt_not_in_candidates,3,22,629,967,628,966,0.8055507964992242,,,0.7906041935210659,0.18262589520326689,1.0,,6.363967558064564,-0.09375,0.0,-0.09375,0.08937559486761704,-0.18312559486761704,-0.08937559486761704,0.09375,0.08427161328014626,0.0,0.08427161328014626,0.9110486771049308,0.6118968308569703,0.29915184624796043,0.140625,0.234375,-0.09375,0.28125,0.46875,-0.1875,1,0,967,0.537612639049889,9.88677180290511,0.9259562232235994,16,0,1,0,0
0_0_0_10_14_16,-26.0,42,non_e1_gt_not_in_candidates,3,23,759,691,758,690,0.8557137829336919,,,0.6976310459340453,0.24399847688825194,0.9758422142457953,,4.562386839503336,-0.03125,0.34375,-0.375,0.08316579823254222,-0.11441579823254222,0.2605842017674578,-0.14616840353491556,0.054342535197608725,3.576464871856069,-3.5221223366584606,0.9938199121962515,0.9781154181895684,0.015704494006683167,0.125,0.265625,-0.140625,0.125,0.46875,-0.34375,2,0,879,0.10620398544457975,9.590088991916733,0.9933496838179874,16,0,1,0,0
0_0_0_10_14_16,-26.0,42,E1_gt_in_candidates_local_score_loss,3,25,720,306,719,305,0.8918711965100897,0.7221739559702413,0.16969724053984847,0.7916131735885621,0.5373064475627167,1.0,0.6787487443229181,1.6829096084196535,0.0,-0.0625,0.0625,0.0707462049623927,-0.0707462049623927,-0.1332462049623927,-0.0625,0.0,0.09243591385634795,-0.09243591385634795,0.8383920535295792,0.9222309494355035,-0.0838388959059243,0.09375,0.15625,-0.0625,0.1875,0.3125,-0.125,1,5,306,0.32985051367770885,9.931229129458806,0.8383920668339054,16,1,1,0,0
0_0_0_10_14_16,-26.0,42,E1_gt_in_candidates_local_score_loss,3,29,610,635,609,634,0.7829483289799707,0.4842313013796471,0.2987170276003236,1.3917120997539314,0.7423407654386871,1.0,0.5334011003927754,2.729460927068525,-0.09375,0.09375,-0.1875,0.04590701842209366,-0.13965701842209366,0.04784298157790634,0.09181403684418732,0.33656334745761174,0.30369301281078137,0.03287033464683037,0.9155204761892817,0.8869301061196937,0.028590370069587978,0.203125,0.0625,0.140625,0.09375,0.0,0.09375,1,3,635,1.8251380919651474,12.522150936017667,0.8863221931998045,4,1,1,0,1
0_0_0_10_14_16,-26.0,42,non_e1_gt_not_in_candidates,3,30,778,6,777,5,0.8144598740128792,,,0.6350368394608132,0.19865570686434708,0.9038088343612174,,5.046978743844923,-0.25,0.03125,-0.28125,0.039697221787018955,-0.28969722178701895,-0.008447221787018955,0.28125,0.19856269281581254,0.0038785583517661573,0.1946841344640464,0.7839159499937904,0.5561254627320623,0.22779048726172813,0.125,0.21875,-0.09375,0.0625,0.3125,-0.25,2,0,891,0.4392341793336687,9.465874667021843,0.88047678239242,16,0,1,0,0
