snr_label,added_snr_db,seed,packet_index,payload_symbol_index,frame_symbol_index,gt_bin,coarse_bin,phase_fft_1_estimate,phase_fft_2_estimate,savaux_bin,savaux_correct,savaux_gt_power,savaux_gt_to_mean_energy,savaux_gt_margin_db,savaux_gt_floor_db,plain_nus_mean_bin,plain_nus_mean_correct,plain_nus_mean_gt_power,plain_nus_mean_gt_to_mean_energy,plain_nus_mean_gt_margin_db,plain_nus_mean_gt_floor_db,phase_fft_1_bin,phase_fft_1_correct,phase_fft_1_gt_power,phase_fft_1_gt_to_mean_energy,phase_fft_1_gt_margin_db,phase_fft_1_gt_floor_db,phase_fft_2_bin,phase_fft_2_correct,phase_fft_2_gt_power,phase_fft_2_gt_to_mean_energy,phase_fft_2_gt_margin_db,phase_fft_2_gt_floor_db,exact_nus_coherent_bin,exact_nus_coherent_correct,exact_nus_coherent_gt_power,exact_nus_coherent_gt_to_mean_energy,exact_nus_coherent_gt_margin_db,exact_nus_coherent_gt_floor_db
clean,,0,7,0,8,803,803,803,803,803,1,0.00011203808057553503,132.592635749003,14.425948426281714,23.327762964827855,803,1,3.989660312206581e-06,27.12752487892788,6.688398722518856,14.865149535466724,803,1,7.002381204074721e-06,139.65875129042388,14.076548128529904,23.573146853489867,803,1,7.002381204074721e-06,139.65875129042388,14.076548128529904,23.573146853489867,803,1,7.002381204074834e-06,132.59265423591958,14.425948882057364,23.327761944309966
clean,,0,7,1,9,711,711,711,711,711,1,7.321304012673866e-05,92.85342599991237,12.315897726003842,21.608242088340063,711,1,1.3681207797457898e-06,9.432181625048772,0.9184136093875761,10.324981744339453,711,1,4.575816496749718e-06,98.0814903966925,11.620885649799103,21.964860261079956,711,1,4.575816496749718e-06,98.0814903966925,11.620885649799103,21.964860261079956,711,1,4.5758164967497106e-06,92.8534527877252,12.315898442451992,21.608243075884705
clean,,0,7,2,10,922,922,922,922,922,1,8.828962583373821e-05,115.15468543794132,12.771044542609381,22.6688390036815,922,1,4.111590190657599e-06,28.58382322728655,9.420808428044175,15.103622341330667,922,1,5.518102831249667e-06,118.33915813015916,13.475483732877617,22.85339621363582,922,1,5.518102831249667e-06,118.33915813015916,13.475483732877617,22.85339621363582,922,1,5.518102831249585e-06,115.15470764863028,12.77104529416506,22.668837973856245
clean,,0,7,3,11,718,718,718,718,718,1,9.397245796528841e-05,112.1074594328446,12.245346618912805,22.573006602514862,718,1,1.6546718404885169e-06,11.068529975492991,0.9721813588076831,10.960801911299516,718,1,5.873278983225648e-06,117.70660865566823,12.226964096560105,22.617381803131128,718,1,5.873278983225648e-06,117.70660865566823,12.226964096560105,22.617381803131128,718,1,5.873278983225625e-06,112.10746685695793,12.24534669343944,22.57300609195831
clean,,0,7,4,12,756,756,756,756,756,1,0.00010010982860045401,127.41087814105978,13.61109075101961,23.128040233973074,756,1,2.85546399908098e-06,19.619847012159017,4.835992296034512,13.483674447010499,756,1,6.256865806894904e-06,129.49926706725597,12.80409417403712,23.615994122937593,756,1,6.256865806894904e-06,129.49926706725597,12.80409417403712,23.615994122937593,756,1,6.25686580689488e-06,127.41090603547087,13.611091396357804,23.128040674723756
clean,,0,7,5,13,109,109,109,109,109,1,9.465253119089745e-05,115.47681489154297,11.430087298973305,22.874679399151702,109,1,4.062742926599028e-06,27.8586335487243,7.69107136247754,15.019759699623634,109,1,5.915783138870512e-06,121.4328231568863,12.973807552506255,23.046409645740006,109,1,5.915783138870512e-06,121.4328231568863,12.973807552506255,23.046409645740006,109,1,5.91578313887051e-06,115.47681109742142,11.430087401908018,22.874679167315577
clean,,0,7,6,14,932,932,932,932,932,1,0.00010263890805436385,125.40988701393005,10.707333171727527,23.080105362174898,932,1,5.778645918304171e-06,40.56864425848594,10.28523821529326,16.721869428316047,932,1,6.41493184924872e-06,136.11084011344187,11.371635168203012,23.558066776746504,932,1,6.41493184924872e-06,136.11084011344187,11.371635168203012,23.558066776746504,932,1,6.414931849248709e-06,125.40988822564108,10.707333985623952,23.080102804917185
clean,,0,7,7,15,468,212,468,468,468,1,0.00011893205375536342,146.36246816993045,14.333968981868136,24.19509292685732,212,0,3.1475950857904126e-07,2.09615033563394,-8.449476922017446,3.75804079351123,468,1,2.9745618862446264e-06,63.139197892500256,7.221840592612086,20.15306071716786,468,1,7.433253776480099e-06,149.29099326296662,13.958454457591227,23.97688000960939,468,1,7.433253776480037e-06,146.36247525670504,14.333969918687451,24.195093589656906
clean,,0,7,8,16,89,89,89,89,89,1,0.0001168126499262465,83.32629839737788,11.25847433947463,21.134932415503798,89,1,5.421853760136808e-06,18.982994100970767,7.796627382067436,13.221080682871548,89,1,7.300791048760798e-06,86.46135868984352,11.181992714501654,21.444114385446493,89,1,7.300791048760798e-06,86.46135868984352,11.181992714501654,21.444114385446493,89,1,7.300791048760803e-06,83.32630168112574,11.25847407613863,21.134930430246747
clean,,0,7,9,17,713,713,713,713,713,1,0.00011396843105901736,39.06809549934179,7.597734914103842,17.669993689241355,713,1,3.6785407831264623e-06,6.381164743457362,2.7008711533276157,8.55755385027616,713,1,7.123025024863009e-06,41.30723247218948,8.82937724943309,17.902366833152456,713,1,7.123025024863009e-06,41.30723247218948,8.82937724943309,17.902366833152456,713,1,7.123025024863266e-06,39.068084618765766,7.597732432082699,17.66999222626411
