snr_label,added_snr_db,method,decisions,errors,ser,fixes_vs_savaux,breaks_vs_savaux,paired_sign_p,mean_gt_to_mean_energy,mean_gt_margin_db,mean_gt_floor_db
clean,,savaux,392,1,0.002551020408163265,0,0,1.0,74.08545264360879,9.804956339789094,20.17814557034972
clean,,plain_nus_mean,392,129,0.32908163265306123,0,128,5.877471754111455e-39,11.781758031139384,2.219642428570904,9.608176289068677
clean,,phase_fft_1,392,10,0.025510204081632654,0,9,0.00390625,66.42727317046365,8.528047610106215,19.19842831975754
clean,,phase_fft_2,392,6,0.015306122448979591,0,5,0.0625,77.68222153163471,9.880540119764508,20.24572680907395
clean,,exact_nus_coherent,392,1,0.002551020408163265,0,0,1.0,74.08545329607104,9.804956345940543,20.178145600372716
-3,-3.0,savaux,7840,128,0.0163265306122449,0,0,1.0,26.33987938577085,5.274514704876377,15.564696163603115
-3,-3.0,plain_nus_mean,7840,3962,0.5053571428571428,4,3838,0.0,4.077695613002582,-0.4378884057392975,5.453621280236177
-3,-3.0,phase_fft_1,7840,1641,0.20931122448979592,13,1526,0.0,20.43664061986544,2.83037233252974,13.18680201816663
-3,-3.0,phase_fft_2,7840,811,0.10344387755102041,22,705,1.6965470210668315e-177,25.030046022093874,4.408668059359563,14.718167274018297
-3,-3.0,exact_nus_coherent,7840,128,0.0163265306122449,0,0,1.0,26.339879353122214,5.2745146935138765,15.564696126027583
-6,-6.0,savaux,7840,614,0.07831632653061224,0,0,1.0,16.530305076705524,3.1400682311194377,13.43550560411209
-6,-6.0,plain_nus_mean,7840,5413,0.6904336734693878,12,4811,0.0,2.8137454969812388,-1.762256411176337,4.004651698278395
-6,-6.0,phase_fft_1,7840,3251,0.4146683673469388,44,2681,0.0,11.339713060157106,-0.10958500203318977,10.213268207703054
-6,-6.0,phase_fft_2,7840,2214,0.2823979591836735,50,1650,0.0,13.967725870467238,1.1426781936867512,11.45345868638472
-6,-6.0,exact_nus_coherent,7840,614,0.07831632653061224,0,0,1.0,16.530305069707097,3.1400682376683586,13.435505568880654
-9,-9.0,savaux,7840,2763,0.3524234693877551,0,0,1.0,9.791903299584737,0.6628450786074179,10.950057536921685
-9,-9.0,plain_nus_mean,7840,6845,0.8730867346938775,53,4135,0.0,2.010305064285011,-3.064795715219753,2.672572040884083
-9,-9.0,phase_fft_1,7840,5493,0.7006377551020408,117,2847,0.0,5.8043285737653045,-3.353573979173982,6.943876852740042
-9,-9.0,phase_fft_2,7840,4663,0.5947704081632653,169,2069,0.0,7.063931344356704,-2.395727841247554,7.908103491994495
-9,-9.0,exact_nus_coherent,7840,2763,0.3524234693877551,0,0,1.0,9.79190329174029,0.6628450709414428,10.95005751790513
