selection_method,pattern_count,selection_rank,candidate_index,pattern_name,marginal_information,lora_leakage_weight
information,12,1,106,block_w32_s2_b1,119.71922425184201,0.1
information,12,2,128,block_w64_s2_b0,111.31755390859344,0.1
information,12,3,132,block_w64_s2_b2,81.12430197884936,0.1
information,12,4,110,block_w32_s2_b3,63.15496289054074,0.1
information,12,5,48,block_w8_s1_b0,16.57939759020478,0.1
information,12,6,155,multiscale_w128_s2_b1,18.923085132324065,0.1
information,12,7,163,multiscale_w128_s3_b1,15.640753729455524,0.1
information,12,8,22,block_w2_s3_b3,13.664236556623711,0.1
information,12,9,99,multiscale_w32_s1_b1,16.019138117618468,0.1
information,12,10,23,multiscale_w2_s3_b3,15.013688079456402,0.1
information,12,11,102,block_w32_s1_b3,17.451163699076854,0.1
information,12,12,146,block_w128_s1_b1,14.224088643375442,0.1
lora_information,12,1,105,multiscale_w32_s2_b0,106.51299151016269,0.1
lora_information,12,2,92,block_w16_s3_b2,103.06823924977597,0.1
lora_information,12,3,163,multiscale_w128_s3_b1,52.52342219175921,0.1
lora_information,12,4,113,multiscale_w32_s3_b0,38.145383620603894,0.1
lora_information,12,5,74,block_w16_s1_b1,24.211972457778348,0.1
lora_information,12,6,55,multiscale_w8_s1_b3,22.749210127027272,0.1
lora_information,12,7,112,block_w32_s3_b0,19.22151848445751,0.1
lora_information,12,8,99,multiscale_w32_s1_b1,14.276909106718929,0.1
lora_information,12,9,86,block_w16_s2_b3,15.637506656661479,0.1
lora_information,12,10,1,multiscale_w2_s1_b0,10.393302026494425,0.1
lora_information,12,11,48,block_w8_s1_b0,12.006664068660223,0.1
lora_information,12,12,72,block_w16_s1_b0,11.37128233917414,0.1
