method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations
savaux,0,70,25,0.35714285714285715,0,0,0.4305031999901985,6.150045714145692,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
hamming_12,12,70,23,0.32857142857142857,4,2,0.993054899998242,14.186498571403458,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
information_12,12,70,22,0.3142857142857143,4,1,0.967847099978826,13.826387142554657,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
lora_information_12,12,70,23,0.32857142857142857,4,2,0.9636240000145335,13.766057143064765,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
savaux,0,70,21,0.3,0,0,0.18498429997634958,2.642632856804994,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
hamming_12,12,70,18,0.2571428571428571,3,0,1.1086602999967,15.838004285667141,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
information_12,12,70,15,0.21428571428571427,6,0,1.0931932000166853,15.617045714524076,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
lora_information_12,12,70,19,0.2714285714285714,3,1,1.0793170999932045,15.418815714188636,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
savaux,0,70,23,0.32857142857142857,0,0,0.1615751000099408,2.3082157144277256,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
hamming_12,12,70,19,0.2714285714285714,4,0,0.947273400004633,13.532477142923328,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
information_12,12,70,19,0.2714285714285714,4,0,0.951572700007091,13.593895714387015,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
lora_information_12,12,70,17,0.24285714285714285,6,0,0.9611896999704186,13.731281428148836,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
