packet_index,frame_index,event_index,payload_len,cr,has_crc,ldro,symbol_count,gt_compared_symbols,center_raw_ser,center_symbol_ser,multi_raw_ser,multi_symbol_ser,pure_raw_ser,pure_symbol_ser,pure_gain_vs_center,pure_gain_vs_multi,pure_crc_valid,pure_payload_hex,pure_decode_error,mean_phase_score,mean_amp_score,mean_candidate_count,mean_selected_energy_drop_db,phase_line_slope_pi,phase_line_r2,phase_line_rmse_pi,phase_line_anchor_count,reference_line_slope_pi,reference_line_anchor_count,refinement_count,error,dataset,target_snr_db,noise_seed
1,0,1,33,1,1,0,35,35,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.9428571428571428,0.9428571428571428,-0.08571428571428574,-0.22857142857142854,0,4024b8dfb038464e9b441470fad84ca36b692d3e2a5c68976f67851fd2f6a5fcd6,,0.9836108752659389,0.7067578537722857,16.0,-1.622546320629565,-0.02576711260135907,0.9770940077161973,0.037479668476398074,28,-0.025337552033791788,8,1,,0_0_0_10_14_16,-24.0,42
2,1,2,33,1,1,0,35,35,0.8857142857142857,0.8857142857142857,0.6,0.6,0.8857142857142857,0.8857142857142857,0.0,-0.2857142857142857,0,407424062170848098747d16d596d9580763f72d868d3e037465c180dd10622c36,,0.9862164224897112,0.7115953106301754,16.0,-1.6215310130785505,-0.04237607843342286,0.9817206289536757,0.055600981351550935,28,-0.044687974011923925,8,1,,0_0_0_10_14_16,-24.0,42
3,2,3,33,1,1,0,35,35,0.9714285714285714,0.9714285714285714,0.6571428571428571,0.6571428571428571,0.9714285714285714,0.9714285714285714,0.0,-0.3142857142857143,0,40b417d68455bd960e29d1621bfbd6f5efff5f0494a856c619e6a8c28bbcde6a19,,0.9891722917556762,0.6743030070735017,16.0,-1.791031430593848,-0.012669294997853674,0.9055859422140095,0.04458947396649453,28,-0.011183014457091687,8,1,,0_0_0_10_14_16,-24.0,42
5,3,5,33,1,1,0,35,35,0.8571428571428571,0.8571428571428571,0.5428571428571428,0.5428571428571428,0.8285714285714286,0.8285714285714286,0.02857142857142847,-0.2857142857142858,0,40346617531502005030317a3231303282e28f2e7d82c58488e53f567bacf65d00,,0.9871970823832921,0.7546192205835167,16.0,-1.3438485875378152,-0.053869879336973125,0.990921860109363,0.051401671254072016,28,-0.05334314429506908,8,1,,0_0_0_10_14_16,-24.0,42
6,4,6,33,1,1,0,35,35,0.8857142857142857,0.8857142857142857,0.42857142857142855,0.42857142857142855,0.9714285714285714,0.9714285714285714,-0.08571428571428574,-0.5428571428571429,0,4084e21c64b990b5c72d46ac4d7e1611d2d0d1a33af5d30d787f647a023199f240,,0.9845457809312003,0.7283001997168339,16.0,-1.4871785957150916,-0.092619365473412,0.9967395910926071,0.052432511476405465,28,-0.0910458171516345,8,1,,0_0_0_10_14_16,-24.0,42
8,5,8,33,1,1,0,35,35,0.9142857142857143,0.9142857142857143,0.5714285714285714,0.5714285714285714,0.9714285714285714,0.9714285714285714,-0.05714285714285716,-0.4,0,40e482bbb20898351ef3021cd4c77036c395b8aca4f0a7bcb0fac54e040e1f6d55,,0.9763913358960833,0.7046249863925137,16.0,-1.6245873636243815,0.004522645553950249,0.40080240749803964,0.05242904328337,28,0.0030182951745696945,8,1,,0_0_0_10_14_16,-24.0,42
9,6,9,33,1,1,0,35,35,0.8,0.8,0.5714285714285714,0.5714285714285714,0.9428571428571428,0.9428571428571428,-0.1428571428571428,-0.37142857142857144,0,407401a13aa869f9ecfa9cb614f160ceef3c70a2a7b90194e0db4ce48b59036369,,0.987909141608647,0.6978750315985933,16.0,-1.6592096761053332,-0.07709549225808113,0.996140157876664,0.050266080689031455,28,-0.07760200734169853,8,1,,0_0_0_10_14_16,-24.0,42
10,7,10,33,1,1,0,35,35,0.8,0.8,0.6,0.6,0.9714285714285714,0.9714285714285714,-0.17142857142857137,-0.37142857142857144,0,406467457d43ce2766ca11d0d532f80364c9759b5b398a63c469f4c3d5e072a1d3,,0.9854634625571115,0.7562579512556572,16.0,-1.3073469482464801,-0.04951479849539456,0.9945118871822013,0.038708238263563316,28,-0.04972933809741951,8,1,,0_0_0_10_14_16,-24.0,42
11,8,11,33,1,1,0,35,35,0.8285714285714286,0.8285714285714286,0.4,0.4,0.9428571428571428,0.9428571428571428,-0.11428571428571421,-0.5428571428571428,0,40c42bb65dcc2dee04da0339d5beb3562be9e2f65eee24efc1275c3740cce8a805,,0.9827691044126238,0.7148459103368477,16.0,-1.560630693683172,-0.07950259014593138,0.9963735669643111,0.049902396688127466,28,-0.07993644198485637,8,1,,0_0_0_10_14_16,-24.0,42
12,9,12,33,1,1,0,35,35,0.6285714285714286,0.6285714285714286,0.2857142857142857,0.2857142857142857,0.9428571428571428,0.9428571428571428,-0.3142857142857143,-0.6571428571428571,0,40f4bd289c173270385614469cee472a8576eb8ea002ffc3c86e614e89bcf220ea,,0.9821578247206552,0.7115072627488751,16.0,-1.6172793868180375,-0.046345043358659715,0.9887726377433492,0.050541694979037516,28,-0.047084119146971214,8,1,,0_0_0_10_14_16,-24.0,42
13,10,13,33,1,1,0,35,35,0.7428571428571429,0.7428571428571429,0.3142857142857143,0.3142857142857143,0.9142857142857143,0.9142857142857143,-0.17142857142857137,-0.6,0,40947eb2d19543cc9ed4bf6207ecf85938a0ba3e533e9d3d9d9f5ad2fb71ec743a,,0.9846289447375707,0.7613980433749428,16.0,-1.2987619136150919,-0.04560395593889022,0.9891529439394606,0.0507064143788828,28,-0.04491333758342689,8,1,,0_0_0_10_14_16,-24.0,42
