target_snr_db,packet_index,event_index,frame_index,payload_symbol_count,argmax_correct_rate,gt_bin_amp_mean,gt_bin_amp_std,gt_peak_energy_ratio_mean,gt_peak_energy_ratio_std,mean_gt_bin_rank,gt_top8_recall,gt_top16_recall,gt_top32_recall,tau_chips_mean,tau_chips_std,phase_slope_pi_per_symbol,phase_linear_r2,phase_linear_rmse_pi,phase_residual_std_pi,phase_residual_peak_to_peak_pi,phase_residual_quad_r2
-27.0,1,1,0,35,0.02857142857142857,8.647316027037995,4.424454014678162,0.002470114660325115,0.0022114745733962916,292.9142857142857,0.17142857142857143,0.22857142857142856,0.2571428571428571,0.0012988632102561705,0.07233929258783033,-0.1039613884624585,0.879183802597768,0.38921977661818985,0.38921977661818985,1.5229922314479498,0.2649978632420874
-27.0,2,2,1,35,0.0,8.272364998159514,4.302690781368482,0.0022522947367949147,0.0018594594681726761,310.9714285714286,0.14285714285714285,0.17142857142857143,0.22857142857142856,-0.004077546190491648,0.07720685231222298,-0.05511638089050087,0.42603591196441293,0.6461004363265963,0.4477794764889296,1.7906186759730565,0.38785829226336554
-27.0,3,3,2,35,0.02857142857142857,10.241732332306604,3.4371104858173056,0.003010001809762617,0.0018007949026847203,154.4,0.17142857142857143,0.2857142857142857,0.42857142857142855,-0.00814685052843776,0.07728314340587043,-0.07931093445599108,0.6972562675602392,0.5278062392990884,0.36944877626956657,1.5955906796456363,0.539031989517488
-27.0,5,5,3,35,0.0,9.300921610883853,3.6577744505170644,0.0025933333094667376,0.0017176913502676618,216.4857142857143,0.14285714285714285,0.2,0.4,-0.01687081172794959,0.06764550317198234,-0.11842878182798837,0.962844907762753,0.23495697975586208,0.23495697975586208,1.0530586360412602,0.4315242859837868
-27.0,6,6,4,35,0.02857142857142857,9.323473009711984,3.68963199041409,0.0025991596359412686,0.0017323121463377023,212.62857142857143,0.14285714285714285,0.2,0.3142857142857143,-0.011925086534494407,0.07670635779125995,-0.10009676087374822,0.8771272665858318,0.3783698856787742,0.321735545960044,1.7734761654548494,0.3640501113838043
-27.0,8,8,5,35,0.02857142857142857,9.476559449636897,3.449829325613288,0.0026647015614112233,0.0018233458543676407,190.65714285714284,0.17142857142857143,0.2571428571428571,0.34285714285714286,0.00464748846951246,0.06907635311902492,-0.1132191583280859,0.9467242468560473,0.27125206731940793,0.27125206731940793,1.1177854979767297,0.5036501163179394
-27.0,9,9,6,35,0.02857142857142857,8.277498220627603,3.897898428803074,0.0021511621349932473,0.001801061244619701,290.37142857142857,0.14285714285714285,0.14285714285714285,0.2,-0.016540746752215507,0.06910679814932157,-0.10102810289318445,0.8529343256925725,0.42368212995258014,0.3548470366730238,1.3874548085104716,0.5071570214195631
-27.0,10,10,7,35,0.05714285714285714,9.136282237574905,4.336310682680379,0.0026600461099683423,0.0022961247698419156,253.17142857142858,0.11428571428571428,0.22857142857142856,0.2857142857142857,-0.004372124316566319,0.07696277527731764,-0.12207392570747913,0.9400749192908019,0.31127631585366694,0.31127631585366694,1.2462415155440936,0.690724815491488
-27.0,11,11,8,35,0.08571428571428572,10.752671894621571,4.414738536884263,0.003499584136827292,0.0029511613367699057,148.62857142857143,0.22857142857142856,0.37142857142857144,0.4,-0.020574586836146665,0.07135553627896986,-0.06655155756856151,0.32336449728367855,0.9722759258738479,0.5950887514588594,1.9364707578275255,0.05839786497059274
-27.0,12,12,9,35,0.08571428571428572,11.430635925376546,3.4927301853263275,0.003731474984885472,0.002216544341576841,99.28571428571429,0.2,0.2857142857142857,0.5428571428571428,-0.014909004721947484,0.07136069851841989,-0.01600219904440996,0.03241108288369143,0.8830360334385825,0.5832840285767784,1.8483751898784744,0.005411809921358479
