dataset,snr_db,method,errors,symbol_count,fixes_vs_savaux,breaks_vs_savaux,ser
0_0_0_10_14_32,-18.0,ordinary_fft,35,105,0,7,0.3333333333333333
0_0_0_10_14_32,-18.0,savaux,28,105,0,0,0.26666666666666666
0_0_0_10_14_32,-18.0,branch_gls,28,105,1,1,0.26666666666666666
0_0_0_10_14_32,-18.0,savaux_dual,28,105,0,0,0.26666666666666666
0_0_0_10_14_32,-18.0,proposed,28,105,1,1,0.26666666666666666
0_0_0_10_14_32,-20.0,ordinary_fft,47,105,0,13,0.44761904761904764
0_0_0_10_14_32,-20.0,savaux,34,105,0,0,0.3238095238095238
0_0_0_10_14_32,-20.0,branch_gls,33,105,2,1,0.3142857142857143
0_0_0_10_14_32,-20.0,savaux_dual,34,105,0,0,0.3238095238095238
0_0_0_10_14_32,-20.0,proposed,33,105,2,1,0.3142857142857143
0_0_0_10_14_32,-22.0,ordinary_fft,66,105,2,19,0.6285714285714286
0_0_0_10_14_32,-22.0,savaux,49,105,0,0,0.4666666666666667
0_0_0_10_14_32,-22.0,branch_gls,47,105,3,1,0.44761904761904764
0_0_0_10_14_32,-22.0,savaux_dual,49,105,0,0,0.4666666666666667
0_0_0_10_14_32,-22.0,proposed,47,105,3,1,0.44761904761904764
