dataset,snr_db,seed,method,errors,symbol_count,ser,fixes_vs_savaux,breaks_vs_savaux
0_0_0_10_14_32,-18.0,45,ordinary_fft,35,105,0.3333333333333333,0,7
0_0_0_10_14_32,-18.0,45,savaux,28,105,0.26666666666666666,0,0
0_0_0_10_14_32,-18.0,45,branch_gls,28,105,0.26666666666666666,1,1
0_0_0_10_14_32,-18.0,45,savaux_dual,28,105,0.26666666666666666,0,0
0_0_0_10_14_32,-18.0,45,proposed,28,105,0.26666666666666666,1,1
0_0_0_10_14_32,-20.0,45,ordinary_fft,47,105,0.44761904761904764,0,13
0_0_0_10_14_32,-20.0,45,savaux,34,105,0.3238095238095238,0,0
0_0_0_10_14_32,-20.0,45,branch_gls,33,105,0.3142857142857143,2,1
0_0_0_10_14_32,-20.0,45,savaux_dual,34,105,0.3238095238095238,0,0
0_0_0_10_14_32,-20.0,45,proposed,33,105,0.3142857142857143,2,1
0_0_0_10_14_32,-22.0,45,ordinary_fft,66,105,0.6285714285714286,2,19
0_0_0_10_14_32,-22.0,45,savaux,49,105,0.4666666666666667,0,0
0_0_0_10_14_32,-22.0,45,branch_gls,47,105,0.44761904761904764,3,1
0_0_0_10_14_32,-22.0,45,savaux_dual,49,105,0.4666666666666667,0,0
0_0_0_10_14_32,-22.0,45,proposed,47,105,0.44761904761904764,3,1
