packet_index,frame_index,frame_symbol_index,payload_symbol_index,start_sample,gt_bin,ordinary_fft_bin,savaux_bin,gls_crossfit_bin,gls_offpacket_bin,savaux_margin_db,branch_color_mismatch,ordinary_fft_correct,savaux_correct,gls_crossfit_correct,gls_offpacket_correct
0,0,8,0,1310802,803,803,803,803,803,23.295502284118783,0.5241059321432536,1,1,1,1
0,0,9,1,1314898,711,711,711,711,711,25.89356760847936,0.5536589035007312,1,1,1,1
0,0,10,2,1318994,922,922,922,922,922,21.80427041601831,0.5433872341155291,1,1,1,1
0,0,11,3,1323090,718,718,718,718,718,23.62719346775231,0.4912516338990321,1,1,1,1
0,0,12,4,1327186,756,756,756,756,756,23.57491076396398,0.5494481837643496,1,1,1,1
0,0,13,5,1331282,109,109,109,109,109,19.532170780916,0.49263463039241345,1,1,1,1
0,0,14,6,1335378,932,932,932,932,932,18.668893991204822,0.5147491807302764,1,1,1,1
0,0,15,7,1339474,468,468,468,468,468,19.733616458469093,0.520050917378096,1,1,1,1
0,0,16,8,1343570,89,89,89,89,89,17.426998388907982,0.5049390576663989,1,1,1,1
0,0,17,9,1347666,713,713,713,713,713,21.743710325803715,0.5194152020402635,1,1,1,1
0,0,18,10,1351762,865,865,865,865,865,17.222360719280644,0.32336673948896566,1,1,1,1
0,0,19,11,1355858,92,92,92,92,92,16.498882206177964,0.22352207526588694,1,1,1,1
0,0,20,12,1359954,645,645,645,645,645,21.024303300254815,0.45747709386278823,1,1,1,1
0,0,21,13,1364050,426,426,426,426,426,18.623207097904583,0.5198738165997078,1,1,1,1
0,0,22,14,1368146,765,765,765,765,765,17.507572739955805,0.5002859810342754,1,1,1,1
0,0,23,15,1372243,1023,1023,1023,1023,1023,17.551927056294804,0.3599490153854991,1,1,1,1
0,0,24,16,1376339,597,597,597,597,597,14.87728369917985,0.5247011575375548,1,1,1,1
0,0,25,17,1380435,562,562,562,562,562,14.259288443802934,0.5345255600480721,1,1,1,1
0,0,26,18,1384531,827,827,827,827,827,17.961573731878463,0.5685809468761038,1,1,1,1
0,0,27,19,1388627,890,890,890,890,890,20.492692145207037,0.5499654216244023,1,1,1,1
0,0,28,20,1392723,174,174,174,174,174,19.454811905039765,0.529709754809742,1,1,1,1
0,0,29,21,1396819,267,267,267,267,267,18.085510123632595,0.5377964507727104,1,1,1,1
0,0,30,22,1400915,917,917,917,917,917,21.989042250110863,0.522392149472292,1,1,1,1
0,0,31,23,1405011,656,656,656,656,656,17.40611889128911,0.2478159064070785,1,1,1,1
0,0,32,24,1409107,889,889,889,889,889,23.768842890430992,0.324025850701476,1,1,1,1
0,0,33,25,1413203,66,66,66,66,66,25.23028663677604,0.39635110232524634,1,1,1,1
0,0,34,26,1417299,586,586,586,586,586,16.753469429151636,0.4827250247222195,1,1,1,1
0,0,35,27,1421395,425,425,425,425,425,17.16721694958876,0.5097474113285095,1,1,1,1
0,0,36,28,1425491,860,860,860,860,860,23.489371838131387,0.473188864789174,1,1,1,1
0,0,37,29,1429587,553,553,553,553,553,17.76315615979492,0.5109618933958849,1,1,1,1
0,0,38,30,1433683,629,629,629,629,629,18.43805226107583,0.5279956262544743,1,1,1,1
0,0,39,31,1437779,759,759,759,759,759,20.583012865576336,0.4989794556647753,1,1,1,1
0,0,40,32,1441875,494,494,494,494,494,18.982928121375224,0.5011230302514676,1,1,1,1
0,0,41,33,1445971,303,303,303,303,303,20.206854353310682,0.46392292189802103,1,1,1,1
